Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
 -16.962278   -1.223184    0.005748    0.145212    0.036168    0.012341    0.068004    0.024370    0.003951    0.004760   -0.067587   -0.004382   -0.006254    0.079493    0.215666    0.080898   -2.197765    0.056158   -2.445615   -0.020078   -1.133865   -0.023265    0.536361    0.040417   -0.042881   -0.011543    0.009230    0.010392    0.001741    0.001351    0.021648    0.013261    0.000878   -0.002646    0.013988    0.008589    0.010149    0.028473    1.082277    6.563975   -0.384876   -0.013616   -0.002623   -0.003416    0.005795    0.091169    0.000000    0.022234    0.014004    0.024302    0.016109    0.003216    0.002010    0.006351   -0.399289    0.044729    0.018659    0.020462    0.039237    0.046716    0.020799    0.041669    0.003732    0.007289    0.006539   -0.041571    0.014622    0.016170    0.034193    0.093787    0.263484    0.062042    1.323493   -6.113777    0.000088   -0.003034    0.000660    0.006569    0.012272    0.002736    0.016123    0.002033    0.001708    0.005293    0.003772    0.002524   -0.633608   -0.018894   -0.098067   -0.258405   -1.248592   -0.000895   -0.046423   -0.324286   -0.003329    2.228512    0.657668    0.026887    0.802576   -0.002494   -0.011135    0.010864    0.010271    0.230942    0.698505    0.094815    0.025608   -0.408584    0.029494    0.047401    0.014851    1.047773    0.646488    1.519443    0.957938    0.105609    0.174286    0.073968    0.036039    0.204147    0.066675    0.008309    0.383646    0.660243    0.034432    0.901690   -0.001023    0.000931    0.001573   -0.048461    0.003505    0.000000    0.000304    0.186971   -0.010111   -0.029154    0.027863   -0.356151   -0.011659    0.004736    0.011294    0.183716    1.371303   -0.093094   -0.886069   -0.349146    0.520616    0.028923    0.169452    0.028877    0.004105    0.006387    0.051802   -0.041151   -0.014501   -0.014066   -0.034800    0.182016    0.166085    0.157815    0.032732    0.068031    0.010276    0.033368   -0.001277   -0.121548    0.004383   -0.010533   -1.109548    0.002673    0.023340    0.017122    0.015054    0.007632    0.044883    0.588047    0.479349    0.052190    0.313127   -0.012200   -0.094834   -0.602506   -1.782955    0.058580    0.222931    0.045773    0.134400    0.024434    0.000897    0.096800   -0.108034    0.118722   -0.495239    0.133565    0.582202    0.272344    0.074905    0.012168    0.026803    0.070594    0.073056    0.041778    0.021028    0.339488    0.065118    0.012130    0.051861   -0.035366   -0.089004    0.002335   -0.004145   -0.002332   -0.000580    0.245883    0.033582   -0.009065    0.030034    0.003977   -0.001775    0.004945 -269.442208
-18.400027  -1.312976   0.006431   0.134772   0.040076   0.016175   0.075334   0.022625   0.009069   0.010925  -0.076454  -0.004961  -0.007150   0.078689   0.177089   0.077426  -1.536832   0.029649  -1.582936  -0.021211  -0.800961  -0.022960   0.478576   0.092742  -0.037865  -0.006814   0.021155   0.010378   0.001738   0.001409   0.015888   0.012182   0.000926  -0.002945   0.014852   0.008742   0.010356   0.024544   1.117419   6.701525  -0.381625  -0.013509  -0.002604  -0.003389   0.008385   0.118930  -0.000330   0.020849   0.014112   0.024340   0.017530   0.003505   0.002199   0.006311  -0.420813   0.042002   0.017792   0.019574   0.038934   0.051059   0.021675   0.043627   0.008562   0.016714   0.006481  -0.047911   0.013979   0.016565   0.034567   0.095948   0.264444   0.063368   1.315436  -6.467278  -0.000092  -0.002939   0.001311   0.006559   0.012246   0.003638   0.016059   0.003034   0.001697   0.005267   0.003762   0.003356  -0.665627  -0.020013  -0.106318  -0.268464  -1.287549  -0.000593  -0.046025  -0.321687  -0.002202   2.171850   0.670490   0.030402   0.923203  -0.001650  -0.011637   0.010395   0.011050   0.248745   0.696177   0.101684   0.026970  -0.426106   0.035320   0.108852   0.023353   1.054555   0.660900   1.514172   0.931155   0.101972   0.166039   0.042213   0.037754   0.210884   0.072857   0.008876   0.403480   0.769605   0.031947   0.925805  -0.001016   0.000925   0.001695  -0.050879   0.003498   0.000000   0.000364   0.216264  -0.010029  -0.033020   0.036349  -0.353243  -0.012036   0.010860   0.015159   0.206382   1.436276  -0.096557  -0.926291  -0.365962   0.599585   0.029170   0.181973   0.032273   0.004078   0.007254   0.081556  -0.020409  -0.015135  -0.009301  -0.039453   0.172179   0.157879   0.150300   0.031222   0.076605   0.011781   0.039790  -0.001326  -0.203020   0.007537  -0.011013  -1.203604   0.004599   0.023306   0.017900   0.016499   0.007849   0.048178   0.616579   0.510168   0.055866   0.321170  -0.016334  -0.094018  -0.597512  -1.770583   0.067599   0.219131   0.052999   0.155273   0.024353   0.001192   0.048121  -0.173884   0.112735  -0.889855   0.125707   0.572888   0.292908   0.070894   0.015379   0.029418   0.121429   0.125652   0.040010   0.021955   0.354123   0.068116   0.012055   0.051463  -0.030492  -0.076707   0.003089  -0.004539  -0.002681  -0.000597   0.284171   0.036708  -0.009447   0.029822   0.009133  -0.001957   0.005927 -82.579942
-18.271097  -1.298359   0.006739   0.167879   0.056931   0.023804   0.123785   0.028804   0.012673   0.013727  -0.090279  -0.005846  -0.007053   0.096924   0.087335   0.100258  -0.721150   0.018256  -0.492433  -0.007465  -0.279941  -0.002264   0.214614   0.129445  -0.036813  -0.004438   0.023617   0.010361   0.001734  -0.001390   0.009792   0.008011  -0.002740  -0.004456   0.010250   0.006675   0.007487   0.009681   1.142930   6.837457  -0.377838  -0.013385  -0.002582  -0.001678   0.010521   0.149861   0.002605   0.030826   0.017322   0.030558   0.019659   0.003937   0.002182   0.006254  -0.416737   0.048732   0.021616   0.025320   0.047844   0.057551   0.023526   0.045483   0.010763   0.018657  -0.000000  -0.053752   0.017705   0.018949   0.039592   0.109589   0.354074   0.079805   1.294758  -6.102072   0.000638  -0.003430   0.001301   0.006547   0.012217   0.003627   0.015984   0.003015   0.001123   0.005238   0.003751   0.003345  -0.648454  -0.019784  -0.122910  -0.318827  -1.435231  -0.000588  -0.045560  -0.318658  -0.002182   1.139910   0.337910   0.036382   0.952275  -0.001635  -0.013909   0.013442   0.009522   0.012212   0.612646   0.078273   0.016592  -0.487060  -0.049610   0.152000   0.028583   0.933410   0.651112   1.169395   0.409960   0.039469   0.064011   0.018495   0.033176   0.133621   0.078840   0.010047   0.449173   0.794768   0.040743   0.909703  -0.001008   0.000994   0.001812  -0.061319   0.003490   0.000000   0.000363   0.212876  -0.009933  -0.038181   0.045760  -0.349850  -0.056333   0.027255   0.027230   0.315167   1.411698  -0.135609  -1.010669  -0.388727   0.589343   0.036099   0.300670   0.033787   0.004047   0.008093   0.109891  -0.020215  -0.018462  -0.009212  -0.041810   0.169283   0.155403   0.148051   0.030763   0.080447   0.012463   0.042743  -0.004577  -0.196702   0.008426  -0.013215  -1.199642   0.005153   0.023266   0.019526   0.018280  -0.004291   0.002367   0.281391   0.219221   0.019226   0.181113  -0.007519  -0.093067  -0.591680  -1.765853   0.075547   0.144024   0.059352   0.174113   0.024258   0.001187   0.031622  -0.154906   0.111270  -0.943153   0.123298   0.387206   0.288992   0.069615   0.030200   0.030561   0.050863   0.070147   0.051810   0.023916   0.367843   0.074349   0.012524   0.054512  -0.021308  -0.053545   0.002295  -0.009779  -0.003967  -0.003236   0.293301   0.039740  -0.011277   0.029516   0.012782  -0.002960   0.005919   0.000000
-18.274073  -1.262127   0.005636   0.168016   0.057104   0.021894   0.115705   0.028837   0.011462   0.012271  -0.086401  -0.005588  -0.008558   0.095327   0.101728   0.100184  -0.683044   0.016383  -0.490939  -0.007446  -0.253710  -0.002258   0.257409   0.104176  -0.037086  -0.004465   0.020781   0.008608   0.001440  -0.000463   0.009765   0.008656  -0.002737  -0.003479   0.010693   0.006928   0.007794   0.012080   1.102003   6.635308  -0.360709  -0.008774  -0.001271  -0.001649   0.009568   0.137558   0.002600   0.030787   0.017023   0.029967   0.015704   0.003157   0.001582   0.004688  -0.390970   0.048593   0.021567   0.025328   0.046807   0.045597   0.021163   0.046953   0.009616   0.016420  -0.012804  -0.060700   0.017701   0.018701   0.038992   0.107725   0.348438   0.078738   1.270855  -5.152495  -0.000182  -0.003691   0.001923   0.005438   0.009730   0.002705   0.015848   0.002980   0.000554   0.005183   0.003731   0.002494  -0.582331  -0.016732  -0.123554  -0.306644  -1.447326  -0.000581  -0.044727  -0.313211  -0.002146   1.144076   0.363196   0.034331   0.946193  -0.001607  -0.011466   0.013448   0.009694   0.072688   0.612168   0.079520   0.018143  -0.395198  -0.019704   0.122325   0.028712   0.915439   0.645555   1.151031   0.412401   0.039806   0.064325   0.023067   0.033717   0.136929   0.068152   0.009877   0.432714   0.783302   0.040736   0.900943  -0.000662   0.000685   0.001417  -0.051423   0.002897   0.000000   0.000302   0.210518  -0.009761  -0.036694   0.042049  -0.343775  -0.035393   0.024366   0.025845   0.303075   1.397489  -0.105881  -0.835262  -0.329691   0.582310   0.035347   0.296243   0.029896   0.003991   0.005365   0.100374  -0.019863  -0.015781  -0.009050  -0.041767   0.167898   0.154469   0.147462   0.030690   0.066391   0.010040   0.032676  -0.004886  -0.196218   0.007408  -0.012666  -1.212516   0.004524   0.019326   0.016657   0.014714  -0.001706   0.014095   0.319755   0.258779   0.024876   0.191645  -0.007513  -0.091364  -0.581297  -1.740434   0.075379   0.148894   0.059288   0.173398   0.024084   0.000884   0.028381  -0.154668   0.110635  -0.940975   0.121891   0.381084   0.286535   0.068949   0.028594   0.028778   0.068208   0.088200   0.051747   0.022453   0.360951   0.066841   0.014290   0.060579  -0.025717  -0.064638   0.001504  -0.008130  -0.003953  -0.002928   0.292587   0.034361  -0.010827   0.022102   0.011548  -0.002310   0.004919   0.000000
-18.263009  -1.292801   0.005718   0.173267   0.057372   0.020012   0.124729   0.030378   0.014065   0.015392  -0.090898  -0.005884  -0.007103   0.103644   0.132183   0.107750  -0.875780   0.020314  -0.622941  -0.009060  -0.334917  -0.004573   0.345910   0.143701  -0.037213  -0.002239   0.011922   0.008656   0.001160   0.000000   0.012852   0.010776  -0.000920  -0.003709   0.012309   0.007857   0.009271   0.019529   1.261820   7.653684  -0.383607  -0.013574  -0.002616  -0.003406   0.012270   0.175928   0.002632   0.033189   0.018724   0.032956   0.017569   0.003508   0.001795   0.004715  -0.418595   0.053303   0.023395   0.027207   0.051788   0.048807   0.021758   0.046138   0.009655   0.014126  -0.012873  -0.060937   0.018659   0.020545   0.042987   0.119035   0.385026   0.086892   1.446098  -6.087891   0.000367  -0.003717   0.001316   0.004377   0.009810   0.002733   0.016099   0.003044   0.000568   0.005283   0.002826   0.002522  -0.651245  -0.021422  -0.123989  -0.322353  -1.452322  -0.000595  -0.046266  -0.323265  -0.002213   1.272488   0.413701   0.041787   0.962127  -0.001658  -0.012483   0.014442   0.010993   0.074135   0.691323   0.091152   0.020950  -0.456990  -0.025070   0.168688   0.025960   1.036886   0.658117   1.300226   0.456450   0.043822   0.071310   0.028019   0.038349   0.155006   0.073060   0.010192   0.499791   0.807573   0.042981   0.921153  -0.001021   0.000770   0.001563  -0.057990   0.002335   0.000000   0.000243   0.215437  -0.010995  -0.038539   0.053731  -0.354995  -0.041879   0.022931   0.023966   0.288205   1.429432  -0.121864  -0.968939  -0.380073   0.597079   0.039157   0.305963   0.030547   0.004095   0.005436   0.090680  -0.020511  -0.017261  -0.009348  -0.039231   0.171285   0.157046   0.149457   0.031038   0.072200   0.011004   0.033138  -0.003295  -0.219854   0.004253  -0.013313  -1.194820   0.002599   0.015552   0.017949   0.016140   0.000867   0.014363   0.359092   0.285163   0.026993   0.215613  -0.009756  -0.094509  -0.600492  -1.787584   0.076107   0.166661   0.059702   0.175235   0.018303   0.000896   0.035153  -0.173301   0.112244  -1.043525   0.125047   0.431184   0.291870   0.070521   0.033852   0.029519  -0.136900  -0.088510   0.055673   0.023155   0.355958   0.068279   0.013784   0.058813  -0.025786  -0.054022   0.001552  -0.007589  -0.002399  -0.001484   0.295799   0.036813  -0.011381   0.027227   0.014181  -0.002465   0.004943   0.000000
-18.391615  -1.306454   0.004744   0.152451   0.041449   0.016817   0.095205   0.025632   0.008090   0.009742  -0.080413  -0.005177  -0.006733   0.090516   0.182185   0.090064  -1.462268   0.031111  -1.444042  -0.019100  -0.735259  -0.019232   0.485696   0.082675  -0.048445  -0.009447   0.018901   0.008704   0.001459   0.001442   0.016518   0.012605   0.000943  -0.002823   0.014423   0.008798   0.010442   0.025214   1.279874   7.825170  -0.396737  -0.014004  -0.002692  -0.001759   0.008379   0.122030   0.000692   0.025044   0.016273   0.028847   0.014879   0.002953   0.001627   0.004016  -0.422937   0.047367   0.020282   0.022745   0.046107   0.042869   0.021343   0.047646   0.007643   0.014926  -0.013271  -0.063498   0.015826   0.018231   0.038388   0.107563   0.341918   0.077993   1.516706  -6.528794   0.000188  -0.002979   0.001352   0.004404   0.009890   0.003682   0.016354   0.003109   0.000582   0.005386   0.003806   0.002550  -0.669618  -0.020188  -0.130192  -0.312228  -1.487879  -0.000610  -0.047874  -0.333752  -0.002282   1.945231   0.614418   0.031706   0.994019  -0.001710  -0.011272   0.012082   0.011415   0.185706   0.744146   0.102978   0.025748  -0.453436   0.005341   0.096893   0.024297   1.160233   0.712055   1.547143   0.933763   0.108416   0.107866   0.043757   0.039444   0.205529   0.064745   0.010525   0.463553   0.862749   0.036218   1.008279  -0.001049   0.000708   0.001196  -0.053018   0.002352   0.000000   0.000305   0.235759  -0.011357  -0.035284   0.037232  -0.366727  -0.025134   0.009710   0.015768   0.214210   1.566179  -0.111274  -0.960089  -0.376547   0.658765   0.034820   0.346172   0.027647   0.004202   0.003707   0.084596  -0.021183  -0.016434  -0.009657  -0.037072   0.186079   0.168559   0.158912   0.032781   0.060125   0.008857   0.027132  -0.002399  -0.213148   0.006733  -0.012623  -1.201619   0.004105   0.015642   0.016588   0.013367   0.006417   0.035892   0.541254   0.442977   0.047575   0.302283  -0.014745  -0.097803  -0.620626  -1.827296   0.070668   0.207413   0.054845   0.162118   0.024727   0.001212   0.050345  -0.176878   0.119507  -0.948160   0.138479   0.561625   0.314357   0.077228   0.021343   0.027448   0.090237   0.093420   0.046613   0.022773   0.368957   0.062967   0.014990   0.062464  -0.036100  -0.090923   0.001601  -0.003588  -0.001663  -0.000000   0.300727   0.032586  -0.010909   0.022837   0.008146  -0.001886   0.004966  -9.740560
-18.980857  -1.326785   0.004080   0.146597   0.028828   0.008829   0.045042   0.024715  -0.001421  -0.000000  -0.065876  -0.004107  -0.006980   0.079625   0.190096   0.080135  -1.910671   0.053409  -2.127320  -0.018480  -0.980092  -0.017734   0.457128  -0.014521  -0.056217  -0.017419  -0.000000   0.003495   0.000586   0.000501   0.019539   0.012491  -0.000000  -0.003796   0.014173   0.008353   0.009919   0.023699   1.239330   7.876745  -0.417136  -0.019069  -0.004116  -0.005393   0.004042   0.073478   0.000364   0.022897   0.014428   0.025951   0.013554   0.002522   0.001448   0.004097  -0.427404   0.044506   0.018581   0.020231   0.042481   0.036380   0.019607   0.048705  -0.000000  -0.000000  -0.006829  -0.051397   0.014867   0.016098   0.034130   0.096933   0.300865   0.068836   1.586002  -6.304871   0.000586  -0.003643   0.000689   0.001106   0.002486   0.000927   0.005509   0.001051  -0.000000   0.001819   0.000958   0.000857  -0.662417  -0.020782  -0.115529  -0.282330  -1.373923  -0.000930  -0.050160  -0.347023  -0.003496   2.656297   0.776176   0.024762   0.760113  -0.002619  -0.013702   0.010755   0.010657   0.245404   0.818823   0.103388   0.026648  -0.455177   0.023068  -0.016991   0.009588   1.263324   0.547150   1.815277   1.124878   0.120409   0.207020   0.066308   0.037153   0.244972   0.059000   0.009413   0.423279   0.662829   0.034883   0.913464  -0.001424   0.000641   0.000945  -0.058910   0.001182   0.000000   0.000122   0.171897  -0.012576  -0.029602   0.022390  -0.379058  -0.020063  -0.001712   0.008297   0.164785   1.353243  -0.109059  -0.979464  -0.388812   0.484051   0.031161   0.192428   0.024407  -0.000000   0.002832   0.033273  -0.064947  -0.017179  -0.014807  -0.038237   0.209475   0.187452   0.174925   0.035825   0.051818   0.007381   0.020732  -0.003972  -0.151061  -0.000000  -0.011182  -1.242730  -0.000000   0.007852   0.014087   0.011195   0.005895   0.047271   0.674003   0.544558   0.060003   0.371575  -0.011873  -0.101527  -0.634662  -1.862039   0.053069   0.257938   0.040736   0.121402   0.006237   0.000306   0.092027  -0.129611   0.120930  -0.642710   0.159070   0.697574   0.233982   0.087752   0.007475   0.025032  -0.000000  -0.000000   0.041560   0.020954   0.359197   0.060517   0.015537   0.063779  -0.047338  -0.119422  -0.000000  -0.009465  -0.003792  -0.001652   0.226048   0.031412  -0.009766   0.020758  -0.001429  -0.002546   0.001993   0.000000
-19.702646  -1.237224   0.004120   0.137645   0.044615   0.011438   0.046283   0.022508  -0.005921  -0.007142  -0.058677  -0.003692  -0.011129   0.052640   0.065461   0.050050  -1.802055   0.027567  -1.957120  -0.022504  -0.951583  -0.026104   0.141922  -0.060605  -0.064106  -0.025970  -0.010418   0.001750   0.000294  -0.002075   0.008968   0.005315  -0.007109  -0.002181   0.007347   0.004480   0.005534   0.005449   0.841140   5.455847  -0.421156  -0.019240  -0.004150  -0.005442   0.001526   0.045062  -0.001124   0.011791   0.009405   0.017070   0.013680   0.002543   0.001466   0.004162  -0.334646   0.028096   0.011921   0.013286   0.027866   0.036749   0.019792   0.046715  -0.005603  -0.010968  -0.006992  -0.053154   0.011263   0.010755   0.022677   0.065141   0.204077   0.046418   1.061769  -3.008593  -0.001515  -0.002607   0.000694   0.001107   0.002492   0.000000   0.005534   0.001057  -0.000000   0.000000   0.000000   0.000859  -0.386635   0.000000  -0.109330  -0.279928  -1.376960  -0.001249  -0.050653  -0.350208  -0.004703   1.586193   0.475997   0.019336   0.584467  -0.002642  -0.007420   0.007067   0.006207   0.166386   0.535963   0.064018   0.015850  -0.212017   0.030127  -0.070859   0.009969   0.843673   0.389811   1.148290   0.802667   0.124543   0.216081   0.026354   0.022260   0.152353   0.059532   0.009501   0.316185   0.471820   0.029567   0.756340  -0.001435   0.000731   0.000955  -0.029728   0.000592   0.000000   0.000061   0.122701  -0.012693  -0.027939   0.013747  -0.382617  -0.000000  -0.008953   0.003449   0.132138   1.082546  -0.046016  -0.470081  -0.185605   0.346484   0.020548   0.130452   0.024642  -0.004307   0.002868   0.023026  -0.065542  -0.009377  -0.019926  -0.039391   0.217719   0.194214   0.180748   0.036964   0.052350   0.007461   0.024483  -0.004866  -0.083724  -0.003699  -0.010890  -1.333072  -0.002243   0.003932   0.015168   0.010894   0.002048   0.031987   0.427890   0.336987   0.038311   0.236359  -0.012200  -0.102532  -0.640746  -1.877403   0.041059   0.160698   0.031373   0.093437   0.000000   0.000307   0.051127  -0.080765   0.063985  -0.288354   0.162227   0.430975   0.166458   0.091550   0.001935   0.025255  -0.059486  -0.061676   0.027267   0.021163   0.363060   0.057460   0.015358   0.064369  -0.054207  -0.137004  -0.000000  -0.005007  -0.003928  -0.002402   0.173232   0.031673  -0.009598   0.023760  -0.005942  -0.001463   0.000998   0.000000
-20.840201  -1.214322   0.003727   0.145681   0.049055   0.011302   0.064366   0.025331  -0.007279  -0.008769  -0.048815  -0.003038  -0.011677   0.028545  -0.000000   0.034952  -1.647927   0.032190  -1.980701  -0.020872  -0.928114  -0.026258  -0.098937  -0.074403  -0.053009  -0.022942  -0.013653   0.000000   0.000293  -0.004315   0.005723   0.000780  -0.010624  -0.002487   0.000000   0.000656   0.000406  -0.008463   0.416053   2.706955  -0.418814  -0.019141  -0.004130  -0.005413   0.000376   0.028232  -0.001878   0.007076   0.005119   0.009261   0.012010   0.002532   0.001666   0.004957  -0.296981   0.017973   0.006883   0.008808   0.014177   0.031680   0.019687   0.046459  -0.006888  -0.010775   0.000000  -0.037377   0.010328   0.005617   0.011623   0.034181   0.098734   0.023428   0.435749  -1.587734  -0.001264  -0.000908   0.000691   0.001106   0.002488   0.000000   0.005519   0.001054  -0.000000   0.000000   0.000000   0.000000  -0.255576   0.015517  -0.085855  -0.239160  -1.118325  -0.001244  -0.050366  -0.348354  -0.004679   0.333814   0.081529   0.015670   0.448975  -0.002629  -0.005258   0.005015   0.001654  -0.031270   0.191273   0.015161   0.001019  -0.143453  -0.031155  -0.086981   0.009825   0.342012   0.280702   0.398236   0.114101   0.126346   0.218583   0.005405   0.005922   0.038057   0.062723   0.009450   0.213604   0.297059   0.029471   0.607241  -0.001429   0.000726   0.000950  -0.018285   0.000592   0.000000   0.000061   0.081051  -0.012625  -0.022508   0.012191  -0.380548  -0.025184  -0.005269   0.004528   0.135491   0.838924  -0.047660  -0.307222  -0.108448   0.228562   0.010398   0.063474   0.022629  -0.004289   0.002850   0.034039  -0.065194  -0.007688  -0.014864  -0.041027   0.205664   0.194521   0.180664   0.036909   0.052068   0.007419   0.020857  -0.005820  -0.076028  -0.004856  -0.009383  -1.407251  -0.002953   0.003929   0.015090   0.008030  -0.006352  -0.005995   0.055084   0.040122   0.001974   0.049728  -0.012182  -0.101948  -0.637216  -1.868558   0.033012   0.041138   0.025216   0.075386   0.000000   0.000306   0.059169  -0.076106   0.045986  -0.270988   0.144933   0.125811   0.116431   0.091973   0.019147   0.026608  -0.077968  -0.080803   0.020727   0.021044   0.360839   0.060759   0.015293   0.062148  -0.048394  -0.122163  -0.000000  -0.003311  -0.003752  -0.003191   0.132598   0.031528  -0.008235   0.023563  -0.007317  -0.001660   0.000000   0.000000
-22.829051  -1.312381   0.003737   0.143307   0.048570   0.011187   0.054408   0.024992  -0.007250  -0.008737  -0.048692  -0.002958  -0.013222   0.025820  -0.034846   0.029590  -0.946442   0.004231  -1.043073  -0.016951  -0.523408  -0.023289  -0.158471  -0.074085  -0.057702  -0.022878  -0.013568   0.001750   0.000294  -0.003418  -0.001160  -0.000000  -0.010226  -0.000715   0.001822   0.001013   0.001261  -0.008839   0.427747   2.789072  -0.421700  -0.019263  -0.004155  -0.005449   0.000000   0.025724  -0.001469   0.005810   0.004655   0.008458   0.012061   0.002539   0.001668   0.004960  -0.323944   0.013212   0.005747   0.008088   0.013660   0.031799   0.019799   0.046758  -0.006853  -0.013400   0.000000  -0.037361   0.009730   0.005345   0.011068   0.032694   0.098351   0.022412   0.460096  -0.359606  -0.001687  -0.002602   0.000695   0.001108   0.002492   0.000930   0.005537   0.001058  -0.000000   0.001830   0.000961   0.000860  -0.272592  -0.000000  -0.085781  -0.238794  -1.190739  -0.001251  -0.050718  -0.350629  -0.004708   0.444765   0.154372   0.015564   0.437888  -0.002645  -0.001489   0.004969   0.002257   0.081893   0.221548   0.023463   0.005296  -0.010152   0.026166  -0.086704   0.006496   0.372972   0.278182   0.450162   0.151664   0.128268   0.219831  -0.005501   0.008059   0.054521   0.063014   0.009511   0.211743   0.301038   0.028938   0.601656  -0.001437   0.000728   0.000952  -0.006008   0.000592   0.000000   0.000061   0.080658  -0.012708  -0.022465   0.012104  -0.383072   0.011370  -0.012262   0.000564   0.102375   0.819189   0.004579  -0.038437  -0.025682   0.226714   0.010443   0.063915   0.022726  -0.004312   0.002857   0.022528  -0.065626  -0.000545  -0.019951  -0.023645   0.202737   0.193399   0.179524   0.036646   0.052265   0.007444   0.020911  -0.000410  -0.101038  -0.004822  -0.009373  -1.534912  -0.002930   0.003933   0.015162   0.008060   0.003334   0.015616   0.143087   0.125742   0.014367   0.082999  -0.011922  -0.102659  -0.641485  -1.878876   0.031155   0.056217   0.023836   0.071157   0.006263   0.000307   0.007349  -0.092791   0.045640  -0.400371   0.142685   0.148506   0.115525   0.091497   0.018942   0.026746  -0.077491  -0.080342   0.021817   0.021177   0.363417   0.061019   0.015367   0.062522  -0.053132  -0.134201  -0.000000  -0.001006  -0.000329   0.000000   0.129530   0.031671  -0.008224   0.023588  -0.008747  -0.000472   0.001996   0.000000
