Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
-0.014991 -0.009094 -0.061479 -0.005934 -0.013428 -0.022625 -0.010411 -0.001918 -0.031281 -0.033274 -0.050547 -0.055114  0.007452 -0.005799  0.002434 -0.000069 -0.017153 -0.007563 -0.015688 -0.007169 -0.014015 -0.002772 -0.001171 -0.038265 -0.038661 -0.033532 -0.035083 -0.134595 -0.133157  0.007473  0.003564  0.006871  0.007518  0.007677  0.007032  0.006291  0.007351  0.005592 -0.015509 -0.016663 -0.109663 -0.088345 -0.090968 -0.093668 -0.027929 -0.021776  0.000163  0.000265 -0.006006 -0.006606 -0.065338 -0.075777 -0.055096 -0.053506 -0.006300 -0.003472 -0.003077  0.001387 -0.006362 -0.062828 -0.072735 -0.079598 -0.029001 -0.033269 -0.050240 -0.049898 -0.001242 -0.007569 -0.008484 -0.009126 -0.010471 -0.010727 -0.011475 -0.005170  0.007672  0.003708 -0.083678 -0.132018 -0.129976 -0.127702 -0.117495 -0.100713 -0.095732 -0.108072 -0.125924 -0.118174 -0.005947 -0.000234 -0.049621 -0.048203 -0.046386 -0.087017 -0.099277 -0.107733 -0.088308 -0.008224 -0.008239 -0.017978 -0.014575 -0.090155  0.007645  0.002869  0.001487 -0.003516 -0.007995 -0.000582  0.005966 -0.002732 -0.003555 -0.040363 -0.030419 -0.014167 -0.015956 -0.011857 -0.004175  0.000000 -0.006347  0.004392  0.001160 -0.009632 -0.067649 -0.079928 -0.015889 -0.017320 -0.002378 -0.015717 -0.096719 -0.056038 -0.059626  0.001180 -0.132566 -0.060088 -0.134695 -0.021007 -0.088099 -0.042666 -0.017944 -0.109244 -0.005332 -0.030751 -0.024389 -0.014455 -0.017886 -0.005488 -0.005666 -0.002632 -0.019018 -0.009099 -0.000989 -0.070510 -0.096344 -0.060879 -0.037203 -0.097476  0.001841 -0.090889  0.000782 -0.010786 -0.006807  0.000162  0.000162 -0.070178 -0.065396 -0.065316  0.006557 -0.012422 -0.032781 -0.038371 -0.011759 -0.029068 -0.133289 -0.069590 -0.063273  0.001727  0.000852 -0.010739 -0.010089 -0.007693 -0.010394  0.001305 -0.105629 -0.110046 -0.110203 -0.011943 -0.006882 -0.012696 -0.012983 -0.131602 -0.129502 -0.004185 -0.009853 -0.007666 -0.016316 -0.012326 -0.005938 -0.016974 -0.010522 -0.001215 -0.073357 -0.051934 -0.049767  0.004105 -0.078000 -0.090425 -0.072668 -0.077909 -0.079013 -0.032975 -0.033058 -0.084925  0.005791  0.007584  0.005633 -0.009418 -0.068063 -0.042472 -0.056846 -0.031276  0.007696 -0.133107 -0.015305
-0.018007 -0.012195  0.002146  0.002136  0.004015 -0.000898  0.002857  0.003730  0.001343 -0.000770 -0.010570 -0.015106  0.004563 -0.005893 -0.000247  0.000209 -0.018030 -0.008574 -0.016610 -0.008162 -0.014962 -0.003782 -0.003991 -0.005444 -0.001613  0.001901 -0.003553 -0.002241 -0.001844  0.004723  0.001347  0.004340  0.004719  0.004671  0.004420  0.003879  0.004755  0.002896 -0.014185 -0.015325 -0.020948 -0.000017  0.000152 -0.001682  0.001030  0.000455 -0.000761 -0.000020 -0.006085 -0.006606  0.001964 -0.008364  0.001035  0.001272 -0.009408 -0.003912 -0.003402  0.001654 -0.006401  0.002628  0.001140  0.000139  0.003685 -0.001173  0.000698 -0.002440  0.002101 -0.007857 -0.008507 -0.008973 -0.009902 -0.010127 -0.011201 -0.008261  0.004717  0.000734  0.002704 -0.001499 -0.002015 -0.009446 -0.004239  0.002310  0.002432 -0.000181 -0.005441 -0.001733 -0.009042 -0.003266 -0.004263 -0.006395 -0.006833  0.002628 -0.010647 -0.018618  0.001749 -0.007166 -0.008798 -0.001099 -0.006261  0.000305  0.004571  0.003125 -0.000356 -0.005359 -0.008467 -0.002207  0.003273 -0.005388 -0.005561 -0.007548 -0.005515 -0.013207 -0.010234 -0.011233 -0.003702  0.000000 -0.002267  0.001768 -0.000763 -0.009939  0.001851  0.001717 -0.013136 -0.013764  0.002864 -0.010114 -0.008364  0.000859  0.001959 -0.001686 -0.001851 -0.020056 -0.002288 -0.018612 -0.000565 -0.001736  0.004138 -0.020103 -0.007606  0.002529  0.003928  0.004303 -0.012597 -0.007948 -0.008608 -0.005648 -0.016244 -0.008815 -0.000618 -0.003975  0.002420 -0.001113 -0.012164 -0.004601 -0.001061 -0.000355 -0.002349 -0.005413 -0.001673  0.004527  0.004529 -0.005000 -0.002218 -0.003632  0.003384 -0.013484 -0.001419  0.003453 -0.014851  0.001918 -0.002104 -0.000509  0.003136 -0.000833 -0.001002 -0.011748 -0.011358 -0.009215 -0.010915  0.000258 -0.016626 -0.021084 -0.021114 -0.000969 -0.007668 -0.000694  0.000217 -0.013024 -0.011058 -0.005185 -0.010916 -0.000265 -0.017385 -0.006935 -0.005062 -0.012578 -0.005223  0.004449 -0.000541 -0.019816 -0.017745  0.004349 -0.002513 -0.011891 -0.001572  0.001946  0.000810  0.003601  0.003621  0.002604  0.002815  0.004471  0.002562 -0.001165  0.001494 -0.000643  0.000116  0.001302  0.004683 -0.000583 -0.018661
-0.019840 -0.013995  0.032284  0.005744  0.011995  0.008968  0.008990  0.006081  0.016731  0.014839  0.008286  0.003768  0.002758 -0.006581 -0.001809 -0.000086 -0.018949 -0.009536 -0.017521 -0.008992 -0.015848 -0.004531 -0.005566  0.010429  0.015852  0.018614  0.010870  0.063790  0.063616  0.003022 -0.000055  0.002662  0.002979  0.002847  0.002004  0.001985  0.002542  0.001251 -0.013566 -0.014672  0.021693  0.042566  0.044371  0.043232  0.014656  0.010847 -0.001298 -0.000347 -0.006792 -0.007205  0.034122  0.023855  0.027157  0.026545 -0.011202 -0.005278 -0.004395  0.001364 -0.006988  0.033781  0.036734  0.038464  0.019015  0.013754  0.023850  0.019558  0.003336 -0.008026 -0.008677 -0.009145 -0.009849 -0.010072 -0.011145 -0.009927  0.002910 -0.001118  0.044171  0.063548  0.061474  0.048646  0.050810  0.052001  0.049716  0.052049  0.053612  0.054488 -0.010834 -0.005109  0.016950  0.013340  0.011808  0.045702  0.032007  0.024200  0.045212 -0.006558 -0.009045  0.006694 -0.002608  0.044150  0.002718  0.002840 -0.001854 -0.006505 -0.008925 -0.003761 -0.000010 -0.006837 -0.006758  0.008457  0.005688 -0.012673 -0.008093 -0.010870 -0.003405  0.000000 -0.000269  0.000202 -0.002117 -0.010070  0.035209  0.040733 -0.011845 -0.012581  0.005063 -0.007547  0.034252  0.027465  0.030973 -0.003297  0.063319 -0.001168  0.063774 -0.016900  0.041523  0.017500  0.014361  0.022731 -0.008803  0.018088  0.017059  0.012697 -0.010178 -0.009209 -0.010018 -0.007210 -0.014594 -0.009035 -0.000478  0.028297  0.049999  0.027226 -0.000617  0.040959 -0.002699  0.043652 -0.003991 -0.002933  0.000655  0.006245  0.006248  0.026578  0.028065  0.025917  0.001522 -0.014297  0.012635  0.023198 -0.016648  0.015524  0.063585  0.032916  0.034818 -0.002422 -0.002259 -0.012081 -0.011849 -0.009927 -0.011049 -0.000432  0.026188  0.021672  0.021703  0.003456 -0.008188  0.002620  0.002214  0.045491  0.047253 -0.005764 -0.011680 -0.000019 -0.018243 -0.004433 -0.004419 -0.010617 -0.002769  0.006767  0.034703 -0.004509 -0.002536  0.004070  0.034158  0.026704  0.032976  0.040393  0.039233  0.020738  0.020877  0.044638  0.001091  0.002600  0.000640  0.002444  0.034951  0.019115  0.026941  0.016757  0.002856  0.065430 -0.020618
-0.019525 -0.013656  0.037611  0.006408  0.013364  0.010968  0.009949  0.006469  0.019486  0.017659  0.011615  0.007101  0.002470 -0.006370 -0.001968 -0.000246 -0.019313 -0.009999 -0.017872 -0.009478 -0.016211 -0.005129 -0.005594  0.013402  0.018623  0.021379  0.013596  0.075795  0.075654  0.002648 -0.000422  0.002349  0.002562  0.002391  0.001642  0.001682  0.002192  0.000992 -0.012739 -0.013901  0.029296  0.050166  0.052302  0.051324  0.017212  0.013030 -0.001977 -0.000781 -0.006585 -0.006927  0.039835  0.029580  0.031699  0.030929 -0.010884 -0.005476 -0.004398  0.001219 -0.006702  0.039310  0.043074  0.045275  0.021714  0.016513  0.027969  0.023484  0.003512 -0.007563 -0.008218 -0.008692 -0.009289 -0.009508 -0.010608 -0.009906  0.002533 -0.001082  0.051564  0.075575  0.073164  0.059393  0.060919  0.060902  0.058174  0.061470  0.064551  0.064955 -0.010542 -0.004798  0.020742  0.016883  0.015091  0.053387  0.039361  0.031427  0.052984 -0.006082 -0.008669  0.008623 -0.001082  0.052006  0.002328  0.002711 -0.002007 -0.006404 -0.008591 -0.003944 -0.000402 -0.006738 -0.006648  0.011472  0.008113 -0.011934 -0.006574 -0.010268 -0.003165  0.000000  0.000221 -0.000028 -0.002269 -0.009629  0.041147  0.047649 -0.010827 -0.011274  0.005456 -0.006133  0.041859  0.032097  0.036082 -0.003255  0.075372  0.002168  0.075784 -0.014997  0.048952  0.020891  0.016149  0.030079 -0.008587  0.019030  0.018193  0.014157 -0.008656 -0.008988 -0.009743 -0.007067 -0.012823 -0.008587  0.000210  0.034085  0.058512  0.032224  0.002055  0.049206 -0.002790  0.051546 -0.003919 -0.001626  0.001765  0.006519  0.006522  0.032240  0.033456  0.031177  0.001203 -0.014596  0.015336  0.026686 -0.016353  0.018150  0.075835  0.038895  0.040444 -0.002583 -0.002399 -0.011649 -0.011483 -0.009756 -0.010572 -0.001023  0.033504  0.029290  0.029331  0.004995 -0.007851  0.004323  0.004068  0.056354  0.058050 -0.006536 -0.012003  0.001562 -0.018481 -0.003091 -0.003727 -0.008920 -0.001487  0.007120  0.041000 -0.001776  0.000253  0.003958  0.040706  0.033616  0.039168  0.047231  0.046066  0.023353  0.023762  0.052132  0.000923  0.002211  0.000282  0.003966  0.040914  0.022634  0.031533  0.019300  0.002431  0.077335 -0.021030
-0.019601 -0.013794  0.037922  0.006501  0.013470  0.011080  0.010031  0.006541  0.019538  0.017754  0.011805  0.007291  0.002500 -0.006346 -0.002100 -0.000208 -0.019322 -0.010236 -0.017897 -0.009567 -0.016237 -0.005213 -0.005662  0.013476  0.018690  0.021396  0.013602  0.075630  0.075345  0.002685 -0.000588  0.002290  0.002642  0.002460  0.001681  0.001685  0.002217  0.000942 -0.012682 -0.013845  0.029644  0.050514  0.052637  0.051630  0.017275  0.013113 -0.002020 -0.000742 -0.006563 -0.006901  0.040141  0.029887  0.032102  0.031352 -0.011001 -0.005484 -0.004385  0.001260 -0.006676  0.039571  0.043443  0.045665  0.021876  0.016597  0.028397  0.023826  0.003575 -0.007525 -0.008179 -0.008654 -0.009248 -0.009467 -0.010572 -0.009904  0.002563 -0.001110  0.051903  0.075189  0.072911  0.059593  0.061169  0.061250  0.058522  0.061777  0.064632  0.065151 -0.010627 -0.004875  0.021038  0.017115  0.015278  0.053731  0.039890  0.032081  0.053329 -0.006055 -0.008617  0.008712 -0.000983  0.052345  0.002361  0.002754 -0.001980 -0.006345 -0.008552 -0.003896 -0.000356 -0.006715 -0.006596  0.011549  0.008218 -0.011885 -0.006461 -0.010228 -0.003153  0.000000  0.000253 -0.000184 -0.002236 -0.009580  0.041479  0.048022 -0.010759 -0.011173  0.005536 -0.006039  0.042208  0.032489  0.036420 -0.003247  0.074985  0.002358  0.075619 -0.014883  0.049354  0.021086  0.016273  0.030639 -0.008546  0.019110  0.018285  0.014268 -0.008555 -0.008954 -0.009734 -0.007063 -0.012710 -0.008551  0.000263  0.034455  0.058860  0.032598  0.002200  0.049481 -0.002764  0.051896 -0.003918 -0.001535  0.001852  0.006581  0.006584  0.032606  0.033802  0.031542  0.001232 -0.014588  0.015288  0.026883 -0.016402  0.017979  0.075281  0.039258  0.040729 -0.002537 -0.002298 -0.011566 -0.011378 -0.009550 -0.010520 -0.001099  0.034075  0.029643  0.029685  0.005112 -0.007803  0.004499  0.004311  0.056570  0.058269 -0.006851 -0.011994  0.001763 -0.018443 -0.002998 -0.003689 -0.008804 -0.001396  0.007184  0.041381 -0.001657  0.000353  0.004003  0.041119  0.034094  0.039554  0.047631  0.046464  0.022921  0.022701  0.052476  0.000942  0.002243  0.000319  0.004068  0.041251  0.022847  0.031870  0.019358  0.002483  0.077246 -0.020998
-0.019747 -0.013981  0.036629  0.006360  0.013142  0.010657  0.009814  0.006461  0.018972  0.017113  0.010984  0.006469  0.002601 -0.006365 -0.002001 -0.000158 -0.019218 -0.009961 -0.017781 -0.009405 -0.016120 -0.005052 -0.005595  0.012833  0.017981  0.020716  0.013182  0.072180  0.071929  0.002785 -0.000407  0.002410  0.002743  0.002577  0.001795  0.001791  0.002334  0.001043 -0.012923 -0.014093  0.027707  0.048554  0.050550  0.049447  0.016742  0.012642 -0.001892 -0.000660 -0.006577 -0.006942  0.038710  0.028453  0.031143  0.030463 -0.011165 -0.005337 -0.004329  0.001307 -0.006720  0.038173  0.041843  0.043953  0.021217  0.016054  0.027489  0.022927  0.003546 -0.007640 -0.008293 -0.008767 -0.009394 -0.009613 -0.010725 -0.009884  0.002664 -0.001102  0.050021  0.071797  0.069729  0.056753  0.058508  0.058961  0.056353  0.059310  0.061720  0.062386 -0.010760 -0.005022  0.020159  0.016257  0.014471  0.051771  0.037953  0.030140  0.051318 -0.006166 -0.008690  0.008290 -0.001332  0.050287  0.002465  0.002799 -0.001926 -0.006339 -0.008635 -0.003818 -0.000245 -0.006703 -0.006590  0.010871  0.007742 -0.012103 -0.006802 -0.010392 -0.003208  0.000000  0.000141 -0.000069 -0.002186 -0.009672  0.039988  0.046301 -0.011031 -0.011487  0.005458 -0.006373  0.040246  0.031488  0.035221 -0.003227  0.071588  0.001535  0.072168 -0.015305  0.047441  0.020237  0.015842  0.028705 -0.008554  0.018824  0.017974  0.013918 -0.008910 -0.008962 -0.009740 -0.007053 -0.013106 -0.008655  0.000090  0.033029  0.056676  0.031460  0.001656  0.047208 -0.002715  0.049823 -0.003900 -0.001840  0.001596  0.006527  0.006531  0.031226  0.032507  0.030308  0.001325 -0.014505  0.014922  0.026021 -0.016495  0.017738  0.071771  0.037763  0.039313 -0.002471 -0.002127 -0.011653 -0.011447 -0.009578 -0.010615 -0.000971  0.032143  0.027701  0.027740  0.004760 -0.007864  0.004151  0.003972  0.053697  0.055412 -0.006519 -0.011927  0.001475 -0.018376 -0.003312 -0.003861 -0.009178 -0.001694  0.007109  0.039790 -0.001997 -0.000023  0.004044  0.039443  0.032294  0.037991  0.045905  0.044740  0.021992  0.021459  0.050567  0.001000  0.002348  0.000424  0.003731  0.039753  0.021984  0.030827  0.019057  0.002594  0.073790 -0.020889
-0.018251 -0.012552  0.002956  0.002161  0.004094 -0.000784  0.002880  0.003652  0.001804 -0.000106 -0.010116 -0.014651  0.004326 -0.006251 -0.000328 -0.000024 -0.018376 -0.008873 -0.016902 -0.008455 -0.015229 -0.004092 -0.004014 -0.004563 -0.001326  0.002166 -0.003369  0.000820  0.000875  0.004482  0.001103  0.003997  0.004464  0.004424  0.003423  0.003244  0.003899  0.002699 -0.014366 -0.015547 -0.019637  0.001404  0.001785  0.000075  0.001432  0.000740 -0.001048 -0.000224 -0.006446 -0.006950  0.002983 -0.007334  0.001760  0.001873 -0.009715 -0.004379 -0.003783  0.001434 -0.006740  0.003407  0.002581  0.001583  0.004021 -0.000837  0.000975 -0.001939  0.001976 -0.008161 -0.008813 -0.009284 -0.010131 -0.010361 -0.011412 -0.008353  0.004465  0.000497  0.003974  0.001025  0.000508 -0.006728 -0.002084  0.003902  0.003929  0.001680 -0.003026  0.000083 -0.009280 -0.003518 -0.003680 -0.005810 -0.006394  0.003959 -0.009328 -0.017398  0.003220 -0.007203 -0.008878 -0.000938 -0.006301  0.001903  0.004323  0.002918 -0.000907 -0.005618 -0.008784 -0.002938  0.001517 -0.005500 -0.005784 -0.006558 -0.005412 -0.013335 -0.010526 -0.011341 -0.003702  0.000000 -0.002341  0.001640 -0.001178 -0.010024  0.003075  0.002957 -0.013234 -0.014128  0.002815 -0.010097 -0.006921  0.001655  0.002721 -0.001816  0.000708 -0.019600  0.000779 -0.018560  0.000760 -0.001347  0.004304 -0.018838 -0.007705  0.002837  0.004195  0.004410 -0.012572 -0.008008 -0.008535 -0.005664 -0.016293 -0.009096 -0.000718 -0.002282  0.003928 -0.000027 -0.011663 -0.002763 -0.001220  0.001384 -0.002388 -0.005367 -0.001641  0.004414  0.004416 -0.003337 -0.000935 -0.002291  0.003160 -0.013687 -0.001495  0.003940 -0.014963  0.001533  0.000376  0.001066  0.004049 -0.001082 -0.001370 -0.011735 -0.011359 -0.009271 -0.010936 -0.000067 -0.015329 -0.019771 -0.019799 -0.001167 -0.007897 -0.001725 -0.001817 -0.009990 -0.008187 -0.005426 -0.011133 -0.002072 -0.017579 -0.006881 -0.005045 -0.012705 -0.005166  0.004340  0.001078 -0.019053 -0.017015  0.004155 -0.000741 -0.009618  0.000192  0.003463  0.002316  0.002695  0.001704  0.003893  0.002633  0.004221  0.002307 -0.001181  0.002804 -0.000102  0.000876  0.001898  0.004437  0.002472 -0.018920
-0.014548 -0.008860 -0.074086 -0.008054 -0.017015 -0.026677 -0.013591 -0.003531 -0.037795 -0.039786 -0.058605 -0.063178  0.007918 -0.005637  0.002701 -0.000245 -0.017020 -0.007392 -0.015535 -0.006997 -0.013873 -0.002635 -0.000902 -0.044704 -0.046395 -0.040982 -0.041179 -0.161475 -0.160095  0.007857  0.003864  0.007341  0.007915  0.008110  0.007546  0.006738  0.007848  0.005953 -0.016105 -0.017284 -0.127331 -0.105993 -0.109291 -0.112363 -0.033730 -0.026301  0.000198  0.000131 -0.005820 -0.006409 -0.078714 -0.089172 -0.065779 -0.063894 -0.006025 -0.003283 -0.002906  0.001205 -0.006186 -0.075994 -0.087226 -0.095168 -0.035618 -0.039591 -0.059970 -0.059092 -0.002221 -0.007119 -0.008242 -0.009020 -0.010733 -0.010989 -0.011805 -0.004800  0.008099  0.004217 -0.100896 -0.158954 -0.156060 -0.150893 -0.139753 -0.121240 -0.115294 -0.129409 -0.149823 -0.141112 -0.005591  0.000210 -0.058466 -0.056494 -0.054364 -0.104884 -0.116843 -0.125372 -0.106316 -0.008631 -0.008362 -0.021504 -0.016510 -0.108315  0.008090  0.002681  0.001665 -0.003392 -0.008069 -0.000209  0.006446 -0.002458 -0.003407 -0.046827 -0.034893 -0.014688 -0.017311 -0.012257 -0.004374  0.000000 -0.007170  0.004670  0.001295 -0.009643 -0.081377 -0.095978 -0.016789 -0.018245 -0.003826 -0.017195 -0.114367 -0.066920 -0.071719  0.001545 -0.159528 -0.068156 -0.161584 -0.021629 -0.105501 -0.050952 -0.022469 -0.126887 -0.005182 -0.037466 -0.030147 -0.018405 -0.019335 -0.005306 -0.005399 -0.002293 -0.019579 -0.009127 -0.001319 -0.083413 -0.116307 -0.072382 -0.041459 -0.116529  0.002194 -0.109041  0.001146 -0.012184 -0.008146 -0.000897 -0.000859 -0.082794 -0.077699 -0.077210  0.007003 -0.012370 -0.038863 -0.046795 -0.011292 -0.035152 -0.160696 -0.083086 -0.076545  0.002001  0.001055 -0.010888 -0.010198 -0.007739 -0.010475  0.001412 -0.123225 -0.127763 -0.127945 -0.014303 -0.006113 -0.014918 -0.015030 -0.154744 -0.152674 -0.004050 -0.009848 -0.008723 -0.016263 -0.013753 -0.006451 -0.018032 -0.011921 -0.002883 -0.087586 -0.057836 -0.055681  0.003909 -0.092746 -0.105676 -0.086509 -0.093191 -0.094425 -0.042556 -0.044915 -0.102366  0.006204  0.008036  0.006016 -0.011330 -0.081776 -0.050836 -0.067997 -0.037724  0.008130 -0.159969 -0.014792
-0.013661 -0.007612 -0.101327 -0.012974 -0.024805 -0.036128 -0.020328 -0.007937 -0.052437 -0.054509 -0.075952 -0.080534  0.008778 -0.005319  0.002784 -0.000732 -0.017124 -0.007477 -0.015652 -0.006700 -0.013887 -0.001986 -0.000780 -0.059255 -0.062592 -0.056602 -0.055208 -0.217407 -0.215631  0.008608  0.003772  0.007540  0.008693  0.008981  0.008509  0.007336  0.008566  0.006290 -0.016125 -0.017354 -0.165044 -0.143622 -0.148194 -0.151767 -0.046702 -0.036178  0.000671  0.000026 -0.005554 -0.006137 -0.107516 -0.118020 -0.089519 -0.087253 -0.004563 -0.003265 -0.002944  0.000711 -0.005872 -0.104069 -0.118702 -0.129013 -0.049897 -0.053712 -0.081815 -0.079437 -0.004718 -0.005497 -0.007128 -0.008235 -0.010578 -0.010838 -0.011414 -0.003714  0.008947  0.005140 -0.137673 -0.214178 -0.209952 -0.200602 -0.187459 -0.164923 -0.156965 -0.174925 -0.200517 -0.190137 -0.004037  0.001100 -0.077943 -0.074527 -0.071563 -0.143020 -0.154423 -0.163035 -0.144685 -0.008350 -0.007655 -0.028946 -0.020046 -0.146917  0.008998  0.002180  0.002692 -0.002462 -0.007201  0.001698  0.007748 -0.001470 -0.002469 -0.061349 -0.045583 -0.014248 -0.019593 -0.011840 -0.004219  0.000000 -0.008643  0.004775  0.002381 -0.008616 -0.111072 -0.130646 -0.017701 -0.019429 -0.007315 -0.019585 -0.152009 -0.090879 -0.098064  0.002520 -0.214834 -0.085520 -0.217538 -0.023058 -0.142716 -0.068638 -0.032262 -0.164651 -0.004261 -0.052088 -0.042577 -0.026648 -0.021610 -0.004373 -0.004427 -0.001287 -0.020972 -0.008809 -0.001179 -0.111795 -0.158549 -0.097691 -0.051956 -0.156427  0.003189 -0.147682  0.002221 -0.014578 -0.010535 -0.003226 -0.003129 -0.110587 -0.104614 -0.103423  0.008002 -0.012128 -0.052967 -0.064923 -0.010372 -0.049369 -0.216433 -0.112573 -0.104996  0.002964  0.002518 -0.010190 -0.009459 -0.006922 -0.009642  0.002472 -0.160930 -0.165584 -0.165819 -0.018956 -0.004563 -0.019659 -0.019853 -0.204573 -0.202435 -0.004448 -0.009421 -0.011055 -0.016176 -0.016149 -0.002529 -0.019966 -0.014315 -0.007836 -0.118628 -0.071464 -0.069363  0.003402 -0.124885 -0.139064 -0.116839 -0.126989 -0.128239 -0.058492 -0.060830 -0.139612  0.007156  0.008972  0.007001 -0.014853 -0.111498 -0.068927 -0.091721 -0.052401  0.009002 -0.215969 -0.013719
-0.013534 -0.007295 -0.115267 -0.018080 -0.033533 -0.044551 -0.028185 -0.011678 -0.059632 -0.061442 -0.084940 -0.089527  0.008883 -0.005301  0.001297 -0.001298 -0.017434 -0.007759 -0.015943 -0.006747 -0.014112 -0.001853 -0.001913 -0.066523 -0.071008 -0.064618 -0.062411 -0.243238 -0.241610  0.008679  0.002912  0.007123  0.008774  0.009110  0.008612  0.007780  0.008627  0.005607 -0.015794 -0.017125 -0.184100 -0.162532 -0.167525 -0.171135 -0.053065 -0.041124  0.001046 -0.000143 -0.005488 -0.005995 -0.122200 -0.132722 -0.101969 -0.099325 -0.004098 -0.003431 -0.003178  0.000137 -0.005674 -0.118416 -0.134771 -0.146536 -0.057347 -0.061041 -0.092964 -0.089947 -0.007100 -0.005228 -0.006917 -0.008061 -0.010250 -0.010547 -0.010617 -0.003469  0.009063  0.005244 -0.156279 -0.240192 -0.235779 -0.224826 -0.211056 -0.186854 -0.177931 -0.197707 -0.225250 -0.214532 -0.003456  0.001231 -0.088048 -0.083916 -0.080455 -0.162285 -0.173355 -0.182046 -0.163926 -0.007809 -0.007171 -0.032705 -0.021906 -0.166141  0.009146  0.001599  0.005074 -0.002020 -0.006266  0.002429  0.008168 -0.001196 -0.002063 -0.068600 -0.053740 -0.013464 -0.020893 -0.011180 -0.003950  0.000000 -0.009304  0.003238  0.005593 -0.007937 -0.126183 -0.148590 -0.018045 -0.020054 -0.010809 -0.020861 -0.170911 -0.103546 -0.111573  0.002720 -0.240865 -0.094516 -0.243376 -0.024070 -0.161498 -0.077872 -0.037468 -0.183692 -0.003945 -0.059688 -0.049106 -0.031094 -0.022870 -0.004096 -0.004251 -0.001096 -0.021919 -0.008602 -0.000926 -0.125971 -0.179338 -0.110765 -0.060228 -0.175871  0.003429 -0.166849  0.002454 -0.015897 -0.011888 -0.004642 -0.004561 -0.124472 -0.118265 -0.116729  0.008207 -0.012264 -0.060024 -0.074302 -0.010264 -0.056277 -0.242391 -0.127402 -0.119510  0.003322  0.003027 -0.009821 -0.009106 -0.006552 -0.009116  0.002821 -0.179920 -0.184694 -0.184957 -0.021514 -0.003214 -0.022592 -0.023208 -0.228675 -0.226623 -0.004746 -0.009471 -0.012863 -0.016406 -0.017469  0.002396 -0.021153 -0.015649 -0.011596 -0.134335 -0.079026 -0.076874  0.002814 -0.141173 -0.155833 -0.132042 -0.144892 -0.145977 -0.067421 -0.070645 -0.158446  0.007331  0.009139  0.007295 -0.016713 -0.126572 -0.078309 -0.104647 -0.059527  0.009131 -0.241760 -0.013486
