NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
 6.099550 13.681925  1.681691 12.461056  9.712730  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 4.556989 14.197461  1.657747 12.436044  9.498150  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 5.475253 14.821286  1.916172  9.425293 10.352831  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 6.302920 14.283169  1.869310  9.487346 14.893199  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 6.426656 14.820472  1.896691  9.416568 14.012635  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 6.330803 14.684113  1.920696  9.393475 13.790028  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 6.400833 15.226849  2.055659  9.341220 10.130637  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 5.138911 14.642611  2.075358  9.468807  9.155540  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 4.549986 15.019157  1.864101 10.688334  8.586963  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 4.449601 15.250980  1.729164  9.011192  8.416525  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 5.811597 14.645635  1.791569 12.252111  8.818328  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 7.757295 15.153436  1.965871 12.357728  9.068302  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 8.912713 15.174368  1.873333 12.265699  9.867886  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 9.488965 15.717805  1.742163 12.133220 10.213765  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 9.476212 15.736234  1.654914 12.086771  9.357609  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 9.817753 15.706011  1.706157 12.070482 10.163403  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 9.852267 15.802249  1.694610 12.096670 10.162712  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 9.487468 31.144395  1.633398 12.159200  8.288843  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 9.524019 31.127780  1.744280 12.117048  8.320411  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 9.342404 31.265622  1.670964 12.143908  8.152424  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 9.400189 31.387611  1.901019 12.156839  9.392500  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 9.550915 15.643905  1.853687 12.195862  8.446727  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 9.256262 15.420040  1.647472 11.974171  8.529710  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 5.401572 15.128643 12.294039 13.355971  7.711363  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 4.708407 14.957287  7.552532 13.805912  8.416270  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 4.057506 14.765885 14.889048 13.149245  8.816711  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 4.679101 14.304579 23.754147 13.158203  9.353201  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 4.616447 14.341253 13.425612 13.803595  9.571502  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 4.675884 14.214801 19.996062 13.743568  9.249712  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 5.399433 14.929005  9.568803 13.450854  8.625852  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 6.443629 14.855078 10.324723 13.393553  8.127315  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 9.593530 16.025005 10.958764 13.425853  8.418571  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 9.738820 15.568457  2.263740 12.874704  8.286413  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 9.634054 15.571795  1.724959 12.119824  8.208123  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 9.511435 15.658257  1.745990 12.036248  8.321508  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 9.456835 15.656411  1.789735 11.851448  8.467894  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 9.496026 15.714830  1.739213 12.049983  8.352949  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 9.479508 15.684437  1.787735 11.869769  8.401933  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 9.522042 15.706810  1.816683 11.775639  8.312691  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
11.582477 15.630283  1.788884 11.826820  9.275955  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
11.786384 30.728690  1.711466 11.744364 10.073882  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
11.783360 30.481452  1.701287 11.845248 10.066534  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
11.682099 30.308718  1.776533 12.024360 10.097032  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 9.791264 15.459621  1.689495 12.214256 10.061350  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 9.618599 15.154101  1.767142 12.168124  8.349348  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 9.885556 15.149121  1.742499 12.560387  8.647897  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 9.963437 15.472675  1.653204 12.401412  8.513767  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 6.516695 14.153411  1.765417 12.257004  7.683198  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 5.178161 12.745616  1.561049 11.983164  8.355396  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 3.724164 12.350236  1.312663 10.742637  8.908923  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 4.947918 11.884948  1.681574 11.323707 10.974362  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 5.063480 11.695889  1.545254 11.350607 10.923840  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 5.336424 12.070257  1.636005 11.328812 10.730553  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 6.362581 11.633708  1.808061 11.212545 12.138410  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 6.202326 11.277538  1.621475 12.023573 10.920899  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 4.866391 10.229265  1.434566 11.985291  9.541346  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 4.217166 10.633983  1.559948 12.453397  8.754588  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
