NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
 61.047060  32.362013 243.131590 383.631445  28.576902   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 73.073608  50.618478 231.872530 383.045480  30.788546   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 72.050660  56.701121 166.286529 367.756139  29.802106   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 66.352531  58.866296 187.686364 331.257041  30.542442   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 58.668053  58.069126 154.869312 322.738919  29.408338   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 62.689490  70.079156 145.710113 297.922223  30.153410   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 56.186621  75.835927 100.319248 235.786211  28.585802   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 57.869862  63.928043 126.961985 229.487535  28.944382   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 51.236624  35.054636  86.464509 222.257342  23.962742   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 55.751175  31.213263  55.731554 233.386059  21.482200   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 69.332082  36.729452  53.129025 234.923827  22.166458   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 62.586168  53.567065  72.358095 232.233180  25.178498   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 52.686683  74.570705  90.743236 237.627741  27.831646   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 48.199226 101.809738 136.030894 239.899400  31.643198   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 44.244807 110.467185 167.099268 213.626421  33.248740   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
