Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
   2.359290  135.181327   -5.885350  -34.208718  -90.913606  -10.996733  -49.864773  -32.182403  -75.831550   -2.787479  162.581125   13.032200  421.384416  -84.411649   -1.259803  -18.560599    0.000000   -4.075111    5.155597  117.402533    5.265988   70.425452   -1.731345   -0.158051   32.038807  100.237212    8.408298   -0.352232   -0.402551 -148.881867  -70.097332  -84.648838   -3.390516   34.257807  -94.057165  -37.919935  -53.773126  -56.724677  -10.730948   -0.173807    6.572583   50.064259   11.337501   31.690418   -6.285517  -70.160566   -8.581126  -43.272710   -3.280900  -66.057589 -197.047262  -52.711501   -7.005138  -95.600410  131.581150 -172.249333 -249.758671  -74.313567   -3.546426   -6.290456 -159.900864  -61.772274   12.601036    1.254771  -51.832564  -22.601062  -14.446565  -48.993003   -0.811002  -54.967283   -7.651597   -0.152359   -0.171565  111.968908   26.929035   66.320931  -92.859705   -0.729380   -6.166571   -1.098627   -3.010254  -10.434445  -20.874402   -9.530905   -0.177135  -12.641764   78.771904  158.978407   16.788767    4.723328  144.632345   -7.665369   12.473301    9.990325    4.102211   -5.489365    0.000000   -7.016645   -6.974487   18.158675  315.767623  -58.837098  -46.268120   -7.655062   -0.607296  -38.505180  -74.203320   87.930596   -0.016969   -1.211722   -9.638748   -0.028475   -2.645202   -0.126431   -1.088477   -0.022049   -0.086357  -98.864267 -167.842453  -12.270569 -164.613673 -111.371258   -0.254425   -0.266998  -49.820554   -0.314333   27.285164  -45.695934   -6.240132   85.115445    0.000000    0.000000    0.000000   -0.150880   20.657472   85.847810  -76.333414    4.592044   -1.362771  -48.286569  -28.526769  -32.291678   -0.019969    0.873969   38.832713   23.605589   -3.832270   -0.033282  -34.397481  -15.310969    5.823362  -17.278623   -1.987184    6.955812   16.082224   16.166763  112.810339   -7.601674   -7.641982  -68.140895  -30.828804   -1.771392  -13.889326    0.000000   14.342906    0.000000   12.858980   24.263589   80.958512   36.978021   -1.041971  -50.691007  -53.833284   -1.872298  -16.164190    0.000000   -0.590581   -8.565206   -1.497799  257.584725    3.335951    3.534589    4.948424   -8.158597   -3.678760   -0.107243   -1.734723   -0.867161   -2.805274   -5.276256    9.166130  -27.576729    0.000000   -0.208569  -28.259938   -2.857469   -0.667495  -34.745287   -4.365576    3.895083    1.626749 -101.619975  -57.688510   -9.428135  -40.158268  -57.606207  -30.219348   34.049777   25.479779  -33.742004   61.360325   39.320429   -0.698803  -46.672069  -25.511572    4.534476  -12.883697   -1.791631    0.663291   -5.870528    0.000000
   2.407212  137.721497   -5.774913  -32.313284  -98.593215  -10.949697  -47.192529  -30.399243  -69.610751   -3.986774  166.735621   13.364652  465.133279  -79.734574   -1.122793  -17.532194    0.000000   -3.565722    5.201129   92.075284    5.293828   67.398293   -1.491747   -0.144496   32.978410  102.853198    7.813101   -0.332401   -0.477483 -113.544669  -64.884849  -79.125355   -2.202676   38.554304  -88.646894  -35.738739  -50.680037  -48.874639  -10.393497   -0.168342    6.625700   44.913556   11.270764   30.916740   -5.948678  -66.400676   -7.627668  -40.875058   -3.099112  -62.397474 -193.349716  -51.722382   -6.629734  -90.477203  134.007118 -162.705353 -235.920059  -70.196005   -3.546426   -6.172417 -156.900361  -60.613131   -1.364913    1.323304  -49.054867  -21.389876  -13.646111  -46.278402   -0.795505  -51.921659   -7.410981   -0.147568   -0.171565  113.587435  142.735017   63.235473  -91.117214   -0.696329   -7.314436   -1.036775   -2.873848  -11.232322  -18.866815   -9.478028   -0.169108  -14.994941   79.980117  -85.841837   16.033103    4.858439  148.666251   -5.911475   12.574106   10.071064    4.247139   -5.372570    0.000000   -6.795996   -6.755164   18.274936  322.736440  -55.577055  -43.606727   -7.241095   -0.602514  -36.290320  -69.935064   89.259348   -0.015332   -1.107799   -9.245052   -0.027579   -2.562020   -0.126431   -1.059451   -0.021351   -0.083624  -92.439910 -158.187972  -11.564752 -161.524736 -109.281402   -0.246424   -0.258602  -47.060100   -0.304448   24.531435  -43.247098   -6.123037   86.231962    0.000000    0.000000    0.000000   -0.146135   19.242182   88.049491  -73.700881    4.629156   -1.225211  -45.698902  -26.998025  -35.322010   -0.019341    0.893615   39.408580   23.947825   -3.711758   -0.032236  -41.352074  -15.023662    6.323988  -16.954394   -1.906017    5.061828   16.359698   16.270271  118.727293   -7.362627  -12.261967  -70.481584  -30.844802   -1.738153  -13.628696    0.000000   20.970593    0.000000   11.263722   25.293853   82.670135   38.103768   -0.994755  -49.739802  -56.855058   -1.733073  -15.290069    0.000000   -0.556610   -8.072526   -1.411644  245.642553    3.362911    3.563154    4.988416   -7.902038   -3.570561   -0.103870   -5.111557   -1.028577   -2.647338   -4.616724    8.716958  -36.557927    0.000000   -0.202010  -28.076432   -2.767611   -0.646504  -32.883294   -4.283657    4.017925    1.749629  -95.989422  -56.605998   -9.251218  -39.404708  -58.624879  -29.652289   35.057514   26.233879  -33.108843   62.297287   51.431965   -0.008642  -60.863392  -25.032853    4.673441  -12.193263   -1.644656    0.746479   -5.540019    0.000000
   2.442014  139.497909   -5.522379  -32.313284  -93.530088  -15.902835  -44.268015  -30.399243 -123.969564   -6.450373  171.271522   13.727582  473.988473  -79.734574   -0.808332  -17.532194    0.000000   -3.565722    5.108281   57.606846    4.619026   50.982434   -1.073953   -0.270128   33.848016  100.587053    7.617260   -0.372451   -0.425658  -49.822195  -52.209565  -63.939788    4.989580  198.499123  -74.373802  -31.042979  -43.270566  -33.300198  -10.393497   -0.168342    6.747163   41.612091    6.218868   12.279580   -5.580039  -62.285835  -34.621397  -40.875058   -3.099112  -62.397474 -184.894618  -49.460585   -6.218891  -84.870343  135.765125 -162.705353 -235.920059  -70.196005   -3.398658   -5.902500 -150.039177  -57.962545  -10.738052    0.096271  -46.014944  -20.064348  -13.646111  -46.278402   -0.785173  -51.921659   -7.410981   -0.147568   -0.159311  114.863208   68.927462   62.314190  -87.132698   -0.766343   -6.520555   -1.161693   -2.561932  -11.033422  -17.700234   -8.449320   -0.150754  -13.367449   80.855076  -99.831021    6.951173    4.978832  152.399643    4.565849   12.804616   10.255687    4.663460   -4.282483    0.000000   -6.795996   -6.755164   13.440346  329.299885  -55.577055  -41.706682   -5.259224   -0.540350  -34.709067  -61.781919   91.812654   -0.008623   -1.918688   -8.605201   -0.027579   -2.562020   -0.111360   -0.798217   -0.015350   -0.060122  -69.692854 -151.295358  -11.060849 -154.461330 -104.502574   -0.246424   -0.258602  -47.060100   -0.304448   23.021414  -40.567081   -5.855280   88.044747    0.000000    0.000000    0.000000   -0.146135   16.042661   90.447292  -67.355197    4.714018    0.143682  -42.866947  -25.324961  -36.352141   -0.019341    1.240177   39.873194   24.229168   -3.711758   -0.032236  -52.186944  -14.366684    1.750509  -16.212986   -1.774102    2.719295   16.642449   11.966010  123.579087   -7.362627  -28.015672  -71.659599  -31.073668   -1.662144  -13.032719   -0.000000   20.577267    0.000000   10.334093   29.864499   83.759601   39.407892   -0.886788  -47.564702  -56.819766   -1.136935  -11.105214    0.000000   -0.532357   -6.653212   -1.350136  189.750967    3.424560    3.628474    5.079864  -13.212846   -2.993501   -0.103870   -7.137535   -0.916939   -2.966307   -4.616724    8.821448  -44.605990    0.000000   -0.202010  -24.039298   -2.767611   -0.646504  -30.845521   -4.096335    4.148033    1.735927  -95.989422  -54.130643   -8.846666  -37.681557  -61.015621  -28.355608   34.389384   25.733911  -31.661008   63.480936   19.026078    1.182887  -79.634956  -23.938177    4.627662  -11.437648   -2.928962    3.843291   -6.207519    0.000000
   2.443711  139.814402   -5.574402  -32.313284  -94.387270  -17.321895  -44.673721  -30.399243 -125.915320   -6.580272  170.645582   13.677108  474.757364  -79.734574   -0.809036  -17.532194    0.000000   -4.075111    5.108281   76.915743    4.649033   42.001209   -1.074888   -0.254503   33.700452  100.089606    7.500545   -0.381793   -0.436335  -56.657399  -49.837815  -63.460679    1.211535  195.369319  -74.003416  -30.893655  -43.058814  -35.216935  -10.393497   -0.168342    6.722141   41.117565    4.297244   12.060720   -5.631179  -62.856671  -40.641243  -40.875058   -3.099112  -62.397474 -186.636424  -49.926530   -6.275885  -85.648161  136.087912 -162.705353 -235.920059  -70.196005   -3.423286   -5.958104 -151.452626  -58.508584  -11.195322    0.073477  -46.436661  -20.248234  -13.646111  -46.278402   -0.790339  -51.921659   -7.410981   -0.147568   -0.160425  115.366756   60.315048   94.563857  -87.953535   -0.636321   -6.684100   -0.924475   -2.626189  -11.310155  -16.443135   -8.661241   -0.154535  -13.702723   81.217505  -23.607744    7.021167    4.962265  151.766119    4.676465   12.757129   10.217654    4.540560   -4.321415    0.000000   -6.795996   -6.755164   13.316459  330.476773  -55.577055  -40.878683   -5.089168   -0.545132  -34.019991  -61.489715   92.226048   -0.008632   -1.951193   -9.416935   -0.027579   -2.562020   -0.112197   -0.805473   -0.015490   -0.060669  -71.004718 -148.291706  -10.841259 -155.916438 -105.487044   -0.246424   -0.258602  -47.060100   -0.304448   22.876842  -40.938869   -5.910439   88.447413    0.000000    0.000000    0.000000   -0.146135   19.586582   90.112572  -68.442246    4.696536    0.000000  -43.259813  -25.557059  -37.012187   -0.019341    1.231120   40.063052   24.337658   -3.711758   -0.032236  -53.395586  -14.502026    4.483403  -16.365721   -1.941454    2.649303   16.720760   11.855712  124.218668   -7.362627  -29.342796  -71.697475  -31.078327   -1.677802  -13.155494    0.000000   19.668307    0.000000    7.627287   28.957747   83.926498   35.356630   -0.909030  -48.012787  -53.162856   -1.137981  -10.746128    0.000000   -0.521789   -6.619483   -1.323331  182.867665    3.411860    3.615018    5.061025  -14.468569   -3.029567   -0.103870   -6.370799   -0.939937   -3.040706   -5.276256    8.925939  -43.787871    0.000000   -0.202010  -24.222804   -2.767611   -0.646504  -31.128213   -4.134924    4.129983    1.728013  -95.989422  -54.640582   -8.930007  -38.036537  -62.894577  -28.622733   34.231119   25.615480  -31.959271   63.772439   17.901900    0.698803  -81.442073  -24.163688    4.606564  -11.542471   -2.974933    1.478105   -5.655344    0.000000
   2.397856  137.216731   -5.655989  -32.313284  -95.822497  -19.044441  -45.353018  -30.399243 -110.940332   -4.278392  169.593716   13.593051  464.610232  -79.734574   -1.030769  -17.532194    0.000000   -4.075111    5.126850   76.915743    4.649033   42.001209   -1.311916   -0.241738   33.550429  104.117891    7.305123   -0.400947   -0.552911  -91.432684  -60.251904  -72.573526    0.432501  184.145044  -81.048298  -33.733859  -47.086422  -42.982760  -10.393497   -0.168342    6.682900   43.683384   11.193919   23.181719   -5.716805  -63.812452  -41.373317  -40.875058   -3.099112  -62.397474 -189.368013  -50.657249   -6.371315  -86.950503  133.545171 -162.705353 -235.920059  -70.196005   -3.447914   -6.045306 -153.669269  -59.364908   -9.115605    0.854504  -47.142764  -20.556123  -13.646111  -46.278402   -0.795505  -51.921659   -7.410981   -0.147568   -0.160425  113.259220  113.579186   88.938988  -89.240812   -0.806329   -6.940579   -1.236524   -2.726959  -11.744143  -19.814867   -8.993586   -0.160465  -14.228517   79.700607   -9.582591   12.814325    4.945344  151.260931   -8.494594   12.682659   10.158008    4.406060   -4.321415    0.000000   -6.795996   -6.755164   18.484773  324.128718  -55.577055  -44.344166   -5.800918   -0.545132  -36.904030  -67.047544   90.495838   -0.010764   -1.701027  -11.848600   -0.027579   -2.562020   -0.112197   -0.805473   -0.015490   -0.060669  -75.379618 -160.863106  -11.760325 -158.198413 -107.030940   -0.246424   -0.258602  -47.060100   -0.304448   24.167333  -41.561374   -5.996944   86.762104    0.000000    0.000000    0.000000   -0.146135   19.041212   89.561140  -69.917942    4.669119   -0.266740  -43.917610  -25.945673  -36.366948   -0.019341    1.205538   39.313196   23.883588   -3.711758   -0.032236  -54.833438  -14.714276    6.268649  -16.605247   -2.145192    3.769777   16.392998   16.457089  117.334591   -7.362627  -28.876448  -71.566952  -31.055588   -1.702358  -13.348036   -0.000000   17.274693    0.000000   11.171872   28.807517   82.355842   37.793049   -0.943911  -48.715497  -49.831553   -1.403122  -12.249036    0.000000   -0.566023   -7.261017   -1.435517  194.402751    3.391943    3.593915    5.031481  -14.587154   -3.029567   -0.103870   -5.097424   -0.976004   -3.157383   -5.276256    8.978184  -41.288828    0.000000   -0.202010  -24.406310   -2.767611   -0.646504  -31.601540   -4.195443    4.091848    1.709032  -95.989422  -55.440296   -9.060705  -38.593236  -63.502096  -29.041652   34.290852   25.660178  -32.427023   62.552392   15.676948   -0.199877  -81.488098  -24.517344    4.764476  -11.717983   -2.621127    1.369784   -8.063287    0.000000
   2.363021  134.910786   -5.888045  -32.313284  -92.718773  -15.760835  -49.739768  -30.399243  -71.934431   -2.747455  162.798397   13.048658  459.775023  -79.734574   -1.177289  -17.532194    0.000000   -1.528166    5.275407  116.303228    5.370526   72.631347   -1.564150   -0.134360   32.278379  101.711525    6.460965   -0.352716   -0.500699 -113.978877  -67.917054  -83.969199    3.567666   57.051307  -93.796459  -38.344108  -54.374633  -51.246795  -10.393497   -0.168342    6.571286   52.455694   11.869287   32.327116   -6.269760  -69.984682   -4.767292  -40.875058   -3.099112  -62.397474 -197.137500  -52.735641   -6.987577  -95.360751  131.270750 -162.705353 -235.920059  -70.196005   -3.472542   -6.293336 -159.974091  -61.800562   -3.349444    0.662269  -51.702626    5.440045  -13.646111  -46.278402   -0.795505  -51.921659   -7.410981   -0.147568   -0.169337  110.956348  211.602600   91.463729  -86.683609   -0.730186   -7.267415   -1.100137   -3.013583  -10.448782  -23.881697   -9.938877   -0.177331  -15.724038   78.151310 -128.935437   36.906084    4.785689  156.740129  -18.333457   12.470841    9.988355    4.134902   -5.333638    0.000000   -6.795996   -6.755164   19.134629  316.703864  -55.577055  -48.031973   -7.884691   -0.588168  -39.973091  -77.032131   87.414937   -0.017174   -1.030091  -11.646816   -0.027579   -2.562020   -0.124756   -1.052195   -0.021351   -0.083624  -69.692854 -174.241015  -12.738353 -164.689058 -111.422260   -0.246424   -0.258602  -47.060100   -0.304448   29.020513  -45.581380   -6.242990   84.613168    0.000000    0.000000    0.000000   -0.146135   21.750578   85.971962  -76.913304    4.591139   -1.363958  -48.165521  -28.455256  -35.274978   -0.019341    1.087300   38.472447   23.387433   -3.711758   -0.032236  -39.606843  -15.317980   10.961466  -17.286536   -2.401180    7.156617   15.992686   17.035660  111.615517   -7.362627  -13.760983  -70.952848  -30.942343   -1.772203  -13.895686   -0.000000   23.928227    0.000000    9.880884   20.996071   81.013744   33.425798   -1.043123  -50.714221  -49.732461   -1.942853  -16.649066    0.000000   -0.613096   -8.891732   -1.554899  200.942893    3.335293    3.533892    4.947448   -7.902038   -3.498429   -0.103870   -4.411983   -0.868352   -2.809128   -1.978596    8.257785  -34.156464    0.000000   -0.202010  -27.892926   -2.767611   -0.646504  -34.658185   -4.367575    3.654545    1.576169  -95.989422  -57.714928   -9.432452  -40.176659  -64.765934  -30.233187   34.272025   25.646090  -33.757456   61.125393   56.993063   -0.457408  -62.391330  -25.523255    4.559478  -12.851400   -1.699556    1.104613   -5.878594    0.000000
   2.350507  133.950426   -6.281671  -34.682577  -80.072493  -14.966825  -56.317819  -32.628193   22.670748    1.513500  152.591650   12.232100  461.511968  -85.580917   -1.092614  -18.817700    0.000000   -2.037555    5.269559  118.585743    5.364488   97.299636   -1.451651    0.049399   30.241655   99.437814    4.150731   -0.342051   -0.390916  -71.384754  -63.298849  -80.093131    3.633796  231.639637  -92.112812  -37.665332  -52.661526  -47.560954  -10.730948   -0.173807    6.381962   52.605075   11.722982   32.311019   -7.098932  -79.240110   -6.674209  -43.872123   -3.326347  -66.972618 -210.316472  -56.261106   -7.911680 -107.972147  130.323030 -174.635328 -253.218325  -75.342957   -3.398658   -6.714056 -170.668626  -65.932033    5.871752    0.319806  -10.744185   36.717656  -14.646679  -49.671653   -0.785173  -55.728688   -7.651597   -0.152359   -0.167109  109.919114  210.111544   66.542525  -32.515399   -0.570085   -5.988339   -1.066874   -2.269717   -7.710032  -24.202627   -7.759676   -0.138449  -12.276380   77.383122 -188.540946   36.663203    4.516077  152.026346  -30.569467   12.111546    9.700583    3.560253   -5.411502    0.000000   -7.016645   -6.974487   19.814780  314.828169  -59.652108  -49.786964   -7.847227   -0.583387  -41.433627  -77.847958   86.958193   -0.017218    0.378728  -16.020335   -0.028475   -2.645202   -0.123919   -1.081221   -0.022049   -0.086357  -19.273072 -180.607430  -13.203786 -175.698797 -118.871024   -0.254425   -0.266998  -50.510668   -0.314333   29.103157  -51.609487   -6.660344   83.937447    0.000000    0.000000    0.000000   -0.150880   20.827228   80.577896  -89.466202    4.458864   -1.364464  -54.535379  -32.218445  -32.883859   -0.019969    1.104684   38.103402   23.163960   -3.832270   -0.032864  -23.735854  -16.342013    9.483440  -18.442170   -3.302852    7.137849   15.852462   17.641202  109.542240   -7.601674   -7.641982  -66.201397  -30.903622   -1.890678  -14.824636    0.000000   24.238741    0.000000    2.504348    9.570153   80.458452   11.109318   -0.814408  -54.104552  -53.057159   -2.012731  -16.569958    0.000000   -0.635497   -9.216618   -1.611712  228.712750    3.239200    3.432077    4.804908   -8.158597   -3.534495   -0.107243   -1.179741   -0.842097   -2.724193   -2.638128    7.895968  -22.521402    0.000000   -0.208569  -27.892926   -2.857469   -0.667495  -39.241707   -4.659555    1.208171    0.444271 -103.027613  -61.573268  -10.063028  -42.862536  -73.094228  -32.254327   32.052914   23.985508  -36.014198   60.636217   27.842079    3.660489  -39.678191  -27.229527    4.240527  -14.550989    0.535629    4.484949   -5.700853    0.000000
   2.338989  135.285724   -6.385947  -34.682577  -82.353075  -15.954330  -56.539747  -32.628193   25.303557    3.665365  147.957634   11.861329  471.129336  -85.580917   -0.512121  -18.817700    0.000000   -3.056333    5.102432  114.050984    5.211092   69.408376    0.710040    0.119634   29.222371   96.001755    3.796907   -0.360775   -0.412315  324.916907  -58.970909  -67.929335   36.532965   93.045564  -81.324646  -34.374549  -47.244412   24.031158  -10.730948   -0.173807    6.331808   52.317579   11.941331   31.872340   -7.474597  -83.433383   -6.674209  -43.872123   -3.326347  -66.972618 -213.807714  -57.195038   -8.330354 -113.685878  133.364918 -174.635328 -253.218325  -75.342957   -3.300147   -6.825509 -173.501716  -67.026501   14.539854    0.724778    3.786495   35.487803  -14.646679  -49.671653   -0.764511  -55.728688   -7.651597   -0.152359   -0.159311  108.858533  104.896694  109.119764  -17.873941   -0.601292   -5.405035   -1.125275   -1.919044   -8.264711  -24.684327   -6.329061   -0.112924  -12.948397   80.695131 -316.525754   35.464137    4.418378  147.383941  -33.150790   12.016365    9.624349    3.388348   -5.255775    0.000000   -7.016645   -6.974487   20.161672  286.109235  -59.652108  -53.521315   -6.342854   -0.545132  -44.541422  -69.336989   86.721436    0.006386    0.917196  -13.467947   -0.028475   -2.645202   -0.118895   -1.066708   -0.022049   -0.086357   -3.212179 -194.154177  -14.194157 -178.615388 -120.844277   -0.254425   -0.266998  -50.510668   -0.314333   28.944103  -54.340587   -6.770905   84.086263    0.000000    0.000000    0.000000   -0.150880   20.857896   78.125095  -93.231477    4.423823   10.756684  -57.421313  -33.923399  -30.747581   -0.019969    1.254620   37.691155   22.914326   -3.832270   -0.032026  -22.071629  -16.613290    9.112856  -18.748309   -2.776636    7.039949   16.306490   17.950042  105.156846   -7.601674   -7.641982  -63.796030  -30.832181   -1.922063  -15.070725    0.000000   21.444254    0.000000    5.806686    8.786524   81.304686   19.643294   -0.858989  -55.002684  -53.937905   -1.708882  -13.393371    0.000000   -0.683163   -8.362144   -1.732601  245.443772    3.213745    3.405106    4.767148   -8.158597   -3.173832   -0.107243   -0.752549   -0.888194   -2.873317   -3.957192    8.297631  -20.174864    0.000000   -0.208569  -26.975396   -2.857469   -0.667495  -41.318322   -4.736903    2.418540    0.557107 -103.027613  -62.595381  -10.230073  -43.574051  -74.466501  -32.789747   30.959718   23.167458  -36.612032   59.450195   13.309942    2.824934  -32.096809  -27.681536    4.090170  -15.321006    0.307296    1.082932   -6.012922    0.000000
   2.309336  133.570618   -6.376405  -34.682577  -78.904514  -15.484522  -55.776115  -32.628193   16.668810    1.112811  149.146460   11.956331  464.784601  -85.580917   -0.493715  -18.817700    0.000000   -1.528166    5.213850  118.585743    5.306964   81.128772    0.550184    0.036321   29.500121   96.938064    3.930881   -0.359062   -0.316886  328.015998  -58.346451  -71.776385   36.007570  117.703675  -84.763022  -35.760759  -49.960709   19.173856  -10.730948   -0.173807    6.336398   52.365506   11.955633   31.912480   -7.378340  -82.358941   -5.720751  -43.872123   -3.326347  -66.972618 -213.488259  -57.109581   -8.223077 -112.221849  131.674163 -174.635328 -253.218325  -75.342957   -3.275519   -6.815311 -173.242483  -66.926355   13.763523    0.767681   13.325220   35.874231  -14.646679  -49.671653   -0.759345  -55.728688   -7.651597   -0.152359   -0.159311  107.452249   99.670849  121.420590  -18.877553   -0.598437   -4.854302   -1.119931   -1.907259   -8.213957  -24.640250   -6.290193   -0.112231  -12.235020   79.672106 -337.001273   35.840891    4.541198  148.576377  -33.540352   12.025074    9.631324    3.404077   -5.255775    0.000000   -7.016645   -6.974487   20.184394  282.334410  -59.652108  -55.858504   -6.822871   -0.545132  -46.486473  -73.085297   85.554549    0.004948    0.278462  -12.900971   -0.028475   -2.645202   -0.118895   -1.066708   -0.022049   -0.086357   -1.606089 -202.632575  -14.813993 -178.348514 -120.663721   -0.254425   -0.266998  -50.510668   -0.314333   28.970618  -53.640797   -6.760789   82.949657    0.000000    0.000000    0.000000   -0.150880   20.790144   78.755115  -91.023102    4.427030   10.576790  -56.681850  -33.486538  -29.479865   -0.019969    1.240871   37.185438   22.614570   -3.832270   -0.031817  -19.301188  -16.588467    9.156109  -18.720297   -2.659744    7.048907   16.090116   17.970271  102.664529   -7.601674   -7.641982  -62.913899  -30.835650   -1.919192  -15.048207    0.000000   22.586638    0.000000    6.011576    8.644300   80.273933   20.336411   -0.660180  -54.920503  -53.857315   -1.887698  -14.406962    0.000000   -0.712996   -8.794807   -1.808261  249.049683    3.216074    3.407574    4.770603   -8.158597   -3.173832   -0.107243   -0.752549   -0.883976   -2.859672   -1.978596    8.016299  -16.857805    0.000000   -0.208569  -26.791890   -2.857469   -0.667495  -40.786231   -4.729826    1.304518    0.401030 -103.027613  -62.501855  -10.214788  -43.508946  -75.031759  -32.740755   31.257608   23.390372  -36.557329   58.627371   14.437922    2.351695  -27.822385  -27.640176    4.129881  -15.123704    0.393825    0.412353   -5.984367    0.000000
   2.297663  132.895439   -6.375245  -34.682577  -82.547546  -16.010957  -59.390121  -32.628193   19.978461    3.635894  147.820006   11.849877  465.373580  -85.580917   -0.679805  -18.817700    0.000000   -1.959401    5.232420  117.768913    5.326139   76.503842    0.487254    0.118672   29.221243   95.997955    3.684717   -0.358854   -0.410118  401.568577  -65.797002  -76.494641   36.388309   35.851949  -91.884731  -38.102657  -53.281685   15.964062  -10.730948   -0.173807    6.336956   52.371334   11.582721   31.917361   -7.486199  -83.562890   -6.674209  -43.872123   -3.326347  -66.972618 -213.449415  -57.099190   -8.343285 -113.862344  131.008570 -174.635328 -253.218325  -75.342957   -3.349403   -6.814071 -173.210962  -66.914178   12.799094    0.719607   17.639980   35.607339  -14.646679  -49.671653   -0.774842  -55.728688   -7.651597   -0.152359   -0.163767  104.825350   91.050444  151.418697  -19.778558   -0.598089   -6.282503   -1.119282   -1.905827   -8.207786  -24.634891   -6.441282   -0.112146  -12.879429   79.019757 -361.676510   35.541376    4.579324  147.245895  -32.603150   12.026133    9.632172    3.405990   -5.411502    0.000000   -7.016645   -6.974487   20.187156  280.142599  -59.652108  -56.778576   -9.681090   -0.564259  -47.252174  -82.846593   80.192258   -0.023832    0.909821  -13.536287   -0.028475   -2.645202   -0.122244   -1.081221   -0.022049   -0.086357   -3.212179 -205.970232  -15.058001 -178.316065 -120.641767   -0.254425   -0.266998  -50.510668   -0.314333   28.973842  -54.424935   -6.759559   77.978724    0.000000    0.000000    0.000000   -0.150880   20.367287   78.052159  -92.466961    4.427420   -2.368664  -57.510444  -33.976055  -29.418395   -0.019969    0.090590   35.754900   22.150711   -3.832270   -0.032445  -17.560022  -16.585449    9.161368  -18.716891   -2.790725    7.049996   14.985109   17.972730  103.293747   -7.601674   -7.641982  -63.052483  -30.852090   -1.918842  -15.045469    0.000000   19.826187    0.000000    5.635113    8.109188   79.868160   19.062883   -0.854414  -54.910511  -53.847516   -2.805233  -20.442287    0.000000   -0.724740  -10.510913   -1.838045  238.486710    3.216357    3.407874    4.771023   -8.158597   -3.462362   -0.107243   -0.752549   -0.883464   -2.858013   -1.978596    7.923990  -18.069827    0.000000   -0.208569  -27.525914   -2.857469   -0.667495  -41.382457   -4.728965    1.071489    0.384339 -103.027613  -62.490484  -10.212930  -43.501030  -73.988749  -32.734798   30.958509   23.166553  -36.550678   55.875831    6.795744   -5.940374  -28.220760  -27.635147    4.090008  -15.344788    0.296867    0.694157   -5.980895    0.000000
