NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
-1468.460536 -1476.580026 -1128.864749  -733.682194  -779.878371     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1312.258760 -1561.609959 -1085.898953  -711.190245  -723.028765     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -933.784923 -1838.602316  -941.152437  -630.355997  -628.864723     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -930.372452 -1710.416979  -938.211631  -614.728770  -624.551710     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -933.308449 -1525.229194  -956.050008  -606.100035  -615.227550     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1057.987321 -1621.902911 -1006.884678  -622.820005  -630.604785     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1159.879450 -1662.749758 -1060.386432  -660.479926  -670.009691     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1240.380071 -1853.089323 -1110.181336  -668.039168  -687.550315     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1252.863203 -1955.554713 -1094.356846  -669.615571  -687.662225     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1246.894379 -2137.945661 -1081.092898  -671.918841  -692.942418     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1264.306365 -2050.976705 -1077.588179  -671.757668  -696.854629     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1254.344969 -2003.354469 -1072.901945  -652.955525  -675.823997     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1249.278612 -2008.192395 -1069.103696  -672.690131  -679.777753     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1238.208167 -2084.789072 -1067.075176  -669.179630  -682.093303     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1219.669313 -2107.049493 -1068.748635  -658.452006  -680.961825     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1232.271501 -2079.159796 -1058.958510  -668.751995  -703.017517     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1204.200681 -2017.361437 -1044.450177  -659.193999  -710.068363     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -964.348748 -1977.390049 -1053.137635  -651.410559  -617.954566     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -955.030233 -1729.534601 -1040.173389  -665.077976  -640.138673     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -944.330698 -1677.571161 -1067.187979  -666.447998  -651.370861     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -933.259180 -1688.157478 -1057.380348  -669.096479  -642.445941     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1639.352805 -1735.038013 -1191.938350  -726.687232  -823.061632     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1452.261204 -1676.456854 -1193.813816  -749.164951  -787.830336     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
