NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
 -216.324633   980.190158   -84.289792 -1053.463005 -1210.513108     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -230.514703   990.274305   -96.831476 -1050.480615 -1180.434030     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -207.247052  1242.048657   -47.433078 -1039.793887 -1102.123526     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -203.614347  1280.207230   -37.992102 -1035.278234 -1085.548245     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -220.150849  1466.356219   -75.731184 -1040.965332 -1214.320418     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -221.537542  1213.256664   -75.714806 -1051.198751 -1156.943992     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -176.691027  1284.471305   -36.987512 -1063.694215 -1106.864407     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -138.486376   995.604354    -6.825172 -1056.857353  -898.324643     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -130.085010   970.195316   -27.977577 -1054.177774  -748.167880     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -112.710743   430.252954    24.799434 -1055.300838  -535.428613     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -111.326955   352.250592    32.235725 -1052.629663  -473.617842     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -111.569232   439.562159    36.717118 -1047.711959  -512.593299     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -110.918831   431.685373    37.941420 -1055.027606  -508.057057     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -111.281656   336.349514    47.380848 -1056.375574  -493.593740     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -115.227666   397.549766    35.330026 -1050.307491  -576.656382     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -129.555034   613.266994    -8.969269 -1054.494007  -656.551154     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -140.184366   675.340617     3.140946 -1053.725211  -829.198414     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -177.397631   676.725761   -34.569109 -1062.171270 -1005.288983     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -212.855076   184.982257   -56.755413 -1072.527197 -1005.524277     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -217.748010    91.822571   -64.149224 -1072.431626  -995.919711     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -223.858708    71.935543   -62.381212 -1072.591655 -1013.256943     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -176.870674   341.792611   -65.092710 -1066.006620 -1327.132185     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -179.386335   420.215463   -83.797527 -1071.332466 -1134.370781     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -210.035239   802.753100   -89.724353 -1068.473751 -1130.619296     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -217.557172  1125.753538   -95.185174 -1066.818143 -1169.688355     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -245.556794  1075.048498  -109.815188 -1048.225699 -1198.550247     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -258.626574   975.534617  -154.663101 -1062.866804 -1200.112231     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -254.086461  1162.184435  -134.009490 -1056.781498 -1258.609801     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -243.577705  1174.495573  -120.949460 -1054.016467 -1294.084995     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -228.639333  1140.198592  -106.853930 -1060.139509 -1202.640560     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
