Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
   22.739862  1315.259833    67.564987  1552.099858  2083.559699   606.709107   986.153806  1460.162967  4729.563228   315.745886  1535.249349   122.686465  4865.572459  3829.880639    92.268713   842.121654     0.000000  1668.477271    52.490139  1475.422465    54.199709  3331.382610   122.588528    10.305663   358.686149  1209.148725   283.700182    12.132234    13.865410 14362.358982  5133.971739  4713.077567   402.909008  2893.475160  3643.546060  1468.926172  2083.040262  4016.410887   117.466760     1.902591    32.497054   339.384792   101.275264   284.240902   124.305926  1387.534845  3123.004989  1963.346485   148.859249  2997.129962  2262.141616   605.138481   138.537556  1890.647501  1296.585582  7815.205538 11331.918229  3371.715805    42.864964    72.215676  1835.693604   709.157941  1111.490299    55.405208  1025.069953   446.971329   655.461907  2222.884580     8.990753  2493.946445    83.758520     1.667803     1.939023  1089.997382  2286.045211  4084.492656  1066.047813    20.220389   212.400747    37.841014    83.452435   359.402978   312.116153   275.228385     4.910666   435.431642   784.525237 15702.012485   435.782324    51.577390  1539.911435   700.780922    61.672188    49.395523   111.385459    67.760566     0.000000    76.807992    76.346512   160.896527  3283.153703  2669.525644  1792.314573   368.110129     8.322822  1491.597126  2874.456366   894.848022     1.102539    79.010083   732.192823     0.311701    28.955811     1.457304    12.629964 35425.242884 35425.951295  5260.664325  6501.808888   475.332023  1889.797589  1278.564105     2.785069     2.922703  2260.431809     3.440856   187.760758   903.708502    71.637951   871.625799     0.000000     0.000000     0.000000     1.651611   122.073379   813.607562  1250.665825    22.704609   137.955162   954.942369   564.161441    66.404464     0.218596    13.230465   387.818009   234.840756    41.950101     0.364326   144.540221   175.772956   306.281126   198.362020   150.953427    63.434250   169.515334   143.247015  3016.270414    83.212031    83.653270    73.298319    29.826145    20.335934   159.452213     0.000000  1202.663062     0.000000   433.868415   867.147935   790.451383  1467.722719    28.886271   581.942806   570.677160   137.128258   777.289826     0.000000    22.877679   331.795258    58.021102  3170.936274    16.494060    17.476194    24.466671    89.308418    62.773349     1.173939     8.237813    29.868404    96.624575  2160.263654    79.210089    69.351456     0.000000     2.283109   319.392356    31.279401     7.306758   687.142353    50.117679    43.872680    19.237238  4610.647715   662.275524   108.236856   461.024877   646.474734   346.924109   384.695680   287.871522   387.364887   630.996714  1137.268732   464.788996   190.578868   292.877897    51.282942   254.795251   111.742832    56.022751   202.203894     0.000000
   20.764537  1201.008263    65.538137  1444.060095  1966.157229   572.522831   930.586935  1358.522819  4463.066231   297.954533  1448.742557   115.773443  4442.918868  3563.287356    84.253684   783.502601     0.000000  1552.336620    48.836365  1372.720121    50.426934  3099.489163   111.939734     9.724969   338.475238  1141.016746   267.714510    11.768284    13.449468 13114.756022  4688.003333  4303.670621   367.909850  2642.130086  3327.045209  1341.326198  1902.094555  3667.520700    98.400768     1.593782    31.522191   329.203748    98.237156   275.714093   117.301653  1309.351332  2905.616451  1826.680350   138.497340  2788.503431  2194.280698   586.985217   130.731372  1784.115067  1183.956173  7271.198689 10543.117334  3137.014813    35.907565    70.049312  1780.625499   687.884247  1048.861085    52.283287   967.310272   421.785808   609.836010  2068.152317     7.531467  2320.345899    70.163701     1.397102     1.624301   995.313496  2087.465244  3729.688467  1034.067948    19.613807   206.029037    36.705840    80.948985   348.621417   302.753128   266.971939     4.763353   422.369333   716.376543 14338.038971   411.227270    48.671155  1453.141948   679.758527    59.822113    47.913730   108.044059    56.762370     0.000000    64.341311    63.954734   156.069868  2997.958751  2483.703246  1636.623090   336.133816     6.971948  1362.027813  2624.763382   817.116011     1.006765    74.558097   690.935908     0.261109    24.256003     1.220769    10.579998 30596.934721 30597.528151  4894.475949  5937.021723   434.041756  1833.106444  1240.209065     2.333025     2.448320  2103.085930     2.882371   182.128212   852.787182    69.488918   795.911014     0.000000     0.000000     0.000000     1.383538   118.411358   767.763165  1180.194479    22.023504   125.971527   901.134172   532.372601    55.626377     0.183115    12.081185   354.129748   214.441042    35.141194     0.305192   121.079944   170.500026   297.093143   192.411451   142.447644    61.531316   154.790188   138.949816  2754.258589    69.705913    70.075535    61.401292    24.985073    19.725886   154.668882     0.000000  1098.192341     0.000000   409.421204   818.286696   721.787907  1385.020854    28.019725   564.485378   553.557686   125.216453   709.769645     0.000000    20.890383   302.973479    52.981032  2950.211298    15.999263    16.951934    23.732707    74.812797    52.584627     0.983397     6.900736    28.972396    93.725980  2009.890357    73.696372    58.095043     0.000000     1.912538   267.551884    26.202451     6.120800   648.423900    48.614223    41.400583    18.153276  4289.706197   642.408233   104.989909   447.194810   627.081444   336.516896   363.019208   271.650807   375.744511   576.184453  1038.478565   424.414561   159.646073   284.091991    48.393299   240.438287   105.446452    51.156270   196.138074     0.000000
   19.357611  1119.632496    60.477614  1444.060095  1734.194847   504.977999   820.798583  1358.522819  3936.524681   262.802592  1277.823482   102.114778  4141.883530  3563.287356    78.544974   783.502601     0.000000  1552.336620    48.836365  1372.720121    50.426934  3099.489163   104.355122     8.577641   298.542764  1006.402403   236.130212    10.859597    12.410968 12226.149876  4370.362001  4012.070216   342.981674  2463.109369  3101.617239  1250.443020  1773.215840  3419.023402    98.400768     1.593782    29.088207   303.784306    90.651781   254.424850   103.462693  1154.877290  2905.616451  1826.680350   138.497340  2788.503431  2024.849480   541.661198   115.308007  1573.629570  1103.735791  7271.198689 10543.117334  3137.014813    35.907565    64.640460  1643.134635   634.769317   925.119040    46.115034   853.189391   372.024558   609.836010  2068.152317     7.531467  2320.345899    70.163701     1.397102     1.624301   927.874827  1946.026514  3476.978917   954.222470    18.099329   190.120521    33.871601    74.698516   321.702641   279.376068   246.357721     4.395551   389.756117   667.837584 13366.547810   362.711690    42.929053  1281.703844   627.271023    55.202953    44.214075    99.701445    56.762370     0.000000    64.341311    63.954734   144.018945  2794.828432  2483.703246  1525.731714   313.358663     6.971948  1269.741972  2446.919367   761.751328     0.938551    65.761917   609.420993     0.261109    24.256003     1.220769    10.579998 16577.596658 16578.190088  4894.475949  5534.751641   404.632732  1691.563268  1144.446415     2.333025     2.448320  2103.085930     2.882371   168.065196   752.177453    64.123336   741.983101     0.000000     0.000000     0.000000     1.383538   109.268233   677.184360  1040.958044    20.322961   117.436174   794.820584   469.564594    55.626377     0.183115    11.262610   330.135259   199.911330    35.141194     0.305192   121.079944   157.334879   274.153119   177.554415   125.642022    56.780180   144.302192   128.220816  2567.640469    69.705913    70.075535    61.401292    24.985073    18.202754   142.726136     0.000000  1023.782992     0.000000   361.118700   721.747249   672.882295  1221.619509    25.856184   520.898682   510.814771   116.732261   661.678344     0.000000    19.474930   282.445144    49.391238  2950.211298    14.763881    15.642991    21.900188    74.812797    52.584627     0.983397     6.900736    26.735294    86.488935  2009.890357    73.696372    58.095043     0.000000     1.912538   267.551884    26.202451     6.120800   571.924447    44.860479    36.516245    16.011597  4289.706197   592.804730    96.883121   412.664696   578.661397   310.532770   320.191097   239.602114   346.731427   537.144379   968.115195   395.657840   159.646073   262.155849    42.683977   212.071970    93.006140    47.690115   180.993288     0.000000
   18.773933  1085.872879    61.016698  1444.060095  1703.242496   495.965023   806.148761  1358.522819  3866.264587   258.112024  1255.016564   100.292207  4016.995763  3563.287356    76.176653   783.502601     0.000000  1552.336620    48.836365  1372.720121    50.426934  3099.489163   101.208564     8.424545   293.214297   988.439877   231.915700    10.956397    12.521597 11857.502002  4238.585057  3891.096634   332.639950  2388.840687  3008.096007  1212.739151  1719.749110  3315.931610    98.400768     1.593782    29.347493   306.492169    91.459830   256.692735   101.616064  1134.264746  2905.616451  1826.680350   138.497340  2788.503431  2042.898519   546.489441   113.249960  1545.543029  1070.455498  7271.198689 10543.117334  3137.014813    35.907565    65.216650  1657.781157   640.427503   908.607280    45.291961   837.961449   365.384569   609.836010  2068.152317     7.531467  2320.345899    70.163701     1.397102     1.624301   899.897166  1887.349126  3372.139626   962.728188    18.260662   191.815211    34.173525    75.364361   324.570224   281.866361   248.553697     4.434732   393.230313   647.700672 12963.514191   356.237920    42.162844  1258.827668   632.862372    55.695019    44.608189   100.590161    56.762370     0.000000    64.341311    63.954734   145.302696  2710.557622  2483.703246  1479.727227   303.910144     6.971948  1231.456192  2373.138853   738.782690     0.910251    64.588181   598.543892     0.261109    24.256003     1.220769    10.579998 15896.830497 15897.423926  4894.475949  5367.865544   392.432081  1706.641472  1154.647746     2.333025     2.448320  2103.085930     2.882371   169.563290   738.752398    64.694917   719.610523     0.000000     0.000000     0.000000     1.383538   110.242225   665.097801  1022.378760    20.504115   113.895191   780.634424   461.183685    55.626377     0.183115    10.923015   320.180886   193.883521    35.141194     0.305192   121.079944   158.737326   276.596856   179.137094   123.399532    57.286305   139.951133   129.363747  2490.219923    69.705913    70.075535    61.401292    24.985073    18.365009   143.998363     0.000000   992.913468     0.000000   354.673361   708.865320   652.593273  1199.815733    26.086660   525.541853   515.368055   113.212502   641.727148     0.000000    18.887714   273.928743    47.901973  2950.211298    14.895483    15.782429    22.095401    74.812797    52.584627     0.983397     6.900736    26.973606    87.259878  2009.890357    73.696372    58.095043     0.000000     1.912538   267.551884    26.202451     6.120800   561.716594    45.260355    35.864493    15.725818  4289.706197   598.088854    97.746715   416.343094   583.819451   313.300787   314.476245   235.325635   349.822111   520.948182   938.924189   383.727803   159.646073   264.492646    41.922143   208.286856    91.346142    46.252143   182.606620     0.000000
   21.205462  1226.511043    62.647574  1444.060095  1814.418703   528.338282   858.768727  1358.522819  4118.628317   274.959840  1336.935598   106.838607  4537.261918  3563.287356    86.042767   783.502601     0.000000  1552.336620    48.836365  1372.720121    50.426934  3099.489163   114.316715     8.974443   312.353353  1052.958580   247.053596    11.249244    12.856279 13393.240982  4787.550623  4395.056808   375.722223  2698.234332  3397.693267  1369.808556  1942.484535  3745.398577    98.400768     1.593782    30.131903   314.684202    93.904401   263.553711   108.248877  1208.301915  2905.616451  1826.680350   138.497340  2788.503431  2097.501848   561.096208   120.642156  1646.425676  1209.096861  7271.198689 10543.117334  3137.014813    35.907565    66.959784  1702.090930   657.545081   967.915048    48.248315   892.657933   389.234415   609.836010  2068.152317     7.531467  2320.345899    70.163701     1.397102     1.624301  1016.448456  2131.791473  3808.886444   988.460334    18.748740   196.942117    35.086927    77.378727   333.245454   289.400187   255.197130     4.553265   403.740715   731.588423 14642.499702   379.490734    44.914951  1340.995465   649.777746    57.183656    45.800492   103.278771    56.762370     0.000000    64.341311    63.954734   149.186399  3061.618832  2483.703246  1671.375922   343.271441     6.971948  1390.949758  2680.498855   834.467041     1.028144    68.804063   637.612809     0.261109    24.256003     1.220769    10.579998 17460.460956 17461.054385  4894.475949  6063.091263   443.258405  1752.257201  1185.509587     2.333025     2.448320  2103.085930     2.882371   174.095439   786.973182    66.424106   812.811766     0.000000     0.000000     0.000000     1.383538   113.188819   708.510909  1089.112764    21.052156   128.646467   831.588985   491.286653    55.626377     0.183115    12.337723   361.649507   218.994584    35.141194     0.305192   121.079944   162.980115   283.989837   183.925135   131.454223    58.817474   158.077077   132.821428  2812.743824    69.705913    70.075535    61.401292    24.985073    18.855875   147.847204     0.000000  1121.511879     0.000000   377.824051   755.135277   737.114694  1278.131629    26.783914   539.588725   529.142999   127.875359   724.841230     0.000000    21.333979   309.406961    54.106056  2950.211298    15.293615    16.204268    22.685975    74.812797    52.584627     0.983397     6.900736    27.694567    89.592191  2009.890357    73.696372    58.095043     0.000000     1.912538   267.551884    26.202451     6.120800   598.381673    46.470090    38.205486    16.752294  4289.706197   614.074789   100.359325   427.471262   599.423988   321.674803   335.003138   250.686109   359.172282   588.419428  1060.530112   433.426782   159.646073   271.562101    44.658538   221.882420    97.308604    52.242546   187.487396     0.000000
   24.124844  1395.366332    67.406335  1444.060095  2104.545374   612.819899   996.086377  1358.522819  4777.199529   318.926088  1550.712426   123.922167  5161.912367  3563.287356    97.888381   783.502601     0.000000  1552.336620    48.836365  1372.720121    50.426934  3099.489163   130.054839    10.409462   362.298847  1221.327307   286.557618    12.103745    13.832852 15237.105002  5446.658627  5000.129704   427.448365  3069.703583  3865.457894  1558.391790  2209.908779  4261.032223    98.400768     1.593782    32.420747   338.587871   101.037456   283.573466   125.557939  1401.510137  2905.616451  1826.680350   138.497340  2788.503431  2256.829803   603.717534   139.932911  1909.690159  1375.554718  7271.198689 10543.117334  3137.014813    35.907565    72.046104  1831.383149   707.492743  1122.685262    55.963251  1035.394488   451.473238   609.836010  2068.152317     7.531467  2320.345899    70.163701     1.397102     1.624301  1156.384170  2425.277837  4333.260543  1063.544589    20.172909   211.902002    37.752159    83.256478   358.559051   311.383262   274.582112     4.899135   434.409190   832.307104 16658.350712   440.171536    52.096879  1555.421468   699.135395    61.527373    49.279535   111.123911    56.762370     0.000000    64.341311    63.954734   160.518720  3483.115676  2483.703246  1901.476309   390.530044     6.971948  1582.443529  3049.526441   949.349148     1.169689    79.805875   739.567491     0.261109    24.256003     1.220769    10.579998 27311.926936 27312.520365  4894.475949  6897.804522   504.282337  1885.360090  1275.561865     2.333025     2.448320  2103.085930     2.882371   187.319871   912.810680    71.469735   924.712565     0.000000     0.000000     0.000000     1.383538   121.786734   821.802241  1263.262568    22.651295   146.357384   964.560577   569.843692    55.626377     0.183115    14.036273   411.438242   249.143839    35.141194     0.305192   121.079944   175.360217   305.561937   197.896239   152.473834    63.285298   179.839743   142.910652  3199.977739    69.705913    70.075535    61.401292    24.985073    20.288183   159.077798     0.000000  1275.911804     0.000000   438.238351   875.881875   838.594184  1482.505666    28.818442   580.576326   569.337133   145.480117   824.631017     0.000000    24.271055   352.003400    61.554904  2950.211298    16.455330    17.435157    24.409220    74.812797    52.584627     0.983397     6.900736    29.798269    96.397687  2009.890357    73.696372    58.095043     0.000000     1.912538   267.551884    26.202451     6.120800   694.063272    49.999996    44.314567    19.430996  4289.706197   660.720412   107.982701   459.942329   644.956724   346.109484   388.570346   290.770972   386.455303   669.427857  1206.534602   493.097182   159.646073   292.190180    51.799466   257.361556   112.868309    59.434842   201.729092     0.000000
   25.299968  1463.334819    75.837180  1580.294445  2482.952654   723.007835  1175.187450  1486.687480  5636.162753   376.270518  1829.537905   146.203962  5413.349833  3899.452131   102.656537   857.419170     0.000000  1698.785906    53.443646  1502.224173    55.184271  3391.898663   136.389828    12.281133   427.441905  1440.927773   338.082043    13.617621    15.562995 15979.306496  5711.966123  5243.686714   448.269434  3219.229270  4053.744883  1634.301270  2317.553741  4468.587693   117.466760     1.902591    36.475771   380.936737   113.674713   319.041407   148.133855  1653.508334  3179.735769  1999.011551   151.563344  3051.574167  2539.102708   679.227483   165.093514  2253.061543  1442.558179  7957.172237 11537.767586  3432.964529    42.864964    81.057268  2060.443329   795.982372  1324.549418    66.025709  1221.563347   532.650276   667.368665  2263.264271     8.990753  2539.250096    83.758520     1.667803     1.939023  1212.711803  2543.413456  4544.334264  1196.567390    22.696035   238.405637    42.474008    93.669779   403.405811   350.329512   308.925460     5.511894   488.742903   872.848898 17469.781281   519.316475    61.464146  1835.093655   786.579728    69.222907    55.443171   125.022730    67.760566     0.000000    76.807992    76.346512   180.595593  3652.778722  2718.018770  1994.097483   409.552816     8.322822  1659.524572  3198.069296   995.592077     1.226665    94.155352   872.545248     0.311701    28.955811     1.457304    12.629964 35425.242884 35425.951295  5356.226642  7233.797535   528.845999  2121.171434  1435.102718     2.785069     2.922703  2301.493562     3.440856   210.748897  1076.938388    80.408810   969.755443     0.000000     0.000000     0.000000     1.651611   137.019206   969.566198  1490.403193    25.484405   153.486473  1137.993162   672.304301    66.404464     0.218596    14.719981   431.479455   261.279670    41.950101     0.364326   144.540221   197.293390   343.780085   222.648104   179.889355    71.200704   188.599762   160.785197  3355.849097    83.212031    83.653270    73.298319    29.826145    22.825727   178.974448     0.000000  1338.061644     0.000000   517.035693  1033.369607   879.442223  1749.067244    32.422907   653.191888   640.546954   152.566474   864.798908     0.000000    25.453301   369.149534    64.553252  3228.537748    18.513480    19.615859    27.462202    89.308418    62.773349     1.173939     8.237813    33.525286   108.454625  2199.505808    80.648976    69.351456     0.000000     2.283109   319.392356    31.279401     7.306758   818.859153    56.253744    52.282537    22.924781  4694.402191   743.359993   121.488633   517.469599   725.624663   389.399115   458.437145   343.052978   434.791185   702.035780  1265.305069   517.116014   190.578868   328.735856    61.113256   303.636389   133.162569    62.329921   226.960350     0.000000
   27.851867  1610.935117    77.415137  1580.294445  2679.133347   780.133443  1268.040243  1486.687480  6081.481883   406.000046  1974.091613   157.755691  5959.371178  3899.452131   113.011061   857.419170     0.000000  1698.785906    53.443646  1502.224173    55.184271  3391.898663   150.146884    13.251478   461.214538  1554.776987   364.794260    13.900965    15.886817 17591.070503  6288.107610  5772.594869   493.484446  3543.939098  4462.628716  1799.146219  2551.315432  4919.314938   117.466760     1.902591    37.234728   388.862950   116.039961   325.679754   159.838066  1784.153762  3179.735769  1999.011551   151.563344  3051.574167  2591.934236   693.360281   178.137726  2431.078299  1588.062826  7957.172237 11537.767586  3432.964529    42.864964    82.743840  2103.315312   812.544508  1429.203457    71.242470  1318.080348   574.735533   667.368665  2263.264271     8.990753  2539.250096    83.758520     1.667803     1.939023  1335.032833  2799.956646  5002.701741  1221.464564    23.168275   243.366182    43.357772    95.618781   411.799542   357.618876   315.353323     5.626581   498.912257   960.889417 19231.883077   560.348214    66.320492  1980.086330   802.946222    70.663239    56.596786   127.624099    67.760566     0.000000    76.807992    76.346512   184.353275  4021.218822  2718.018770  2195.233530   450.862650     8.322822  1826.913687  3520.644809  1096.013173     1.350394   101.594665   941.485963     0.311701    28.955811     1.457304    12.629964 35425.242884 35425.951295  5356.226642  7963.439620   582.188423  2165.306997  1464.963136     2.785069     2.922703  2301.493562     3.440856   215.133984  1162.028419    82.081889  1067.570508     0.000000     0.000000     0.000000     1.651611   139.870187  1046.172640  1608.161513    26.014663   168.967994  1227.907196   725.423769    66.404464     0.218596    16.204723   475.000935   287.633828    41.950101     0.364326   144.540221   201.398506   350.933174   227.280779   194.102602    72.682189   207.623010   164.130681  3694.339181    83.212031    83.653270    73.298319    29.826145    23.300665   182.698398     0.000000  1473.026175     0.000000   557.887225  1115.017223   968.147783  1887.262881    33.097536   666.782959   653.874920   167.955199   952.027460     0.000000    28.020666   406.384062    71.064461  3228.537748    18.898693    20.024009    28.033613    89.308418    62.773349     1.173939     8.237813    34.222852   110.711258  2199.505808    80.648976    69.351456     0.000000     2.283109   319.392356    31.279401     7.306758   883.558073    57.424225    56.413435    24.736092  4694.402191   758.827207   124.016467   528.236674   740.722855   397.501407   494.658744   370.157953   443.837957   772.847114  1392.930957   569.275285   190.578868   335.575917    65.941879   327.627019   143.683883    68.616873   231.682752     0.000000
   29.814709  1724.464673    77.708201  1580.294445  2665.722559   776.228372  1261.692885  1486.687480  6051.040149   403.967754  1964.210013   156.966022  6379.353806  3899.452131   120.975439   857.419170     0.000000  1698.785906    53.443646  1502.224173    55.184271  3391.898663   160.728383    13.185146   458.905862  1546.994327   362.968229    13.953589    15.946959 18830.789223  6731.257714  6179.414563   528.262427  3793.695794  4777.129438  1925.939825  2731.117651  5266.000310   117.466760     1.902591    37.375684   390.335036   116.479244   326.912652   159.037974  1775.222923  3179.735769  1999.011551   151.563344  3051.574167  2601.746303   695.985076   177.246032  2418.909186  1699.980473  7957.172237 11537.767586  3432.964529    42.864964    83.057076  2111.277656   815.620489  1422.049373    70.885856  1311.482507   571.858611   667.368665  2263.264271     8.990753  2539.250096    83.758520     1.667803     1.939023  1429.118363  2997.281685  5355.263741  1226.088560    23.255981   244.287473    43.521908    95.980757   413.358457   358.972684   316.547129     5.647881   500.800947  1028.607445 20587.236947   557.543310    65.988516  1970.174722   805.985868    70.930743    56.811040   128.107234    67.760566     0.000000    76.807992    76.346512   185.051166  4304.611481  2718.018770  2349.941119   482.636888     8.322822  1955.664186  3768.759856  1173.253955     1.445562   101.086118   936.773219     0.311701    28.955811     1.457304    12.629964 35425.242884 35425.951295  5356.226642  8524.657607   623.217756  2173.504018  1470.508924     2.785069     2.922703  2301.493562     3.440856   215.948398  1156.211718    82.392620  1142.806813     0.000000     0.000000     0.000000     1.651611   140.399682  1040.935872  1600.111628    26.113145   180.875899  1221.760729   721.792556    66.404464     0.218596    17.346740   508.476302   307.904626    41.950101     0.364326   144.540221   202.160924   352.261672   228.141177   193.130993    72.957336   222.255100   164.752017  3954.695220    83.212031    83.653270    73.298319    29.826145    23.388873   183.390024     0.000000  1576.836692     0.000000   555.094640  1109.435844  1036.377339  1877.815915    33.222831   669.307143   656.350240   179.791727  1019.120947     0.000000    29.995404   435.023702    76.072681  3228.537748    18.970236    20.099812    28.139737    89.308418    62.773349     1.173939     8.237813    34.352407   111.130368  2199.505808    80.648976    69.351456     0.000000     2.283109   319.392356    31.279401     7.306758   879.135296    57.641611    56.131049    24.612272  4694.402191   761.699835   124.485946   530.236375   743.526947   399.006194   492.182659   368.305074   445.518157   827.312988  1491.096818   609.394573   190.578868   336.846279    65.611797   325.987035   142.964653    73.452600   232.559814     0.000000
   30.795409  1781.187815    77.455794  1580.294445  2689.883839   783.263865  1273.128477  1486.687480  6105.884895   407.629192  1982.013002   158.388713  6589.191096  3899.452131   124.954707   857.419170     0.000000  1698.785906    53.443646  1502.224173    55.184271  3391.898663   166.015252    13.304652   463.065242  1561.015802   366.258060    13.908266    15.895161 19450.193932  6952.670246  6382.675214   545.638663  3918.482546  4934.264459  1989.290127  2820.952820  5439.215854   117.466760     1.902591    37.254283   389.067176   116.100904   325.850797   160.479444  1791.312991  3179.735769  1999.011551   151.563344  3051.574167  2593.295491   693.724426   178.852535  2440.833427  1755.898252  7957.172237 11537.767586  3432.964529    42.864964    82.787296  2104.419950   812.971247  1434.938386    71.528343  1323.369377   577.041760   667.368665  2263.264271     8.990753  2539.250096    83.758520     1.667803     1.939023  1476.126623  3095.871838  5531.415443  1222.106064    23.180443   243.493995    43.380543    95.668999   412.015815   357.806693   315.518943     5.629536   499.174280  1062.441624 21264.416823   562.596709    66.586615  1988.031773   803.367921    70.700351    56.626510   127.691125    67.760566     0.000000    76.807992    76.346512   184.450096  4446.203880  2718.018770  2427.238176   498.512354     8.322822  2019.992217  3892.726386  1211.846019     1.493111   102.002331   945.263841     0.311701    28.955811     1.457304    12.629964 35425.242884 35425.951295  5356.226642  8805.060781   643.717376  2166.444193  1465.732519     2.785069     2.922703  2301.493562     3.440856   215.246970  1166.691262    82.124998  1180.397374     0.000000     0.000000     0.000000     1.651611   139.943645  1050.370591  1614.614543    26.028326   186.825484  1232.834388   728.334659    66.404464     0.218596    17.917329   525.201709   318.032592    41.950101     0.364326   144.540221   201.504279   351.117480   227.400145   194.881473    72.720361   229.565779   164.216880  4084.777757    83.212031    83.653270    73.298319    29.826145    23.312903   182.794350     0.000000  1628.703879     0.000000   560.125846  1119.491425  1070.467094  1894.835854    33.114918   667.133146   654.218328   185.705651  1052.643085     0.000000    30.982048   449.333019    78.574954  3228.537748    18.908618    20.034526    28.048336    89.308418    62.773349     1.173939     8.237813    34.240826   110.769402  2199.505808    80.648976    69.351456     0.000000     2.283109   319.392356    31.279401     7.306758   887.103505    57.454383    56.639804    24.835350  4694.402191   759.225734   124.081599   528.514098   741.111874   397.710170   496.643649   371.643277   444.071056   854.525951  1540.143747   629.439504   190.578868   335.752158    66.206482   328.941680   144.260440    75.868690   231.804429 11483.500000
