Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
1048.291071  112.105939    3.760223   44.451927   47.237547   21.504304   88.828505    7.474059   13.784156   16.593341   14.679350    0.734812    4.717970   13.184155  141.361953   24.897024  339.259033  380.484194  363.269696   16.931133  224.829150   25.569401  405.654091  140.811417   44.788050   24.118311   32.149264   18.098898    3.031706  364.423113    9.677600    6.523844    8.626827    1.853689    4.752160    2.729772    3.333031   23.326203  141.077090  718.632126  111.596368   47.509013   13.725622   17.885219    3.577757   22.415636    3.696465   11.688637    2.330020    3.950642    8.038561  201.603769    2.099961    8.292539   48.013311    9.166953    3.577841    6.296873    6.431386   24.469890   10.904690   24.282656   13.012556   25.394472   68.250643   72.290137    4.487814    2.322708    4.961858   13.749594   38.935460    8.973115  163.631745  399.584868    0.862572    2.479703    6.907798   11.442467   25.650291    9.530101   56.190857   10.633871    5.958352   18.453399    9.855528    8.794746  503.381747   14.253161  102.319627  158.587572  580.125406    3.119260   11.531625   59.252930   11.616239  231.049542  100.066791    3.274622   74.375346    8.701879    2.866880    3.348738    2.252763  119.640027  119.028756   19.504193    8.141021   78.287934   48.315552  165.130819   31.041141  110.606250   51.622494  193.054425   81.703878    7.708864   13.087751   50.229178    7.904574   27.311612   34.938065    6.701428   42.126023   66.820053   10.545893   72.977991  203.568904    0.810554    1.371279   11.560873    6.104710  600.000000    0.634282   17.142074    9.615393    9.209208    6.834230   41.086404   28.620028   16.526339    5.392437   23.881926  113.691326   35.078613  149.180489   50.081947   48.123761    4.357189   24.692924   18.904595   42.954207    9.542660  108.217762  215.428738    4.175450   49.089053   26.252252   13.389019   12.038677   11.321195    2.328121   47.491008    8.273751   34.909567    3.136123   39.007624   11.456895    6.463324  104.051991    6.991861   40.652819    9.442837    4.049499    8.337006   23.251940  103.748367  102.862071   14.701040   44.904215   12.164921   14.096409   53.330062  102.452114    5.726541   40.096916    4.445609   13.213764   63.853635    3.126921   35.375764   47.219844    8.617839   91.052843   10.039671   67.067966   22.816989    5.547272   18.198784   14.786656  184.154271  190.632946   12.907457   11.609626  187.512418   35.907933    2.964157   18.775377   46.142503  116.109954    8.152473    1.934619    2.542287    2.846140   22.359961   17.596182    5.562691   26.151596   13.891333    1.243671   10.333861 1033.462565
1103.085169  119.441633    3.700953   42.580572   46.086061   20.935807   86.645127    7.158693   13.423399   16.159482   14.338643    0.718739    5.019010   12.671691  145.426723   23.865660  325.458928  379.763863  349.498451   16.184747  224.539905   24.565287  428.715722  137.129536   43.508880   23.497059   31.267592   17.886864    2.995235  364.625057    9.788614    6.675046    9.118243    1.929089    4.890116    2.785484    3.409672   24.183675  129.641283  704.768780  109.482921   46.641074   13.483892   17.553178    3.485240   21.833110    3.536141   11.208438    2.244445    3.771729    7.903839  201.579270    2.066978    8.156246   50.705295    8.875448    3.439990    6.033419    6.154116   24.063472   10.710679   23.835075   12.665821   24.710003   66.967232   70.704537    4.299939    2.229172    4.747947   13.121627   36.139181    8.403498  153.938671  420.678374    0.908252    2.626164    6.789709   11.305610   25.330995    9.406955   55.384549   10.466699    5.858723   18.172543    9.728311    8.678428  365.966035   15.129355   99.838000  154.074033  571.192950    3.067307   11.311609   58.155768   11.405691  220.213341  100.714873    3.123849   70.353029    8.544098    3.001165    3.208096    2.278782  122.700245  111.959883   19.742301    8.326636   81.805548   49.708143  160.932745   30.214126   97.340270   48.582689  182.278752   78.205398    7.423047   12.378073   49.661099    7.951548   27.188063   34.348644    6.578066   38.962388   61.846840   10.098834   68.438744  203.507322    0.797312    1.349822   12.157618    6.029733  600.000000    0.627019   16.091350    9.437593    8.965804    6.659225   40.317947   29.610451   16.081630    5.255340   22.906977  106.468570   36.458700  156.241796   52.586008   44.931663    4.129000   23.216684   18.586511   42.232148    9.385753  105.463228  211.454639    4.365649   48.179737   27.690230   12.619413   11.430992   10.791622    2.226440   46.699443    8.136653   34.332733    3.260018   37.182661   11.145041    6.317760  111.752967    6.804949   40.169966    9.281654    3.984113    8.592468   23.765193  105.294216  105.164780   14.921802   44.873653   11.634065   13.826736   52.324581  100.655064    5.473919   38.487788    4.268537   12.628615   62.984085    3.083600   34.251349   45.130592    8.172603   86.891369    9.379770   62.557023   21.513849    5.223656   17.721922   14.531760  179.186416  185.487585   12.369456   11.394337  183.877354   35.314595    2.915464   18.438071   45.017856  113.238494    8.002959    2.022452    2.634898    2.937465   21.324693   17.304833    5.420554   25.701761   13.531212    1.282005   10.214908 1038.405760
1095.498732  125.885306    3.510503   38.619944   43.289400   19.602874   81.607786    6.476930   12.523460   15.071144   13.424285    0.673765    5.282250   11.329704  154.137594   21.575055  305.754715  378.004402  327.733728   14.706854  233.941336   22.302695  449.684169  127.919366   40.356371   21.908461   29.152064   17.072587    2.857966  364.891482   10.469027    7.122716    9.605193    2.052758    5.246092    2.989006    3.666286   25.621742  105.399842  616.683863  103.324498   44.070647   12.754586   16.579629    3.257392   20.426266    3.211683   10.155249    2.001508    3.302540    7.488378  201.499671    1.960125    7.723362   53.675331    8.050553    3.107933    5.448803    5.343929   22.796648   10.128013   22.517671   11.812709   23.032187   63.131622   66.283288    3.893553    2.004795    4.233703   11.594106   29.915263    7.099563  149.521672  446.928467    0.961861    2.773984    6.426870   10.788552   24.155090    8.962680   52.662004    9.930791    5.549324   17.255767    9.270321    8.265838  255.676021   15.970003   93.233331  142.807774  555.455871    2.906132   10.672651   54.919127   10.778055  188.270249  111.630450    2.794439   61.835270    8.073866    3.189295    2.892690    2.471635  133.107687   93.458538   21.620176    8.998114   87.229870   53.752106  150.207960   28.240206  109.126557   42.279288  152.739636   67.710298    6.518872   10.572168   45.557749    8.696504   30.634570   32.530372    6.214047   32.287735   51.606839    9.161618   59.070485  203.319500    0.755360    1.280506   12.902851    5.751242  600.000000    0.598702   13.822785    8.912621    8.343124    6.237142   38.058424   31.819617   14.981250    4.917220   20.734716   91.666881   39.021800  166.340999   55.888298   38.268102    3.557279   19.523472   17.602777   39.994058    8.892008   98.702924  199.714689    4.651744   45.498799   29.344486   10.992239   10.090973    9.613607    1.997575   44.231443    7.707338   32.523764    3.485107   33.825665   10.400832    5.919019  115.656161    6.360279   38.337519    8.787360    3.778586    9.259683   25.791841  115.459384  114.325361   16.384077   50.275320   10.577991   13.043450   49.375679   95.157051    4.905615   33.134860    3.854027   11.305971   59.946517    2.933833   31.185795   41.112655    7.225237   79.248894    8.006190   51.931057   18.765371    4.520343   16.599754   13.754757  167.156182  172.967218   11.149230   10.764068  173.440203   33.462969    2.763492   17.432775   42.058473  105.687730    7.560360    2.150711    2.818412    3.155625   19.045448   16.397315    5.050911   24.309027   12.631713    1.368977    9.752749  894.604134
1091.958187  123.031240    3.470975   38.652067   43.040742   19.583714   81.629621    6.484558   12.555291   15.090168   13.421826    0.671087    5.154258   11.274989  149.957951   21.555153  312.931612  377.950629  330.493483   14.668482  231.399310   22.250752  428.324320  128.216861   40.483329   21.937412   29.132386   16.930362    2.824104  364.762095   10.145766    6.908178    9.366583    1.993976    5.070585    2.890862    3.540546   24.924769  103.523254  600.195566  101.330425   43.052338   12.464417   16.275813    3.255877   20.250712    3.205397   10.141614    1.989929    3.273744    7.350694  201.481183    1.947567    7.677878   52.402743    8.026924    3.100736    5.449541    5.286834   22.408275    9.952486   22.009285   11.854286   22.975120   62.757603   66.248528    3.892295    1.999640    4.214700   11.518894   29.439121    7.004592  170.715834  436.313113    0.936246    2.704239    6.304674   10.715412   23.910570    8.820290   51.705289    9.710981    5.469964   16.865897    9.193077    8.152043  378.429585   15.588356   93.604157  143.627740  558.881867    2.860278   10.389642   53.757890   10.552613  185.894647  105.700562    2.784483   61.443178    7.935308    3.101718    2.893418    2.376604  127.595270   91.980094   20.640979    8.658215   84.726764   51.647367  148.930496   28.310279  104.141991   41.920789  150.356212   67.008203    6.467757   10.451814   45.457136    8.323883   28.786184   32.112052    6.092808   31.781173   50.866941    9.159213   58.505392  203.244660    0.752019    1.266818   12.561673    5.712549  600.000000    0.597176   13.670622    8.704944    8.318110    6.208274   37.118375   30.711295   15.039130    4.916291   20.756726   90.750212   37.789783  161.798651   54.444653   37.814248    3.517520   19.237842   17.353215   39.170404    8.813999   98.760217  195.998249    4.516274   44.615542   28.590637   10.902923   10.030761    9.575731    1.992916   43.759443    7.622310   32.091486    3.373715   33.740038   10.435390    5.902394  111.013406    6.360033   38.005978    8.634770    3.739026    8.917629   24.736808  109.962422  109.438950   15.595479   47.358338   10.569526   12.743406   48.177267   92.908450    4.894852   32.738621    3.849906   11.259867   58.724847    2.901091   31.096551   41.046477    7.184278   79.060263    7.915398   51.115122   18.606887    4.477393   16.556780   13.509673  167.722493  172.543633   11.133633   10.539359  169.982768   33.050218    2.722736   17.083259   42.177707  105.605154    7.402267    2.090435    2.729184    3.047120   18.999571   16.179670    5.081002   24.212276   12.550198    1.327548    9.676329  860.131010
1096.533465  118.745169    3.537437   38.961221   43.667018   19.786614   82.245985    6.535829   12.642705   15.218621   13.517448    0.678480    4.985752   11.449469  144.735271   21.772167  310.713728  378.212737  334.487109   14.872157  234.499263   22.531340  422.108564  129.183228   40.812576   22.122602   29.449244   17.121700    2.868229  364.596790    9.746960    6.641298    9.058430    1.917719    4.860132    2.770602    3.389869   24.051164  107.535560  627.395204  104.928479   44.727020   12.931291   16.825318    3.288669   20.639759    3.244668   10.252419    2.023701    3.345925    7.568227  201.510743    1.971262    7.765943   50.444336    8.131549    3.138161    5.497442    5.423051   23.024289   10.261606   22.857818   11.926422   23.273238   63.574658   66.820987    3.929836    2.024598    4.278592   11.730812   30.496008    7.221760  152.775675  418.825167    0.903354    2.609787    6.508671   10.820547   24.256450    9.013773   53.093659   10.037937    5.613504   17.428872    9.314511    8.314733  607.987622   15.037508   94.063362  144.417062  560.664893    2.939762   10.848232   55.742049   10.935451  191.223604   99.763984    2.823772   62.485158    8.188851    2.983962    2.918122    2.265749  121.723949   95.294941   19.600897    8.271109   81.324267   49.334778  151.792702   28.504068  109.254367   42.741894  155.662194   68.590393    6.584775   10.715879   46.020109    7.904237   26.934557   32.880570    6.306191   32.890019   52.453084    9.246430   59.826448  203.363374    0.760347    1.289268   12.084641    5.771250  600.000000    0.599817   13.992060    9.048790    8.427991    6.301901   38.651242   29.404786   15.123877    4.958403   20.871716   92.838019   36.226036  155.371591   52.307653   38.779356    3.611574   19.872946   17.787776   40.494445    8.959139   99.587696  202.693551    4.339067   46.185755   27.538572   11.124308   10.199266    9.706255    2.015654   44.652790    7.777154   32.794551    3.239929   34.185798   10.499066    5.966347  110.078339    6.418732   38.453274    8.888128    3.810615    8.532862   23.583354  104.345733  104.269340   14.792010   44.449646   10.672963   13.253593   50.150947   96.427489    4.942539   33.672856    3.877050   11.379951   60.383128    2.953584   31.516563   41.490515    7.289536   79.989756    8.121668   52.884983   18.955546    4.580131   16.760418   13.922785  168.674235  174.675731   11.249424   10.922439  176.253134   33.800341    2.795508   17.682072   42.430711  106.712106    7.670897    2.009652    2.620949    2.920361   19.209931   16.568865    5.097700   24.461901   12.757091    1.274749    9.777921  972.000000
1109.554911  119.990463    3.609810   40.741117   45.342511   20.727257   85.230005    6.851415   13.206498   15.968649   14.103411    0.704133    5.090066   12.150340  149.602129   22.848660  326.592304  379.164611  351.271259   15.665059  240.503728   23.667454  442.639246  135.197082   43.379648   23.245135   31.059420   17.207801    2.884327  364.732619   10.176029    6.905553    9.281528    1.981533    5.086406    2.896048    3.555710   24.842801  123.827113  705.846434  108.490561   46.106580   13.294655   17.374097    3.444561   21.645310    3.408567   10.754860    2.155733    3.629913    7.751513  201.538270    2.003449    7.919039   50.963729    8.533007    3.297648    5.770169    5.952071   23.569201   10.564157   23.588368   12.539164   24.437410   65.390747   69.281547    4.119754    2.133034    4.545025   12.585555   34.781378    8.094726  177.560283  424.702651    0.925134    2.662387    6.682520   10.882510   24.437524    9.098494   53.875411   10.241202    5.755078   17.742253    9.404858    8.401242  609.164060   15.261660   98.612463  151.761060  588.188607    3.012587   11.214475   57.519130   11.273169  212.615688  110.633294    2.979548   67.173880    8.445178    3.069565    3.065202    2.403397  130.786780  108.645618   21.232643    8.767952   83.756135   52.591007  159.375178   30.001270  126.348816   46.245283  176.871138   75.114992    7.086358   11.789512   47.908604    8.485239   30.423896   33.729825    6.509316   37.334236   59.108108    9.680822   65.485552  203.452853    0.774685    1.314004   12.370455    5.812273  600.000000    0.602507   15.312095    9.339552    8.886013    6.604143   39.893616   30.902935   15.938614    5.186162   21.755273  101.720232   37.656912  159.191874   53.331404   42.786309    3.983191   22.485083   18.236687   41.520330    9.160733  103.925146  209.278879    4.476397   47.697528   28.025628   12.085212   10.947090   10.320359    2.128899   45.752193    7.963185   33.532952    3.369484   35.967190   11.036314    6.185884  114.410125    6.728282   38.652566    9.120278    3.896178    9.030490   25.277458  113.952302  112.286747   16.200545   49.930636   11.158214   13.707063   51.790204   99.024952    5.192553   37.373635    4.029833   11.912091   61.101882    2.994181   33.080107   43.365874    7.761216   83.817336    8.994151   60.093081   20.416145    5.015809   17.543088   14.299364  177.755904  183.730338   11.825530   11.271980  182.643019   34.622748    2.864021   18.218185   44.227201  111.402024    7.911685    2.072685    2.724604    3.062434   20.321807   16.976284    5.367149   24.988998   13.400560    1.324143    9.818183 1023.711244
1132.087205  123.032342    3.668540   42.584780   47.410365   21.798519   88.928821    7.180186   13.987296   16.904710   14.690187    0.730505    5.276398   12.932735  156.031621   23.988555  344.170828  380.235074  368.392441   16.531939  248.311222   24.935852  450.257090  143.440050   45.964922   24.478918   32.610786   17.266718    2.895929  364.931209   10.690816    7.242371    9.643364    2.071654    5.373922    3.037658    3.765159   25.933554  143.275570  806.185894  110.971675   47.083308   13.552342   17.754787    3.633822   22.670102    3.585865   11.295957    2.305637    3.957210    7.891101  201.560181    2.037550    8.077673   52.151476    8.981687    3.469237    6.056164    6.579311   23.999320   10.781708   24.109459   13.250493   25.813138   66.939283   72.381650    4.319106    2.249109    4.836577   13.542984   39.819204    9.111264  199.786723  436.862534    0.961348    2.754188    6.805060   10.924285   24.563845    9.159552   54.437702   10.386497    5.852338   17.969771    9.465337    8.463615  611.737427   15.710628  103.430899  163.857465  617.064642    3.063065   11.475211   58.767686   11.510244  238.278017  124.026971    3.156038   72.244790    8.622792    3.184895    3.219628    2.569692  142.348177  124.892918   23.238643    9.395050   87.390875   56.662726  166.534364   31.512746  142.267232   50.200771  202.724538   82.545141    7.620595   13.102344   50.239219    9.182322   34.706347   34.349094    6.652158   42.580694   66.798698   10.132947   71.910630  203.516669    0.792053    1.335233   12.804825    5.840350  600.000000    0.604139   16.833760    9.545193    9.377669    6.938400   40.776595   32.790742   16.906370    5.468646   22.739492  111.813873   39.651765  165.235877   55.037857   47.403145    4.415921   25.467621   18.572310   42.241552    9.331432  109.407867  213.829799    4.679236   48.750464   28.905721   13.175571   11.790267   11.002335    2.253303   46.594833    8.110076   34.160502    3.549171   37.961216   11.652551    6.463586  116.301183    7.091375   38.791951    9.293219    3.961440    9.676495   27.419512  125.873531  122.388656   17.959302   56.663555   11.679947   14.026789   52.960084  100.905484    5.453817   41.896300    4.186330   12.476226   61.627580    3.022163   34.866416   45.435671    8.283391   88.300700   10.005303   68.722423   22.075191    5.519483   18.445231   14.573108  187.609330  194.484613   12.441008   11.522855  187.145878   35.228876    2.912228   18.599442   46.695727  117.861034    8.080474    2.156882    2.866732    3.240892   21.484526   17.271482    5.661050   25.578148   14.101740    1.389658    9.846409  974.000000
1160.743920  130.981689    3.690726   43.823945   48.961539   22.578210   91.238159    7.404441   14.613057   17.619605   15.157770    0.756061    5.638812   13.339826  166.762284   24.682183  356.898685  380.872775  383.245695   17.025511  249.101453   25.679272  478.323958  149.443556   48.621240   25.617061   34.294566   17.221971    2.891958  365.278448   11.470441    7.765355   10.313271    2.224232    5.801980    3.285909    4.061653   27.759374  151.499362  867.468397  111.928403   47.401628   13.583814   17.899582    3.766658   23.469642    3.688325   11.618720    2.383403    4.116027    7.962341  201.570818    2.068103    8.216927   55.453568    9.243902    3.567373    6.239767    6.887234   24.161579   10.777711   24.158270   13.818328   27.074032   69.045659   74.902813    4.444787    2.312764    4.984883   14.008343   42.074600    9.570005  202.338986  468.099609    1.026231    2.942393    6.810977   10.885804   24.441338    9.176995   54.590271   10.409897    5.866460   18.028750    9.424609    8.459976  618.851309   16.755927  107.830399  172.444702  643.330368    3.079450   11.556286   58.929016   11.603619  249.822804  138.023463    3.246802   74.384406    8.659503    3.433246    3.319279    2.786483  156.028838  132.522029   25.536577   10.204433   93.928844   62.026496  174.949260   32.809694  140.716243   51.585002  214.652784   85.991909    7.881910   13.674978   51.888597   10.028645   39.040222   34.657667    6.711404   44.808439   69.837077   10.420028   74.510930  203.544130    0.802132    1.335513   13.740715    5.840862  600.000000    0.604837   17.388656    9.631805    9.812126    7.158674   40.727787   35.668273   17.636804    5.680047   23.366648  115.727890   42.769791  177.169994   58.928361   49.102112    4.619569   26.895601   18.669161   42.443010    9.387553  113.389888  215.273550    5.029447   49.165738   30.804744   13.693076   12.214786   11.367762    2.324744   46.900170    8.177932   34.508253    3.823106   39.087347   12.170524    6.710590  123.485410    7.381089   38.647705    9.343685    3.973283   10.519839   30.003222  138.918193  134.097334   19.877912   63.522420   11.996058   14.148210   53.073636  101.271016    5.579983   44.135971    4.263712   12.698379   61.462931    3.014091   35.947153   46.635003    8.467375   90.878766   10.466330   72.427673   22.626940    5.757920   19.094720   14.691287  195.704110  202.907253   12.806228   11.577184  188.808189   35.488337    2.905017   18.631118   48.577775  122.708141    8.148309    2.316761    3.086595    3.516635   22.046941   17.386589    5.908049   26.077567   14.657339    1.494273    9.845610  639.000000
1214.664842  137.918052    3.684016   43.579302   48.393648   22.321700   90.815387    7.355476   14.363868   17.278217   14.989004    0.742956    5.943861   13.405214  172.823598   24.602807  359.843751  381.120066  387.755652   17.110467  249.462119   25.837222  492.257225  146.833777   47.522207   25.144654   33.682089   17.233525    2.898705  365.513462   11.781460    8.018287   10.833314    2.317897    6.008172    3.385031    4.193665   28.876163  152.149469  871.537382  111.380294   47.259297   13.606158   17.813477    3.715762   23.245361    3.696897   11.616641    2.404027    4.152480    7.922761  201.566217    2.053824    8.154612   58.077345    9.323067    3.571588    6.199974    6.991642   24.050842   10.832796   24.223342   13.580640   26.581739   68.230002   73.609396    4.428668    2.309171    4.986314   14.052531   42.364959    9.633824  207.482730  490.776135    1.075849    3.092607    6.809682   10.866405   24.595607    9.168347   54.540046   10.401287    5.848095   18.005137    9.480319    8.461332  624.272022   17.621072  105.859444  167.262171  631.498291    3.070799   11.519591   58.941787   11.552244  253.374692  142.612708    3.229691   74.124493    8.658358    3.587906    3.295087    2.862185  162.157057  134.714422   26.359333   10.556662   98.072828   64.492363  171.647181   32.296533  137.628623   51.461171  218.307250   86.666868    7.996006   13.833146   53.172338   10.293502   40.242634   34.467990    6.676025   44.960622   69.941752   10.386075   74.419364  203.528166    0.787617    1.343740   14.388556    5.842417  600.000000    0.604394   17.429342    9.582554    9.637477    7.069595   40.979499   37.105859   17.323137    5.587087   23.133783  115.559533   44.558228  185.087884   61.623157   49.149923    4.662982   27.236105   18.662232   42.370397    9.341170  112.049518  214.196801    5.254610   48.913123   32.245535   13.703897   12.233900   11.362356    2.321275   46.755379    8.148445   34.372402    3.986007   39.308170   11.979045    6.592116  128.125327    7.285636   38.832668    9.337217    3.961030   10.936659   31.101683  143.772173  139.014824   20.606195   65.553860   11.983725   14.086486   53.211921  101.250112    5.541963   45.052849    4.233276   12.655767   61.746129    3.029191   36.395633   46.750653    8.430654   91.645017   10.484346   73.030032   22.594064    5.784436   18.895218   14.601992  192.344690  198.461903   12.766173   11.567192  188.018146   35.364160    2.920994   18.684612   47.659053  120.390359    8.111981    2.422330    3.213111    3.654512   21.891686   17.302525    5.799401   25.864801   14.402326    1.550147    9.849599  485.000000
1294.930692  148.645852    3.684058   42.871054   47.708170   21.856282   89.343633    7.257194   14.301915   17.164847   14.873149    0.746176    6.390896   13.398080  178.199968   24.295930  350.825192  380.817764  378.772990   16.677582  246.942991   25.461249  523.740926  144.555530   47.128943   24.979031   33.467958   17.300409    2.901601  365.811482   11.935510    8.245788   11.558135    2.439067    6.252575    3.480744    4.333893   30.109595  150.767859  864.998803  112.187295   47.560693   13.677953   17.941541    3.664956   23.097436    3.614419   11.445483    2.415676    4.170036    7.953385  201.570412    2.056536    8.158260   61.990307    9.299433    3.540213    6.131137    7.088774   24.014990   10.887466   24.360646   13.500247   26.300231   67.859565   73.397563    4.361934    2.291994    4.962066   14.020459   42.184893    9.613009  209.441099  524.122016    1.145505    3.311379    6.867031   10.953003   24.581377    9.184895   54.714384   10.426060    5.893368   18.081722    9.490771    8.495585  632.204179   18.902790  105.506178  167.526550  630.437411    3.088015   11.603017   59.385681   11.604669  257.916581  146.956672    3.206479   73.484045    8.708532    3.805404    3.264518    2.925862  169.517233  136.490414   27.144270   10.948352  103.976076   67.577589  169.840775   31.988070  137.738634   50.974615  221.957489   87.948906    8.117524   13.912190   54.126536   10.491196   41.100534   34.643747    6.722053   44.547672   69.197634   10.197615   73.707205  203.547781    0.799523    1.345128   15.336202    5.854139  600.000000    0.603278   17.338179    9.645500    9.602474    7.015518   41.164014   39.020764   17.241754    5.569251   23.006267  114.375872   47.017568  196.603707   65.593354   48.734063    4.681994   27.414429   18.701414   42.591092    9.416488  111.165385  216.109656    5.575691   49.261498   34.446557   13.594382   12.163596   11.290931    2.304835   46.953060    8.179257   34.454343    4.207980   38.182601   11.894839    6.578070  141.769961    7.202319   38.854937    9.346732    3.989810   11.459372   32.347309  149.048102  144.889828   21.379008   67.193938   11.728115   14.182763   53.403800  101.820871    5.506564   46.164798    4.212920   12.576983   61.876677    3.035218   36.162100   45.608283    8.363214   89.268681   10.393222   73.222239   22.407412    5.754601   18.635217   14.710090  191.148896  198.268832   12.646049   11.645790  187.798610   35.504356    2.935335   18.782892   47.449709  119.938681    8.163157    2.571590    3.375370    3.827806   21.736874   17.417454    5.790628   25.818027   14.375948    1.613499    9.860471  400.000000
