Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
   181.480221  10194.418080    -67.564987  -1552.099858  -1908.870157   -299.663867   -986.153806  -1460.162967  -2113.423152    -81.929821   9015.703052    734.896621  29842.168505  -3829.880639    -65.449765   -842.121654      0.000000   -224.131082    372.553018   8153.456477    379.480971   4476.665489    -89.230697     -4.429081   1347.967991   4057.076334    286.401159     -6.126061     -7.001212  -8133.848565  -3641.724628  -4047.847129   -189.661681   2061.496435  -3643.546060  -1468.926172  -2083.040262  -2923.496565    219.984433      3.563053    324.828689   1698.579498    332.606642    928.768865   -124.305926  -1387.534845   -467.671393  -1963.346485   -148.859249  -2997.129962  -2262.141616   -605.138481   -138.537556  -1890.647501   9741.239714  -7815.205538 -11331.918229  -3371.715805     46.103541    -72.215676  -1835.693604   -709.157941    384.875513     40.804429  -1025.069953   -446.971329   -655.461907  -2222.884580     15.814531  -2493.946445    156.857740      3.123357      3.088177   8436.049744   1619.614160   4138.633137  -1066.047813    -12.273839   -107.249821    -19.107475    -50.655888   -181.477257   -287.672510   -161.308084     -2.980790   -219.867238   5775.562386   9463.703273    598.726761    204.007540   6498.971468   -146.070821    616.452667    493.739607     91.636045     63.127697      0.000000    143.841223    142.976994    533.989610  22746.386787  -2669.525644  -1792.314573   -342.183221      2.732831  -1491.597126  -2874.456366   6381.911363     -0.855054    -33.956290   -274.121169      0.583734     54.226640      2.086108     17.415635      0.440973      1.727144  -4603.041364  -6501.808888   -475.332023  -1889.797589  -1278.564105      5.215704      5.473456  -2260.431809      6.443820    917.660823   -903.708502    -71.637951   6162.701475      0.000000      0.000000      0.000000      3.093034    789.885368   4694.816268   5296.142168    226.946977    -74.932079   -954.942369   -564.161441  13237.071566      0.409372     61.013470   2842.652190   1732.050904     78.561537      0.682287  10867.330682   -175.772956    122.722880   -198.362020    -56.514525    203.136072   1153.898084    475.413730   7643.159508    155.834310    156.660635  30859.703237  14107.903799    -20.335934   -159.452213      0.000000    863.858117      0.000000    437.999074    818.645427   6069.863818   1224.065220    -17.534056   -581.942806   1491.116915    -97.270375   -722.543380      0.000000    -22.877679   -331.795258    -58.021102  17926.066922    164.868606    174.685651    244.559911    167.251242    -29.430079      2.198480    506.514284    -15.081778    -48.789698   -290.194082    715.721666  10750.507763      0.000000      4.275664    508.678891     58.578114     13.683641   -687.142353    -50.117679    163.167219     66.436282  -4610.647715   -662.275524   -108.236856   -461.024877      0.549494   -346.924109   1423.698548   1065.367481   -387.364887   4436.147520   2648.789732    -40.879998  14987.957184   -292.877897    189.487189   -254.795251    -49.932706     39.914184   -102.101013      0.000000
   187.610343  10436.721887    -65.301023  -1444.060095  -1898.526102   -282.259255   -904.650385  -1358.522819  -1874.224818   -109.602920   9140.789013    745.036385  33223.007147  -3563.287356    -57.434736   -783.502601      0.000000   -183.634670    374.507670   6275.348697    379.879045   4233.162724    -76.307988     -3.922242   1375.202462   4120.681164    255.972049     -5.719535     -7.951746  -6213.734356  -3290.987091  -3680.475590   -123.710426   2312.841509  -3327.045209  -1341.326198  -1902.094555  -2500.105326    239.050425      3.871862    325.917598   1414.977363    327.708219    895.050242   -114.032318  -1272.858173   -389.011067  -1826.680350   -138.497340  -2788.503431  -2186.341918   -584.861539   -127.087735  -1734.389685   9937.482622  -7271.198689 -10543.117334  -3137.014813     63.835672    -69.795878  -1774.183300   -685.395522    -41.629852     42.486691   -940.350198   -410.030142   -609.836010  -2068.152317     18.296609  -2320.345899    170.452559      3.394058      3.946004   8530.733630   9894.839188   3864.876715  -1030.326751    -11.596296   -121.810805    -17.839501    -47.859569   -189.521741   -267.480897   -157.842152     -2.816243   -249.717947   5848.991001  -4821.194383    554.377158    207.807431   6608.811170   -111.941341    618.519175    495.394749     94.347140     80.588550      0.000000    156.307904    155.368772    533.805172  23231.529147  -2483.703246  -1636.623090   -312.925950      5.422626  -1362.027813  -2624.763382   6459.643374     -0.759281    -30.070521   -254.161574      0.634326     58.926449      2.718263     20.129572      0.480395      1.881548  -4236.852988  -5937.021723   -434.041756  -1826.474372  -1235.722060      5.667747      5.947840  -2103.085930      7.002304    767.154493   -829.019002    -69.237511   6220.907517      0.000000      0.000000      0.000000      3.361106    675.286321   4761.418036   5777.744795    227.707762    -66.144645   -876.018504   -517.534751  14858.397159      0.444852     62.162749   2876.340451   1751.644175     85.370444      0.741420  14575.700754   -169.883167    132.985729   -191.715318    -52.399531    138.179909   1170.928900    475.249523   8009.434983    169.340428   2600.387549  32147.228368  14163.585231    -19.654519   -154.109299      0.000000   1299.224731      0.000000    365.090285    838.192954   6249.825210   1235.054885    -16.566137   -562.443103   3487.521423    -87.902184   -660.764642      0.000000    -20.890383   -302.973479    -52.981032  16962.388636    165.421288    175.271242    245.379738    181.746863    -16.067525      2.389021   2208.100552    -17.129386    -45.552008   -237.761287    655.597849  15351.977489      0.000000      4.646235    631.719727     63.655064     14.869599   -630.351564    -48.438339    167.068210     72.448189  -4289.706197   -640.084038   -104.610062   -445.576885   1059.889806   -335.299398   1453.220153   1087.458785   -374.385089   4490.959781   3503.233959     -0.505564  22388.293394   -283.064163    193.725610   -233.736989    -44.281296     44.780666    -95.325577      0.000000
   192.558560  10609.959850    -60.292366  -1444.060095  -1726.744129   -353.156409   -817.272141  -1358.522819  -2753.008893   -151.838796   9271.456951    755.540266  33839.489101  -3563.287356    -42.601199   -783.502601      0.000000   -183.634670    366.290606   3815.970707    322.254311   3166.905180    -56.600100     -5.998774   1393.202395   3935.860087    242.688707     -6.058403     -6.923890  -2799.995433  -2685.019140  -3077.231672    295.434956  13771.292719  -2990.042597  -1220.280564  -1720.310885  -1768.591224    239.050425      3.871862    328.326636   1224.103688    155.282520    272.824891   -103.018180  -1149.915527  -1644.219458  -1826.680350   -138.497340  -2788.503431  -2018.647185   -540.002041   -114.812603  -1566.868698  10085.328105  -7271.198689 -10543.117334  -3137.014813     50.979877    -64.442460  -1638.101567   -632.824961   -287.341069      2.834032   -849.523786   -370.426208   -609.836010  -2068.152317     17.273817  -2320.345899    170.452559      3.394058      2.787938   8622.089474   4507.482130   3754.214767   -951.299601    -12.062816   -106.065333    -18.896449    -41.673160   -179.472987   -244.343426   -137.439207     -2.452211   -217.438981   5902.193705  -5456.788044    211.206768    209.267650   6643.588481     91.854333    623.090994    499.056487    102.604251      4.282483      0.000000    156.307904    155.368772    362.411062  23732.251444  -2483.703246  -1527.337164   -249.098038      1.350875  -1271.078057  -2400.842636   6684.044798     -0.461402    -43.477730   -225.276357      0.634326     58.926449      1.391995      0.798217      0.015350      0.060122  -3281.476646  -5540.575579   -405.058507  -1686.381859  -1140.940873      5.667747      5.947840  -2103.085930      7.002304    677.221378   -748.945831    -63.926921   6363.375932      0.000000      0.000000      0.000000      3.361106    490.221403   4830.347402   4570.190536    229.390876      8.261723   -791.405752   -467.547177  15373.462425      0.444852     87.956990   2906.058057   1770.060519     85.370444      0.741420  19993.135594   -156.852949     35.122522   -177.010550    -46.444375     60.241509   1190.745350    322.656455   8313.282619    169.340428  10477.240457  32736.235760  14278.017954    -18.146997   -142.288953      0.000000   1258.107035      0.000000    325.776499    993.989251   6357.251909   1255.549877    -14.424770   -519.303123   4578.676638    -60.383223   -525.987620      0.000000    -19.495422   -270.431684    -49.443210  12897.041337    166.644008    176.566769    247.193476   2837.151288    -37.418759      2.389021   3221.089609    -14.915212    -48.250855   -237.761287    667.718742  19376.009194      0.000000      4.646235    276.451930     63.655064     14.869599   -569.467256    -44.723068    170.955553     69.730715  -4289.706197   -590.988916    -96.586360   -411.400667   3511.333623   -309.581580   1374.781100   1028.762079   -345.669358   4580.392478   1160.084815     68.714826  31774.075396   -261.352843    185.889277   -211.160834    -65.043852    266.636365   -100.973389      0.000000
   190.203052  10573.281929    -61.304500  -1444.060095  -1751.807198   -378.581088   -829.134551  -1358.522819  -2809.900648   -155.636892   9254.771477    754.064475  33838.594898  -3563.287356    -42.078384   -783.502601      0.000000   -207.830639    366.290606   5177.247899    324.759834   2596.597425    -55.905486     -5.794975   1388.887771   3921.315278    239.276087     -6.240146     -7.131596  -3152.609016  -2548.643486  -3008.926093     70.269058  13524.331327  -2912.293727  -1187.876898  -1675.110768  -1831.651000    239.050425      3.871862    327.839825   1209.341562     95.690611    268.566917   -104.513452  -1166.606136  -1915.478577  -1826.680350   -138.497340  -2788.503431  -2052.534423   -549.067111   -116.479066  -1589.611233  10069.812428  -7271.198689 -10543.117334  -3137.014813     53.060939    -65.524263  -1665.600547   -643.448259   -300.711148      2.167565   -861.854318   -375.802811   -609.836010  -2068.152317     17.782630  -2320.345899    170.452559      3.394058      2.887646   8651.043491   3867.240815   5967.994346   -967.269166    -10.400244   -109.247130    -15.601175    -42.923291   -184.856900   -237.788309   -141.562172     -2.525773   -223.961816   5923.033349  -1333.837531    213.567675    209.077529   6625.064938     94.685706    622.167135    498.316534     99.951612      6.482122      0.000000    156.307904    155.368772    360.000807  23785.649427  -2483.703246  -1479.727227   -239.319788      1.635395  -1231.456192  -2336.398068   6707.814988     -0.456206    -44.428139   -245.059795      0.634326     58.926449      1.458559      1.208210      0.023235      0.091003  -3338.542732  -5367.865544   -392.432081  -1714.691325  -1160.093966      5.667747      5.947840  -2103.085930      7.002304    674.408692   -759.816510    -65.000069   6386.529261      0.000000      0.000000      0.000000      3.361106    681.372050   4820.560545   4841.407076    229.050758      0.000000   -802.892721   -474.333456  15703.485476      0.444852     87.072143   2917.606006   1776.298684     85.370444      0.741420  20597.456670   -159.486055     91.393239   -179.982045    -50.523052     58.667381   1195.248251    320.510593   8338.750744    169.340428  11140.802132  32755.173710  14280.347535    -18.451632   -144.677572      0.000000   1189.731675      0.000000    233.330778    961.833152   6331.074411   1118.958132    -14.857491   -528.020718   2521.967743    -59.670619   -505.340173      0.000000    -18.887714   -263.471126    -47.901973  12398.001945    166.396925    176.304973    246.826962   3465.012499    -36.354804      2.389021   2837.721481    -15.362645    -49.698307   -269.089058    680.048616  18966.949239      0.000000      4.646235    290.673652     63.655064     14.869599   -577.732868    -45.473838    170.427810     69.499310  -4289.706197   -600.909908    -98.207765   -418.306893   4192.240525   -314.778558   1370.153609   1025.299282   -351.472145   4597.153885   1077.299352     40.181195  32677.633653   -265.740200    185.272397   -214.225757    -66.388003     94.772171    -93.738343      0.000000
   187.063006  10413.579500    -62.895433  -1444.060095  -1794.146385   -409.826836   -849.173790  -1358.522819  -2596.049401   -112.094077   9225.361942    751.754568  33231.598844  -3563.287356    -54.261102   -783.502601      0.000000   -207.830639    367.896879   5177.247899    324.759834   2596.597425    -69.587302     -5.656761   1388.344216   4136.686467    233.511128     -6.586633     -8.805836  -5130.342960  -3141.862455  -3534.941570     25.301334  12793.246106  -3318.941314  -1351.820285  -1907.593982  -2279.913151    239.050425      3.871862    327.074626   1337.853164    322.512943    629.286944   -107.039423  -1194.801679  -1948.055855  -1826.680350   -138.497340  -2788.503431  -2105.800408   -563.316130   -119.294233  -1628.030328   9918.791428  -7271.198689 -10543.117334  -3137.014813     55.166630    -67.224704  -1708.825086   -660.146593   -250.309766     26.027050   -882.684356   -384.885538   -609.836010  -2068.152317     18.296609  -2320.345899    170.452559      3.394058      2.887646   8529.391452   7794.209539   5672.351626   -992.371080    -12.841844   -114.248468    -20.354344    -44.888321   -193.319656   -266.101528   -148.042894     -2.641403   -234.214797   5835.474337   -557.751430    417.705232    209.797170   6660.995240   -153.781115    620.714958    497.153432     97.328851      6.482122      0.000000    156.307904    155.368772    536.855920  23419.224382  -2483.703246  -1679.763232   -280.403691      1.635395  -1397.929831  -2657.209367   6607.943110     -0.579258    -40.551040   -299.448152      0.634326     58.926449      1.458559      1.208210      0.023235      0.091003  -3528.850878  -6093.517107   -445.482767  -1759.189834  -1190.199939      5.667747      5.947840  -2103.085930      7.002304    740.151976   -778.180410    -66.686906   6289.249161      0.000000      0.000000      0.000000      3.361106    654.040374   4805.914783   5113.299184    228.516139    -15.396850   -822.297725   -485.797556  15380.865851      0.444852     85.595522   2874.322552   1750.088660     85.370444      0.741420  21316.382592   -163.624930    130.515696   -184.652817    -55.635521     94.818032   1176.329044    477.965621   7925.838486    169.340428  10907.628099  32689.911979  14268.978333    -18.930477   -148.432146      0.000000   1050.831075      0.000000    357.113283    961.872267   6233.254324   1208.069682    -15.537667   -541.723555    495.885640    -74.975180   -592.091658      0.000000    -21.441038   -300.502012    -54.377572  13234.295633    166.008544    175.893466    246.250852   3524.305082    -36.354804      2.389021   2201.034386    -16.065948    -51.973497   -269.089058    686.291921  17717.428001      0.000000      4.646235    305.078880     63.655064     14.869599   -591.696014    -46.653945    168.990225     68.756030  -4289.706197   -616.504315   -100.756386   -429.162510   4083.268579   -322.947478   1381.991668   1034.157816   -360.593312   4526.729829    948.589385    -11.692809  32700.646408   -272.636510    196.312224   -219.403350    -61.335455     88.519604   -128.418445      0.000000
   188.308069  10352.441899    -67.620238  -1444.060095  -1926.680726   -393.314901   -982.341157  -1358.522819  -2014.346626    -80.709091   9028.891213    735.739525  33104.407841  -3563.287356    -63.573252   -783.502601      0.000000    -81.756906    381.415575   8040.026828    386.705145   4582.846194    -84.463641     -3.818430   1364.494959   4138.371497    210.034305     -6.135982     -8.427685  -6498.456161  -3642.187088  -4162.073519    212.276124   3667.194029  -3824.108032  -1546.749392  -2193.399042  -2767.311842    239.050425      3.871862    324.802114   1835.989050    354.298817    953.485835   -123.825337  -1382.170384   -250.282856  -1826.680350   -138.497340  -2788.503431  -2263.991488   -605.633334   -138.001945  -1883.337916   9832.848925  -7271.198689 -10543.117334  -3137.014813     57.296948    -72.274731  -1837.194748   -709.737857   -102.158028     20.280535  -1021.106847    166.869515   -609.836010  -2068.152317     18.296609  -2320.345899    170.452559      3.394058      3.725420   8384.611414  15170.169511   5958.104552  -1052.477127    -12.290375   -123.262901    -19.138420    -50.724132   -181.771160   -302.901966   -167.289556     -2.984805   -264.664439   5748.482796  -7335.996955   1506.669987    210.124175   8071.516406   -322.804893    616.402235    493.699214     92.603296     77.337756      0.000000    156.307904    155.368772    574.962044  22954.857571  -2483.703246  -1897.263831   -360.886289      4.411263  -1578.937828  -3042.770606   6367.106241     -0.887017    -29.274632   -324.352332      0.634326     58.926449      2.557503     19.465601      0.480395      1.881548  -3281.476646  -6882.523320   -503.165164  -1891.342976  -1279.609654      5.667747      5.947840  -2103.085930      7.002304   1015.739963   -900.214601    -71.696533   6147.214038      0.000000      0.000000      0.000000      3.361106    888.012981   4702.533521   5666.357843    226.928411    -76.415797   -951.250389   -561.980291  14834.881078      0.444852     76.890774   2822.339556   1719.932084     85.370444      0.741420  13703.084847   -175.916695    243.607105   -198.524231    -66.870494    210.476167   1150.966382    511.891701   7595.123807    169.340428   3349.895856  32382.860143  14212.355660    -20.352564   -159.582606      0.000000   1539.632430      0.000000    321.209702    689.234496   6204.997062   1086.612349    -17.557678   -582.418691   -571.143833   -102.691932   -762.036192      0.000000    -24.217285   -351.223581    -61.418537  13708.455963    164.855118    174.671359    244.539903    181.746863    -19.241357      2.389021   1858.313902    -15.106203    -48.868713   -105.854887    605.238012  14151.246089      0.000000      4.646235    613.644377     63.655064     14.869599   -684.485737    -50.158663    148.053382     63.486450  -4289.706197   -662.817101   -108.325367   -461.401882   3560.376240   -347.207807   1437.069497   1075.373092   -387.681656   4437.224761   3944.605426    -27.215792  23152.262226   -293.117398    190.925052   -253.810166    -47.591878     71.003304   -102.266365      0.000000
   190.586563  10362.931433    -75.689565  -1580.294445  -1985.464545   -420.751688  -1182.971712  -1486.687480    693.772267     46.316273   8727.597424    711.521851  33437.661334  -3899.452131    -60.895383   -857.419170      0.000000   -118.178207    384.013313   8250.812794    389.080699   6371.840047    -80.905815      1.511722   1322.303033   4255.630739    137.482973     -6.324087     -7.227529  -4182.612071  -3507.257822  -4143.722466    217.362470  16400.122909  -3973.368704  -1609.042199  -2271.602129  -2650.745548    219.984433      3.563053    320.920972   1936.874819    362.253160    989.228926   -149.115071  -1664.460919   -377.092836  -1999.011551   -151.563344  -3051.574167  -2534.160409   -677.905384   -166.187069  -2267.985477   9818.945834  -7957.172237 -11537.767586  -3432.964529     33.986584    -80.899492  -2056.432728   -794.433012    180.720213      9.916775   -327.697653   1570.365869   -667.368665  -2263.264271     13.347949  -2539.250096    156.857740      3.123357      2.673747   8327.345527  15098.641509   4234.224577   -593.816689    -10.540146   -110.716703    -19.725130    -42.129430   -147.366917   -333.439784   -143.466442     -2.559750   -226.974511   5702.775597 -10486.641877   1599.366082    208.562546   8509.789319   -525.582485    609.036689    487.799877     81.528542     56.820767      0.000000    143.841223    142.976994    632.653536  22896.147804  -2718.018770  -2001.685812   -372.981890      1.166773  -1665.839719  -3194.212716   6359.043090     -0.910868     11.589866   -460.807714      0.583734     54.226640      1.858784     16.758921      0.440973      1.727144  -1040.745910  -7261.324994   -530.858467  -2117.042628  -1432.309327      5.215704      5.473456  -2301.493562      6.443820   1071.553862  -1084.071862    -80.252296   6114.474281      0.000000      0.000000      0.000000      3.093034    853.355023   4544.488446   7518.653277    224.216786    -77.589776  -1145.531054   -676.757541  13533.162362      0.409372     78.425679   2800.959004   1707.075910     78.561537      0.640841   5536.517427   -196.909364    215.145560   -222.214725    -95.002985    217.480838   1143.473209    563.254737   7483.206161    155.834310    156.660635  29889.954032  14145.312842    -22.781297   -178.626078      0.000000   1575.965673      0.000000     77.656514    312.695203   6216.025010    353.693381    -15.057351   -651.920467   -639.300146   -108.008752   -787.576884      0.000000    -25.550161   -370.554294    -64.798902  15795.495522    162.885222    172.584167    241.617834    167.251242    -35.344948      2.198480    229.022976    -15.569301    -50.366840   -153.011425    574.001754   8222.844268      0.000000      4.275664    474.179746     58.578114     13.683641   -824.283150    -56.144247     43.430147     15.580993  -4694.402191   -741.913062   -121.252159   -516.462357   5760.428606   -388.641160   1385.173660   1036.538932   -433.944875   4413.394763   1845.635671    217.799079  11491.018295   -328.095980    182.145228   -305.647630     16.391382    317.535126   -105.401458      0.000000
   203.618484  11777.169704    -77.827211  -1580.294445  -2111.248400   -458.061855  -1242.148800  -1486.687480    834.833696    123.908924   8587.948437    700.213331  34943.532855  -3899.452131    -30.332449   -857.419170      0.000000   -174.210977    368.219837   7910.522776    375.121708   4416.149436     42.247367      4.044276   1295.258711   4159.446394    129.294784     -6.707932     -7.666207  21761.781541  -3392.480539  -3804.007039   2640.184751   6384.240016  -4039.088307  -1670.469988  -2329.814711   1430.621768    219.984433      3.563053    319.892818   1943.031870    376.844882    980.236008   -160.572864  -1792.355761   -377.092836  -1999.011551   -151.563344  -3051.574167  -2605.730875   -697.050977   -178.956650  -2442.254299  11609.955737  -7957.172237 -11537.767586  -3432.964529     26.401173    -83.184278  -2114.511076   -816.869611    494.298976     24.639655    122.367949   1537.572051   -667.368665  -2263.264271     11.467666  -2539.250096    156.857740      3.123357      1.991384   8486.617259   7319.350298   7400.792098   -354.632850    -11.179886   -102.403413    -20.922358    -36.858513   -158.737840   -343.314630   -121.560371     -2.168898   -240.750857   7024.837695 -16354.286765   1569.987282    211.337256   8369.531554   -568.001129    607.085481    486.237084     78.004488     44.674087      0.000000    143.841223    142.976994    657.025898  20550.695386  -2718.018770  -2223.879665   -342.749684     -1.090263  -1850.753526  -3318.560048   6436.942413      0.379965     31.006119   -403.610856      0.583734     54.226640      1.426742     15.467261      0.440973      1.727144   -189.518545  -8067.356473   -589.785541  -2176.832737  -1472.761007      5.215704      5.473456  -2301.493562      6.443820   1074.960180  -1167.370423    -82.518804   6218.736945      0.000000      0.000000      0.000000      3.093034    870.230692   4470.894147   7396.114951    223.498449    764.823016  -1233.552053   -728.758642  12465.022947      0.409372     92.009592   2805.322714   1713.073647     78.561537      0.560461   4704.404911   -202.470533    208.365477   -228.490575    -83.210924    215.473882   1203.820263    584.953577   7246.963683    155.834310    156.660635  28687.270476  14109.592350    -23.424693   -183.670886      0.000000   1406.229314      0.000000    197.733123    296.142436   7077.901906    668.906487    -15.971266   -670.332187   -657.355439    -97.569124   -723.739505      0.000000    -28.386315   -390.768707    -71.991798  17025.554256    162.363377    172.031249    240.843748    167.251242    -47.607481      2.198480     15.427263    -16.514289    -53.423883   -225.559945    615.326050   7049.575272      0.000000      4.275664    391.143238     58.578114     13.683641   -887.619911    -57.729889     96.364895     20.817711  -4694.402191   -762.866378   -124.676596   -531.048431   5937.605217   -399.617272   1355.404935   1014.262706   -446.200468   4348.231045    840.078495    168.216399   7700.327304   -337.362158    177.762855   -329.133165      9.700639     71.512043   -111.798859      0.000000
   201.854135  11675.120855    -77.631612  -1580.294445  -2029.924229   -443.732728  -1218.858028  -1486.687480    522.285512     34.867808   8624.207632    703.110914  34566.021081  -3899.452131    -29.376035   -857.419170      0.000000    -89.397738    378.581694   8250.812794    383.702269   5231.794199     32.735924      1.138054   1303.730084   4188.003813    132.866753     -6.672809     -6.083808  22229.937499  -3394.425304  -4060.492491   2608.923703   8221.003457  -4284.369402  -1770.944955  -2491.434383   1141.992404    219.984433      3.563053    319.986896   1944.014379    377.138071    981.058877   -157.637032  -1759.585257   -326.082806  -1999.011551   -151.563344  -3051.574167  -2599.182043   -695.299119   -175.684699  -2397.601387  11509.355792  -7957.172237 -11537.767586  -3432.964529     24.566390    -82.975216  -2109.196798   -814.816620    462.435777     25.948203    448.910719   1551.010947   -667.368665  -2263.264271     11.010509  -2539.250096    156.857740      3.123357      1.991384   8406.320994   6979.229738   8361.842667   -371.744418    -11.121348    -93.196337    -20.812809    -36.616921   -157.697379   -342.411063   -120.763593     -2.154682   -228.734170   6963.967671 -17572.580120   1583.954460    223.371231   8405.900856   -572.567475    607.264021    486.380082     78.326946     44.674087      0.000000    143.841223    142.976994    657.491688  20337.741169  -2718.018770  -2362.942408   -371.310744     -1.090263  -1966.484097  -3541.584395   6367.512625      0.294421      8.725081   -386.318081      0.583734     54.226640      1.426742     15.467261      0.440973      1.727144    -95.562317  -8571.821144   -626.665772  -2171.361829  -1469.059602      5.215704      5.473456  -2301.493562      6.443820   1075.503742  -1146.026827    -82.311414   6151.108931      0.000000      0.000000      0.000000      3.093034    862.467481   4490.109759   6808.083625    223.564178    754.119301  -1210.998427   -715.434396  11831.165291      0.409372     91.352711   2775.232552   1695.924757     78.561537      0.540889   3319.184084   -201.961675    209.252152   -227.916323    -79.645738    215.657522   1191.207881    585.368273   7117.402731    155.834310    156.660635  28246.205158  14111.326751    -23.365821   -183.209277      0.000000   1507.636278      0.000000    203.195807    288.549776   7016.572082    687.386064    -12.674600   -668.647480   -655.703346   -108.208680   -784.048145      0.000000    -30.161356   -416.512156    -76.493560  17294.194603    162.411127    172.081842    240.914579    167.251242    -47.607481      2.198480     15.427263    -16.427820    -53.144158   -115.747867    585.926923   5391.045981      0.000000      4.275664    375.086455     58.578114     13.683641   -871.391128    -57.584800     48.513301     14.262158  -4694.402191   -760.949110   -124.363254   -529.713778   6267.752809   -398.612937   1364.490596   1021.061594   -445.079058   4299.273047    933.237219    140.324404   5563.115587   -336.514286    178.974045   -323.115465     12.339757     25.373984   -111.213485      0.000000
   201.159571  11634.947693    -77.607829  -1580.294445  -2117.179766   -459.789002  -1276.676928  -1486.687480    652.883649    123.010076   8585.444952    699.864074  34878.867124  -3899.452131    -40.309673   -857.419170      0.000000   -113.762503    380.373664   8188.325367    385.475905   4905.736581     28.991593      4.014939   1297.294782   4163.801794    125.358759     -6.668538     -7.621187  27658.346059  -3813.657787  -4313.642743   2650.856764   2327.962905  -4537.443152  -1854.713654  -2612.475930    949.861714    219.984433      3.563053    319.998335   1944.133844    359.377815    981.158931   -160.926731  -1796.305721   -377.092836  -1999.011551   -151.563344  -3051.574167  -2598.385754   -695.086106   -179.351031  -2447.636493  11469.753015  -7957.172237 -11537.767586  -3432.964529     30.144623    -82.949796  -2108.550622   -814.566992    433.020703     24.481930    620.670286   1548.071205   -667.368665  -2263.264271     12.397476  -2539.250096    156.857740      3.123357      2.374621   7911.043122   6369.506168  10563.963103   -387.457106    -11.114231   -116.747055    -20.799489    -36.587545   -157.570867   -342.301196   -123.237654     -2.152953   -239.337021   6818.316361 -18592.517602   1579.889524    232.904970   8365.997471   -559.831016    607.285730    486.397470     78.366154     56.820767      0.000000    143.841223    142.976994    657.548325  20195.680573  -2718.018770  -2417.686681   -467.772058     -0.000000  -2012.043287  -3786.810074   5828.540479     -1.253854     30.781197   -405.695223      0.583734     54.226640      1.711421     16.758921      0.440973      1.727144   -189.518545  -8770.411728   -641.184265  -2170.696609  -1468.609539      5.215704      5.473456  -2301.493562      6.443820   1075.569835  -1169.943052    -82.286197   5665.031040      0.000000      0.000000      0.000000      3.093034    823.202266   4469.282160   6954.320053    223.572170   -132.225552  -1236.270532   -730.364666  11800.430117      0.409372      5.588270   2622.510810   1640.860767     78.561537      0.600232   2448.601359   -201.899802    209.359965   -227.846498    -83.640651    215.679851   1085.785948    585.418697   7183.149992    155.834310    156.660635  28315.497077  14119.546534    -23.358662   -183.153148      0.000000   1316.765411      0.000000    191.713681    273.098087   6992.428616    648.543465    -15.877473   -668.442632   -655.502464   -150.139824   -987.732837      0.000000    -30.860130   -447.564835    -78.265751  16513.881546    162.416933    172.087994    240.923191    167.251242    -38.085985      2.198480     15.427263    -16.417307    -53.110146   -115.747867    576.733944   5997.056579      0.000000      4.275664    440.414624     58.578114     13.683641   -889.576031    -57.567158     39.261326     13.753053  -4694.402191   -760.715985   -124.325154   -529.551494   5752.025779   -398.490818   1357.206985   1015.611197   -444.942703   4049.882662    413.448501   -344.366449   5762.302849   -336.411191    177.966079   -329.858503      9.382535     45.073442   -111.142308      0.000000
