Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
125162.316664   6304.803360     40.458645    486.465142     98.156464     25.627272     58.469114    570.653592    222.559179     14.900030   1582.271662    134.277809     13.911916   1195.684626      7.335159    264.263160  67522.854508    185.538298  96823.009999      2.711960  63711.971419     21.407464     12.071922      0.862097     13.805813      0.000000      1.396657      0.705283      0.789143    430.415038    399.011437    576.589300     10.526451    123.990200    929.985337    374.980531    531.716207    227.391400    463.604647 173743.171395     30.842212      0.826516      0.246597      0.690130     67.513135    755.867133    472.587001    611.872080     46.895505    934.298111   1777.488349    475.479458     23.175115    159.525014   3642.596625   2434.815085   3529.311441   1050.454668     73.678396     57.229178   1247.783894    271.246340     42.238868      0.556494     10.065379      0.676977    204.458428    692.956807     20.482569    781.001615    214.732433      7.140178  37487.013986  18704.045538     13.723512     70.007209     31.708520      1.157552     12.068791      1.130874      0.790428      3.337736      0.756504      2.558973      0.151702     11.311028   5241.848045   1174.850269     20.926149     26.256286 106333.158925      1.697565     61.657186     56.977752      0.270881    410.588201     24.434914    281.083115    592.411231      0.390517   3878.616757    831.554171    896.767934     54.971894     45.044093    802.394407    787.654881   4387.003232      0.313616      4.159776     22.273735  26894.666532    267.557176     88.415478    138.640446     10.148790     20.721106    796.493026   3253.085068    263.484461   1485.416126    362.274916     40.847759     81.890274    704.675450    103.704853      0.455091    173.725942     22.921782   1071.641016      0.005841      0.000000      0.000607     30.364792      7.540920    691.128444    679.219102     51.922184      0.000000    137.654394    306.193020    224.206934    123.576427     14.707290   6664.537722   2390.835286    357.521867      2.071085    356.173432    105.373094      0.745907     43.056179      5.889405      0.174211    195.698544      0.351628    931.153154    622.695195    624.645353  28623.493629  15944.836208     11.145890     61.013557      0.220227      6.696257      0.486191      2.125108    421.550362  16824.205935      7.179858      1.676905    422.049510    448.688119      5.426801    109.645170     19.216550     25.681083    107.941969     43.355280      9.692011     25.573051     50.771647   5341.771715    526.097309     98.147525     10.854387     59.817781      0.924946      2.875437    294.476546      6.964122   3486.471975   1437.055386     27.370726   1195.982921    253.341891     59.391959     99.090933     34.278195      2.672961      1.153766   1436.788738    396.249340     50.513506    313.858833    507.989671    236.059755      0.578028      0.455997      2.014860    359.405050    143.696573      0.399417   1313.153663    230.428350     24.969131     49.206763      5.294534      2.406209     16.927448   6595.000162
164685.836227   6838.382329     45.975044    319.951106    177.815308     32.002117    165.509054    413.132072    278.639786     16.672970   1588.408407    134.276468     60.393328    785.287992      7.809779    173.999572  60374.059023    205.531461  95146.834096      1.355892  49810.344457     15.290588     13.244119      1.019315     13.805004      0.000000      4.433254      1.120634      1.255418    365.597779    415.724897    588.510508      8.709450    113.851808    904.110810    383.083508    543.204801    234.836002    452.642532 130374.250365     30.833995      0.826481      0.246587      0.690116     67.529133    756.055514    428.354525    401.463806     30.941725    613.148080   1777.503320    475.482498     23.175030    161.172941   3905.793316   1597.421580   2315.107326    689.172497     73.665911     57.274779   1247.782701    318.908802     46.895686      2.140396     10.065032      0.676726    134.204540    454.768058     20.459625    513.714030    223.787240      7.215262  21886.684648  20105.042113     40.136874    239.598645     60.457115      1.840880     19.201619      1.130859      2.514017      3.337720      2.897637      4.093080      0.287867     12.954893   5629.750065    379.931945     20.075253     26.234010  96044.646493      1.697563     61.159047     56.965170      0.270873    382.308448     24.533831    266.261801    575.463985      0.390510   4192.109071    545.514469    914.687678     55.205492     42.283561    764.026357    787.133258   4697.200239      0.315798      4.717882     34.530844  26252.576797    249.776226     82.219090    128.488107      9.495849     19.224073    579.647876   3318.081523    251.369827   1485.478172    368.029604     39.263869     78.714406    462.422421     95.344638      0.455089    173.725899     27.391436   1135.501334      0.008745      0.000000      0.000910     28.085907      7.540845    691.122550    679.276736     51.898240      0.000000    137.652601    306.205681    211.477694    112.810345     15.595668   7140.863200   2567.248705    334.129133      2.097799    724.157569    114.971414      2.854035     43.055976      7.387690      0.649795    211.748758      0.351590   1064.144809    583.947507    585.864897  31358.999369  15847.046669     12.775511     71.734024      0.258637      3.404316      0.665065     11.779396    421.549756  18184.403666     39.818371      2.664668    445.924270    448.701972      4.809259    104.136520     19.454131     25.764700    110.442123     42.152931      2.907543     25.567980     50.717226   5024.805325    511.354675     89.958660     10.503454     57.983539      0.924824      2.875430    250.231925     11.602793   9369.175873   1495.928798     25.398110   1132.216825    237.190244     55.598382    170.704061     38.629951      2.266699      0.164185    942.749573    407.580672     58.551353    353.729847    507.989270    236.057658      0.577834      0.455494      1.012276    406.385442    193.489017      5.239044   1278.767895    230.459714     24.968477     49.205158      6.640603      1.556991     18.259636      0.000000
246228.844847   1814.524848     40.674400    318.950335    109.973621     41.591109     38.826031    412.917436    576.479290     38.565023   1758.194902    150.696551    148.970551    783.427090      2.549934    172.886866  59451.033534    164.004083  93727.397060      4.519420  24226.602674     21.406142   1352.075776      1.967939      6.923992      0.497665     19.539311      1.230714      1.381264     64.782174    186.906457    171.568193      0.606681     67.078622    252.437196    125.936192    160.963485     72.582996    183.159085  73959.925683     21.219202      1.167947      1.732588      4.856876     61.721727    690.942066    306.807818    401.226117     30.612732    612.533597   1587.050499    424.535207     19.834590    129.364634   1745.040141   1596.726304   2314.758030    688.890957     27.203944     51.142198   1253.660148    321.177590    135.527258      3.894930      5.032259      7.742648    134.048180    454.319926      8.303126    511.115781     81.593706      2.666553     20.024466  19816.543154     95.795123    430.229088     68.353860      2.024388     21.129472      1.416654      3.144180      6.137833      5.329342     10.274632      0.324215     16.243672   1044.974639   2153.393260     32.701835     31.629651  54671.047830      2.402726     68.259845     62.260071      0.382945     45.185528      3.756765    247.140027    522.504327      1.966905    751.159927    545.364919    293.864749     10.248006     11.081603    245.228007    222.173931    994.974395      0.059836     10.465253     50.214162     17.251268    249.017703     19.079495     10.989562      0.621946      1.258458     24.160697   1066.012866    122.755539   1326.303365    339.442812     22.495989     51.321006    462.120106     91.676284      0.644021    150.208850     23.151077    967.988485      0.008726      0.000000      0.000908     23.338023     12.066946    855.265041    620.833480     55.550842      0.000000    329.594056    280.134972    332.105761    109.474544      0.536975    460.926760    314.531767    279.599513      0.811002    155.545670    105.932401      5.240198     34.199662     10.775500      1.143433    184.784182      2.458968   1207.777786    583.723068    585.673013  32985.078164  15973.916956     11.203076     67.174090      0.217003    471.544206      0.590106     29.726098    506.255210  21421.214710    100.428332      2.926765    408.380402    400.653764      0.621086     20.585441      2.876443      4.148199     20.666354     13.383173      5.814997     25.968697     53.773880   4196.923679    618.262786     17.145821     12.649755     69.982324      1.975593      3.827060    212.388470      9.422472  10291.081512    180.302747     25.211397    212.897150    236.886740     55.499215     20.689499     35.394727      3.764056      2.105075    942.174587    398.367626     58.875210    323.983480    453.567720    243.665427      5.692167      4.267024      4.330797    675.311331     34.825346     10.245130   1163.028265    205.766316     29.989914     42.540669     13.688821      1.300009     20.095001      0.000000
215674.729096   1807.105212     30.614415    318.830791    111.035426     32.357872     27.072678    412.898129    251.731059     16.857738   1870.940903    157.654381    148.970538    783.271664      2.072800    172.766425  44189.134894    129.700435  92583.687380      2.711629  27353.695724     10.193347      2.695682      1.017209     12.461298      0.000000     28.883009      0.795047      0.891831     64.782172    147.536551    147.198434      0.000000     67.078617    225.053054    101.783104    144.328210     58.852771    162.003901  66278.213134     21.201955      5.806280      1.732529      4.856788     56.111910    628.059944    273.044934    401.205319     30.585102    612.484938   1587.017918    424.528795     16.720275    100.639534   1745.039895   1596.644741   2314.734067    688.860745     24.908263     51.048628   1155.864051    327.841613     59.191582      3.032849      1.677426     14.642652    134.025717    454.287205      7.411606    510.920465     73.089917      2.466957     18.121656  19763.874925     95.795116    430.229069     68.353767      1.307262      7.935706      1.416623      1.440337      6.137799      5.329319      4.703186      0.188731     10.397439    990.400034   2019.694636     44.077264     16.050997  57096.213939     11.962830     68.256810     62.233697      1.904509     40.553964      3.190239    224.265221    459.080895      2.748829    573.244540    545.348892    276.421561      8.518643      9.882160    230.658019    199.211849    994.970636      0.037631      4.755009     57.410537     15.204707    248.587026     16.541816      9.854088      0.556853      1.125559     16.107028   1002.736346    110.731538   1326.234172    413.058664     20.456870     46.703011    462.092254     82.851038      3.205970    128.165101     16.921642    967.988139      0.005793      0.000000      0.000604     21.575178     12.066790    835.128314    564.421684     55.498195      0.000000    181.581737    254.582516    254.565167    100.079774      0.536469    451.250787    313.462978    259.763250      0.717555    121.590477     79.733027      5.240029     28.286941      8.394381      1.142379    181.472493      2.458726   1196.469714    583.615729    585.600605  33372.966444  15976.494835      8.240162     51.567581      0.147043    544.185800      0.654059     23.126542    247.572821  20597.416945    129.751911      1.890633    350.035733    400.563558      0.621070     17.151350      2.609612      3.730694     18.305369     12.596577      2.907496     25.958117     53.656202   3934.830574    610.272385     14.883759     12.644762     69.926903      1.150015      3.605210    167.958525     11.599446   9918.088652     97.578036     25.102330    195.258838    236.696381     55.447608     11.566681     30.321641      2.948566      1.658757    942.112159    398.365190     58.835829    277.664259    453.601186    243.728205     12.015784      9.014224      9.796300    675.311267     34.825313     10.245122   1022.620202    205.731501     14.685075     36.296059     11.381462      1.300005     19.253026      0.000000
147161.809782   1694.001785     27.901112    319.494748    254.173955     74.051978    120.643600    413.029076    323.582590     21.667813   1731.635711    146.522009     75.696690    784.150493      5.364642    173.466505  59666.865970    240.459169  70841.748548      9.491136  26036.097772    291.350732      7.767934      1.292826      6.924436      0.000000     19.540593      0.795144      0.891850    260.510793    336.131643    343.969630      5.155336     32.604914    454.952910    195.618713    277.385996    161.166066    241.165347  63881.264052     21.233784      1.168010      0.348502      0.976143     61.714100    690.627460    475.622452    401.402382     30.740684    612.774327   1587.020975    424.529207     16.895062     84.568047   1632.266121   1597.018801   2314.913187    689.037269     44.556389     51.056199   1103.925479    343.655058     76.085635      3.895929      5.032383      7.742958    134.141428    454.456889     12.002312    511.912533    142.021766      4.543977     30.494217  19390.938219     63.298626    469.441547     68.353939      1.307329      7.935826      1.416680      1.440588      6.137862      5.329361      4.703286      0.188787      7.435109    979.981195   5531.128046     31.715805     29.828584  65220.734644      2.402729     68.262414     63.100847      0.382960     65.662897      5.660644    228.767174    473.711378      0.552418   3228.961272    545.442568    467.347976     20.203745     16.915068    378.198305    359.033939    956.310610      0.164155      6.094761     51.139881     23.553086    249.560602     26.338254     15.986488      0.906364      1.835277    408.903506   1695.333673    173.117419   1326.247094    413.060203     26.689878     56.271849    462.278176     91.331154      0.644025    129.304725     16.921723    930.190072      0.005837      0.000000      0.000607     24.511772     12.261591    769.152447    620.737617     55.595431      0.631215    124.652360    279.879890    203.216850    110.831166      0.335677    445.802650    295.272497    292.105584      1.302768   1014.856938     79.737046      5.240341     28.287187     10.779347      1.144323    170.424398      0.495756   1062.019939    583.878184    585.800331  34590.909052  15963.913312      8.248030     42.379279      0.149121    165.733234      0.533932     29.726544    479.132576  17212.832473    100.428591      1.890860    350.038561    400.554519      2.098890     40.505218      4.594259      6.881875     36.053532     19.808361     20.352696     27.848677     53.873747   4151.185603    489.723394     26.285363     12.676851     70.069216      1.150495      2.906867    296.573971      0.795475  10637.816016   1234.065692     25.346920    290.797212    237.109847     55.569429     83.837707     30.326438      3.771166      2.112510    942.474009    398.369734     58.908995    277.674039    453.611522    243.738997      6.077309      4.570475     10.470611    634.184408     19.973592      4.839596   1068.604202    205.737848     28.379617     36.618631      7.701766      0.632044     20.095033      0.000000
185684.547297   1656.026146     25.856117    319.609657    122.933412     32.005003     84.520523    413.074413    222.560054     14.901064   1601.185125    136.251149     29.215798    784.712847      6.600454    173.625445  47378.712087    164.010617  74862.692155      1.356122  34127.465919     10.768530     10.951861      0.870690     17.146990      0.594073     10.823668      1.120801      0.789160    325.329041    399.018015    485.825669      7.961228     43.340076    719.869596    306.145854    434.110326    202.836199    349.313705 103794.230597     30.872193      0.826646      0.943710      2.642579     67.507084    755.718269    343.948295    401.392527     30.841679    612.966276   1777.476050    475.476828      8.169315     88.975994   1617.133282   1597.174015   2315.001688    689.077466     55.776343     55.724838   1199.503503    369.987895     46.896752      2.388601      1.677660     17.221023    134.154401    454.615748     15.602759    512.896114    171.404140      5.880370     54.634744  19386.024032     34.239302    394.731356     60.457322      1.157613      6.331692      1.130925      0.790659      3.337795      2.897687      2.559066      0.151754      5.447587    971.277389   3704.739704     27.506596     29.820186  83038.799655      5.569757     61.662471     57.023587      1.036903    241.532872     18.466042    237.961497    513.549335      1.495428   3801.242374    545.464069    741.736140     44.177397     31.701975    669.479824    631.359719   1066.815311      0.337014      4.169532     34.534148     48.527351    253.740805     63.365705    112.764626      9.992032      6.936274    460.135052   2585.240608    261.549280   1448.177505    408.967181     34.993769     72.781022    462.341443    101.736322      0.455099    106.597018     18.762782   1021.684264      0.005880      0.000000      0.000914     29.596766      7.541192    711.841735    679.171894     52.009266      0.631666     50.314089    306.149419    187.815288    122.877856     12.371748   6044.277446   2510.896361    338.715571      1.691509    671.683176     79.178987      2.854406     17.912069      7.398328      0.652118    177.945308      1.343589    954.222960    585.024711    586.692629  32346.452704  15901.253899      8.193140     45.945608      0.122094      0.000000      0.698244     18.319192    473.860801  19963.844922     57.622566      1.677110    348.178148    448.619288      4.142345     87.940032     14.682964     18.633078     81.517485     40.624915      2.907679     25.591499     50.969109   4621.276617    448.135565     59.158564      9.318281     51.228059      0.925385      2.875460    230.492395     11.612742   8613.627134   1267.313046     26.387894    742.258490    238.852593     56.089247    115.008888     30.171234      0.268700      0.300262    942.557544    396.253678     58.640361    276.209045    508.033472    272.958342     14.806053      4.637992     13.449711    733.417660    387.204430      0.798962   1132.349466    224.639271     28.077379     21.854365      5.295428      0.843850     18.259718      0.000000
185662.247757   1593.655246     19.470581    485.595451     72.418882      5.947429     26.839386    570.459051      0.000000      0.000000   1564.720291    130.073452     38.954928   1194.276745      3.882930    263.363137  50100.497820     23.014935  94463.799148      1.356387  35213.002737     10.196100      6.268842      0.000000     54.060733     57.543835      0.000000      0.000000      0.000000    215.940957    229.045847    297.642956      3.640486     12.408650    529.336216    206.061238    292.193484    138.110097    221.214747 101626.204133     33.263922      0.000000      0.000000      0.000000     17.929318    753.430163     42.922014    564.763481     46.650996    933.846740   1420.889310    361.947302      7.298275     79.743184   1534.678560   2434.268279   3529.039302   1050.226479     36.192470     37.938905   1205.648821    271.257288      0.000000      0.000000      0.000000     20.552133    204.312047    692.600394     10.006145    779.023367    101.819223      3.663929   9738.687879  19700.964710     97.958494    516.034506      9.893289      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    920.639730   4664.717629     27.524159     31.901859  92162.259360      0.000000     62.750191     58.745205      0.000000    224.418300     16.600153    123.341256    252.964179      0.000000   3444.457457    831.433212    480.099243     40.677279     26.763878    460.808910    481.074813   1024.284630      0.429789      0.000000      3.590355     38.198084    127.468463     54.273241    118.414079     11.325396     23.323455     72.503549   1741.601408    260.551652   1448.188274    334.776809     23.009235     35.055559    704.400036     67.680553      0.000000     53.233989     13.103775    995.488103      0.000000      0.000000      0.000000     12.520314      8.624697    691.157448    678.473354     53.654360      2.107574      0.000000    123.730441     97.665511     75.433852      0.343552    458.056676    296.195674    137.114204      1.119810    167.198146     67.350162      0.000000      5.905007      0.771506      0.000000    173.858592      0.000000    965.672310    624.891898    626.354713  27338.821674  15986.944384      6.163861     38.013492      0.072562    151.558074      0.592624      0.000000    489.843414  18802.139525      0.000000      0.000000    348.180540    448.491552      4.144712     80.629680     13.162125     16.211893     69.965718     39.587019      2.907838     29.415020     52.019251   5334.222540    221.852946     53.430849      4.682019     25.602059      0.000000      0.000000     29.838218      7.776044    517.373253   1185.143145     29.411089    601.704334    108.078061     60.419750      3.366055     30.175019      0.000000      0.000000   1436.326417    396.257144     50.622427    276.217432    508.012454    266.066447     24.134154     18.362217     27.286943    677.955427    103.410731      0.399539    552.664818    224.644406     29.807136     15.124752      0.000000      0.242314      0.000000      0.000000
221261.638155   1547.208836     17.709735    485.250354    111.099337     23.080294     37.598122    570.403117      6.947844      0.468898   1343.139894    124.560854    208.508570   1193.122665      0.465270    155.984678  61605.755521      1.534528  81852.522422      1.356540  40262.305088      1.019687   3442.495935      0.060583     22.521057     57.546116      0.142305      0.000000      0.000000      0.000000     45.675845     70.868019      0.116178     12.408759    125.206540     57.650188     79.328753      6.041339     67.882635 114931.627397     33.276960      0.000000      0.000000      0.000000      3.375598    392.346802      2.861500     33.032558     46.445446    933.465621   1270.666931    361.947476      7.298367     79.743457   1486.961633   1900.819567   3527.725883    623.260217     10.281788     27.823320   1186.044891    271.259422      1.635965      0.029855      1.678017      1.357945    204.159755    692.322523      2.993519    777.354572     32.996153      1.212921  20281.111235   8977.336387     97.958645    274.960274      9.893305      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    806.622671   1057.059053     20.949801     11.412530 106904.794182      0.000000     62.752370     58.763050      0.000000     47.505015      3.345204     68.464663    124.029238      0.000000    414.802140    493.438316    139.288374     10.018352      6.872389    140.824681    128.265610    810.486663      0.046099      0.169138      7.181471   9615.141878     45.414658     14.176981     21.892765     11.654038     24.043856      4.834081    505.281661     80.801575   1448.193623    334.777158     10.827228     13.430845    704.261800     39.622391      0.000000     53.234036     13.103816    788.652802      0.000000      0.000000      0.000000      4.622778      8.625022    657.021896    353.452649     53.686433      0.000000      0.000000     51.923743     76.608422     40.039267      0.167263    366.989094    241.936958     49.708141      0.357093     54.030671     56.364317      0.000000      5.905078      1.545544      0.000000    153.402826      0.000000    990.367689    617.732045    626.895733  23462.029826  15947.064217      6.167053     34.613911      0.073449    879.005053      0.837238      0.213552    217.937727  20145.831074      0.718995      0.000000    348.181744    434.177920      0.207194     20.341552      2.540597      3.540153     16.889443     10.455725    102.516694     29.422035     52.088196   5444.009052    121.697294     11.186307      2.590582     14.106426      0.000000      0.000000      1.989552     54.674839     84.653603    933.953677     25.307780    141.390772     39.551667     60.723582      0.963606     30.176808      0.041298      0.029973    852.335177    396.258720     50.643774    276.221704    508.013112    266.069412     19.242719     14.644998     27.287212    429.841952      9.110190      0.799154    269.797882    224.646891     10.238861     15.126791      0.168504      0.242387      0.000000      0.000000
271233.553970   1534.491505     17.709631    485.649780    119.502211     23.079887     41.777834    570.516464      6.947771      0.468803   1316.282806    123.289981    327.554217    852.989667      0.043251    114.906616  55300.703057      0.511535  82638.612547      0.452188  44296.562965      0.000000   1365.834814      0.059771     22.517018     57.545109      0.426736      0.000000      0.000000     41.056850      0.000000      0.000000      1.743368     23.163239     16.435800     13.253021      9.396679      1.150818     29.097763 115442.248687     33.269362      0.000000      0.000000      0.000000      0.609043    232.138871      2.861502     21.621321     33.186529    667.409818   1179.407868    335.752624      8.169530     88.976639   1394.407844   1064.354309   1898.458147    510.250950      4.332595     27.822132   1187.628032    271.258194      1.635895      0.089421      1.677939      0.678618    204.159379    639.175159      1.309995    717.385468     13.261252      0.489405  17916.589733   1281.493038     97.958839     68.709734      9.893296      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    739.255247    125.713800     20.091253     11.385296 107088.940942      0.000000     62.751102     58.752661      0.000000      6.784017      0.380469     54.458980     93.966130      0.000000    414.803174    403.969404     46.724563      0.000000      1.936641     38.949367     12.968166    610.421297      0.039276      0.168182      7.181184  15339.875472     32.424504      3.926416      1.683518     11.797349     24.242750      1.611494    169.497893     18.858728   1448.190669    334.776956      6.642664      7.903110    704.289022     31.462277      0.000000     77.022572     13.103795    593.860539      0.000000      0.000000      0.000000      2.930493      8.624833    647.419313    406.547291     53.667788      0.645434      0.000000     81.299356     81.624974     30.950793      0.354119    352.734721    221.613512     31.425819      0.157530     21.708653     67.350916      0.000000     11.257678      1.544545      0.000000    115.516801      0.000000   1009.109433    556.967626    626.920275  25547.513274  15949.000633      6.165359     38.013683      0.073000    819.263236      0.364134      0.640598    172.504578  24223.136375      2.156958      0.000000    348.181082    414.658590      0.241522      0.000000      0.206565      0.286622      1.502471      1.962504      0.969310     29.417958     52.048194   5458.713320     98.088912      1.828672      2.083646     11.366318      0.000000      0.000000      0.663230      6.979792     60.435494      3.532185     22.653866     29.208731     26.857413     60.757455     54.766889     30.175802      0.122885      0.088844    714.112454    396.257821     50.631500    276.219362    508.012736    266.067713     19.240238     14.638316     27.287056     79.735150     48.744572      2.797278    204.423064    224.645507      9.127457     21.858800      0.168438      0.452583      0.000000      0.000000
374293.823889   1534.970782     17.709688    485.338200    109.826512     16.479286     35.603801    570.463085     14.045536      0.937569   1304.076454    123.289901    208.511864    931.677151      0.156148     20.246219  53730.099141      0.000000 101300.611910     63.624736  39191.609106    107.711776   7489.252926      0.119161     38.080148     60.119857      0.853344      0.000000      0.000000      0.000000      0.000000     21.260537      0.348895      0.000000     82.541993     33.279450     47.191358      6.041561     36.003609 108811.237331     33.278721      0.000000      0.000000      0.000000      0.203013    200.015310      0.000000     16.816098     36.248811    793.782332   1179.408278    350.313899      7.298332     88.976654   1394.509294    186.181214   1898.457777     80.340975      5.322846     27.822970   1186.014606    271.259626      3.271750      0.178760      1.677941      1.357217    185.014162    692.263213      1.564563    776.999199     15.719818      0.579801  16642.889396     18.173251     97.959160    274.962234      9.893307      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    724.765933   2400.731450     20.945384     11.383572 101857.389293      0.000000     62.752655     58.765413      0.000000     11.131126      1.094636     52.278008     93.854366      0.000000      0.938785    363.563942     79.955524      8.681941      3.185487     66.697025     74.952628      0.265923      0.119870      0.336032      3.590510  14917.938568     33.553538      5.392784      2.766427     11.950165     24.341999      1.611590    290.045978     33.826212   1448.193439    334.777197      7.179850      8.593322    704.227044     31.233293      0.000000     53.234020     13.103803      2.506358      0.000000      0.000000      0.000000      3.048271      8.625064    647.418912    267.655974     53.690531      1.267221     36.659040      2.760707     41.895993     30.651592      0.024470      0.390201      0.735443     32.746840      0.173056     25.747238     67.351653      0.000000     11.257700      0.772026      0.000000      0.048997      0.000000     45.293407    556.849321    626.830497  15368.801883  15958.177585      6.166545     38.013809      0.073189      0.344163      0.897686      1.281145    172.504529  25842.317925      4.313881      0.000000    348.181687    421.710639      2.072815     17.671826      0.944371      1.666017     10.016845      4.333609    179.465287     29.422928     52.096577   5529.198187     85.738239      4.278858      1.818495      9.924070      0.000000      0.000000      0.000000     63.262743     62.663988    362.445759     22.570039     44.105153     27.886165     60.719330     29.015617     30.176844      0.245054      0.176997    675.359896    396.258823     50.645745    276.221445    508.013163    266.069652     24.137625     18.371500     27.287245      1.083643      0.000000      2.097526    204.396430    224.646874     10.238037     15.125933      0.336843      0.000000      0.000000      0.000000
